NUM,CODE,Country,Continent,Cluster,Pop_2010,HDI,RISK (endemic/ rabies-free),Dog vaccination coverage,RP,PP,"Bite Incidence (/100,000)",Deaths,"Per capita death rate from rabies (/100,000)",Exposures,PEP,prevented deaths,"YLL (no TD or AW, GBD 2010 lifetable)","YLL (TD & AW, Country-specific lifetable  (comparable to Knobel et al. 2005) ","YLL (TD & AW, Standard West lifetable  (comparable to Knobel et al. 2005) ","DALYs from NTVs (no TD or AW, GBD 2010 lifetable)","DALYs from NTVs (TD & AW, Country-specific lifetable,  (cf Knobel et al. 2005) ",DALYs due to Anxiety,"DALY total (no TD or AW, GBD 2010 lifetable)","DALYs total (TD & AW, Country-specific lifetable,  (cf Knobel et al. 2005) ",Direct costs,Travel costs,Lost income,Productivity losses from premature death,Dog vaccination,Dog population management,Livestock losses,Surveillance,deaths Lower,deaths Upper,Exposures lower,Exposures upper,PEP lower,PEP upper,Prevented deaths Lower,Prevented deaths Upper,YLL rabies lower,YLL rabies upper,DALY ntv lower,DALY ntv upper,Direct costs lower,Direct costs upper,Travel costs lower,Travel costs upper,Lost Income lower,Lost Income Upper,Premature death lower,Premature death upper,Livestock losses lower,Livestock losses upper
1,DZA,Algeria,Africa,North Africa,35419000,0.698,1,23.70%,0.443,0.997,225.9,22,0.062431,"35,454","79,749","6,714","1,381",631,658,NA,NA,1416,1381,631,"7,209,476","308,989","4,845,488","6,124,929","489,048","170,996","586,743","11,488",5,49,"9,692","55,427","22,263","115,960","1,906","11,738",307,"2,974",NA,NA,"1,954,787","10,622,510","131,278","671,972","1,326,839","7,243,667","1,360,279","13,197,538","1,317,221","473,894"
2,AGO,Angola,Africa,Congo Basin,18992000,0.486,1,0.50%,0.736,0.948,133.3152,185,0.975829,"18,639","23,994","3,356","11,574","4,079","5,518",NA,NA,426,11574,4079,"3,832,129","231,857","1,471,750","51,823,218","10,735",358,"5,680,516",192,106,418,"16,235","28,559","21,850","35,544","2,404","5,923","6,838","26,025",NA,NA,"3,489,284","5,749,776","152,973","248,545","1,343,117","2,237,347","30,807,672","116,499,349","46,730,029","1,193,474"
3,BEN,Benin,Africa,West Africa,9213000,0.427,1,0.80%,0.732,0.892,128.4030821,178,1.927798,"8,658","10,553","1,467","11,092","4,562","5,288",NA,NA,187,11092,4562,"1,508,440","76,410","99,666","7,647,185","6,117",816,"1,748,137",213,95,416,"7,127","13,142","9,693","16,252","1,011","2,559","6,016","26,272",NA,NA,"1,385,658","2,332,738","63,559","105,991","92,114","156,781","4,145,624","18,030,554","14,169,970","372,951"
4,BWA,Botswana,Africa,SADC,1978000,0.633,1,0.50%,0.736,0.992,149.3561286,3,0.162046,"2,175","2,931",410,200,79,95,NA,NA,52,200,79,"537,720","15,096","245,027","1,526,768","1,195",159,"2,631,216","2,640",1,10,847,"5,426","1,337","7,819",162,"1,123",67,631,NA,NA,"240,215","1,460,082","7,180","41,532","110,139","678,790","518,022","4,612,906","21,645,358","552,817"
5,BFA,Burkina Faso,Africa,West Africa,16284000,0.331,1,0.80%,0.732,0.697,128.4030821,880,5.403104,"15,304","14,582","2,028","54,946","20,968","26,198",NA,NA,259,54946,20968,"1,960,201","113,764","119,362","32,831,930","10,812","1,442","9,202,843",377,450,"2,034","12,597","23,228","10,749","24,244","1,222","3,598","28,397","131,158",NA,NA,"1,491,971","3,213,101","74,507","160,871","92,992","197,356","16,650,320","77,022,952","74,595,975","1,963,355"
6,BDI,Burundi,Africa,Congo Basin,8521000,0.316,1,0.50%,0.736,0.654,133.3152,550,6.456644,"8,363","7,426","1,039","34,358","13,279","16,382",NA,NA,132,34358,13279,"811,490","86,840","18,319","6,186,933","4,816",161,"946,760",204,287,"1,291","7,284","12,813","5,016","12,267",631,"1,899","18,391","80,754",NA,NA,"573,266","1,313,065","38,718","91,021","13,113","29,824","3,258,427","14,395,482","7,788,400","198,914"
7,CMR,Cameroon,Africa,West Africa,19958000,0.482,1,0.80%,0.732,0.945,128.4030821,196,0.98271,"18,757","24,216","3,368","12,248","4,829","5,840",NA,NA,430,12248,4829,"2,885,837","132,155","292,083","13,480,388","10,866","1,767","5,767,762",48,110,433,"15,439","28,468","22,615","37,135","2,335","5,917","6,923","27,755",NA,NA,"2,702,254","4,481,775","122,853","201,044","274,267","460,005","7,609,173","29,983,517","46,752,054","1,230,507"
8,CPV,Cape Verde,Africa,West Africa,513000,0.568,0,0.80%,0.732,0.982,128.4030821,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,341,45,0,12,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
9,CAF,Central African Republic,Africa,Congo Basin,4504000,0.343,1,0.50%,0.736,0.73,133.3152,227,5.034725,"4,420","4,383",613,"14,161","5,414","6,752",NA,NA,78,14161,5414,"396,094","44,267","20,943","6,174,021","2,139",85,"4,957,836",224,120,555,"3,850","6,773","3,321","6,932",402,"1,084","7,621","33,915",NA,NA,"309,143","619,876","22,545","45,534","16,558","32,980","3,255,934","14,737,906","40,784,997","1,041,639"
10,TCD,Chad,Africa,West Africa,11505000,0.328,1,0.80%,0.732,0.689,12.9,64,0.558044,"1,086","1,022",142,"4,009","1,509","1,912",NA,NA,18,4009,1509,"145,060","9,341","10,753","3,078,185","178,195",0,"6,528,404",592,59,"1,107","1,099","14,672","1,041","14,479",138,"2,068","3,321","69,202",NA,NA,"148,874","2,076,274","7,938","99,826","11,482","156,704","2,821,287","52,127,100","52,917,635","1,392,784"
