Scenario,throughput,patients_per_month,Setting,regimen,completeness,vial,nvisit,RIG_wt,RIG_wound
1,Low,5,rural,IM,Complete,4.00,4.00,1.10,0.92
2,Med,30,urban,IM,Complete,4.00,4.00,1.00,0.65
3,High,>100,urban,IM,Complete,4.00,4.00,0.87,0.32
4,Low,5,rural,Updated TRC,Complete,2.76,4.00,1.10,0.92
5,Med,30,urban,Updated TRC,Complete,1.24,4.00,1.00,0.65
6,High,>100,urban,Updated TRC,Complete,0.93,4.00,0.87,0.32
7,Low,5,rural,IPC,Complete,2.20,3.00,1.10,0.92
8,Med,30,urban,IPC,Complete,0.97,3.00,1.00,0.65
9,High,>100,urban,IPC,Complete,0.67,3.00,0.87,0.32
10,Low,5,rural,NTV,Complete,14.00,14.00,1.10,0.92
11,Med,30,urban,NTV,Complete,14.00,14.00,1.00,0.65
12,High,>100,urban,NTV,Complete,14.00,14.00,0.87,0.32
13,Low,5,rural,IM,Incomplete,2.00,2.00,1.10,0.92
14,Med,30,urban,IM,Incomplete,2.00,2.00,1.00,0.65
15,High,>100,urban,IM,Incomplete,2.00,2.00,0.87,0.32
16,Low,5,rural,Updated TRC,Incomplete,1.84,2.00,1.10,0.92
17,Med,30,urban,Updated TRC,Incomplete,0.83,2.00,1.00,0.65
18,High,>100,urban,Updated TRC,Incomplete,0.62,2.00,0.87,0.32
19,Low,5,rural,IPC,Incomplete,1.47,2.00,1.10,0.92
20,Med,30,urban,IPC,Incomplete,0.64,2.00,1.00,0.65
21,High,>100,urban,IPC,Incomplete,0.45,2.00,0.87,0.32
22,Low,5,rural,NTV,Incomplete,9.33,9.33,1.10,0.92
23,Med,30,urban,NTV,Incomplete,9.33,9.33,1.00,0.65
24,High,>100,urban,NTV,Incomplete,9.33,9.33,0.87,0.32
