"year","cluster","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"americas","a1",1309.08732222104,2562.42163329935,1898.69983298045,129.242102244731,252.979883849999,187.452703712517,16854.0600609771,27693.2411248483,22194.5120735553,1194803.17569053,1623526.53560779,1306373.92878011,412.601930499058,823.743861935852,599.485755169652,40.7348997906868,81.3256584344238,59.185356048245,35850.8677061405,70174.8748333353,51998.0870415605,11299.580230082,22559.176700224,16417.6095326007,1274.47602578048,2544.44229611638,1851.73690737827,5108.03427347614,8365.49962872491,6705.2928567412,3321.86767179283,5502.36081679355,4391.96318003646,0,0,0,1450.45472373252,3934.8495864866,2179.15758216876,52.9630664969554,143.680252058001,79.5715068132193,4.93218515104934e-07,1.61264356860956e-06,8.94048579201065e-07
2020,"americas","a3_1",1321.52250318637,2558.23177993627,1887.85888961705,130.469788818783,252.566232714929,186.382411237127,17395.3157362684,27162.5112226976,22169.6817835893,1208973.3097963,1597281.69482029,1305753.54756272,417.371942152315,806.508406109951,595.885959834837,41.2058281415571,79.6240557175736,58.8299594991952,36191.4194937276,70060.1308616548,51701.1952913054,11430.2125063518,22087.1638434949,16319.0249812672,1289.20999827406,2491.20411757237,1840.61758748951,5255.69996261659,8206.69261668306,6698.19378318609,3441.9579055176,5374.56299466573,4386.64710860857,0,0,0,1499.02133770381,3826.99825623972,2191.2809422874,54.7364667715077,139.742082129503,80.0141889029283,5.08575088219895e-07,1.53454042629257e-06,8.89621857956155e-07
2020,"asia","a1",18948.7081005145,36819.5956752666,27029.1275819688,1870.7467623911,3635.08367096459,2668.5013377166,2935364.13741224,4125678.69623753,3523892.29907245,45352225.5694202,57007542.6445098,48491318.0431289,22930.7115469221,44950.6764662824,32923.2478008769,2263.87752442944,4437.83987913691,3250.40941599699,518932.248279089,1008347.13707867,740223.864905735,627984.010021267,1231026.17215791,901641.152068556,70830.1148404506,138847.046666988,101695.816018833,1195436.05839498,1672980.03875262,1431184.41237758,896778.299612854,1261756.16860474,1075466.63210639,0,0,0,1008.9331047874,2486.0782243001,1472.85949236871,36.8409921699071,90.7786531739545,53.7811721790643,1.3706506363351e-07,3.76019078148222e-07,2.30041967451159e-07
2020,"asia","a3_1",18367.1675438099,36479.2594808317,26860.1321140344,1813.33307973351,3601.48334156554,2651.81694304336,2929348.13140029,4090590.40082071,3514461.92591595,45387539.0178367,56608857.9663175,48389532.7987701,22206.7417285387,44332.7010409993,32657.340143897,2192.40224565976,4376.82909571289,3224.15718361516,503006.088724813,999026.637464023,735595.72890517,608157.260696353,1214102.20166228,894358.963882468,68593.8621505948,136938.197469185,100874.460351684,1194506.53986965,1656640.83651245,1427469.80218152,897416.256172779,1244613.81366571,1072402.89719751,0,0,0,1023.79367717437,2549.17442001711,1481.73527254678,37.3836230225879,93.0825982435846,54.1052695314956,1.34046808693236e-07,3.71138202774823e-07,2.287778003709e-07
2020,"east africa","a1",12521.7538990832,24216.5706492001,17951.1016911629,1236.23364938173,2390.82637707509,1772.25619772911,399781.293907363,637408.90184163,511643.041509389,9021328.45245052,11993576.0448584,9767878.27421327,7232.18697884598,14131.4095084337,10417.1263003072,714.011229890437,1395.14991975667,1028.45034059023,342922.687329395,663198.746106474,491611.644987493,198061.790228612,387004.96459518,285285.030670712,22339.3257209252,43650.1656868187,32177.2070024263,88144.6975774874,136366.174119925,111450.814140314,38386.5297159846,61288.6887296607,49330.1396173313,0,0,0,638.388438680978,1658.36089137897,937.674939577647,23.3106271954085,60.5547189642932,34.2390144034152,5.30350508512891e-07,1.60320585319507e-06,9.34683732968721e-07
2020,"east africa","a3_1",12429.9464902425,23989.1929355564,17883.9689789105,1227.16979067742,2368.37808564633,1765.62839474484,388816.262358037,609407.823645267,507595.398437465,9041297.57249998,11709893.8554553,9752612.77282142,7182.44841373462,13891.0659722517,10370.0840889748,709.100696720868,1371.42155316887,1023.8060100069,340408.435443427,656971.744902816,489773.138155395,196699.642198124,380422.879371814,283996.725401495,22185.6894819612,42907.7744080266,32031.8994647946,87644.0048045579,132636.799004508,111067.997851873,38538.1498888948,58795.2818138427,49153.9159104379,0,0,0,650.871401126491,1630.34848020114,940.456479344287,23.7664400927456,59.5318513272161,34.3405817761943,5.41512496354087e-07,1.58494194819465e-06,9.33669849960285e-07
2020,"west africa","a1",8256.08796749562,16033.2921177684,11798.982377415,815.097776232526,1582.91684903688,1164.87667470373,145800.428429386,237613.91559616,190602.664218631,5294444.63735683,7175238.1237162,5781791.08207501,4498.50499055895,8791.76152581691,6427.77288507378,444.123346143049,867.983153410344,634.593939088155,226102.500932299,439090.215641827,323128.754743501,123196.752847867,240772.539780794,176031.981546443,13895.3221944131,27156.6574482096,19854.5906735817,50855.0772067321,82381.5826518866,66395.6546418467,21921.7397063847,36525.307738505,28905.6774674686,0,0,0,602.205214712632,1595.02726767558,899.501458040181,21.9894039502056,58.2421042588414,32.8451172979017,5.46057121719539e-07,1.72878737162807e-06,9.68101439732262e-07
2020,"west africa","a3_1",8298.08978363171,15981.0729487738,11895.9704185505,819.244484342352,1577.76141359436,1174.45200105222,149568.038542715,235634.573915853,191980.372799333,5367647.99171872,7146733.13871981,5827029.27107732,4520.39210927775,8691.37749802128,6476.52657944294,446.284193007335,858.072551906626,639.407239045699,227252.769159752,437660.133410053,325784.884226082,123796.156863426,238023.407282738,177367.157754589,13962.9287808553,26846.5836765186,20005.1847693644,52109.4617514618,82086.6950942824,66888.8663190676,22674.5575198958,35730.5918636441,29101.320080599,0,0,0,617.583115327892,1580.99849879211,899.7151790549,22.5509249405153,57.7298465460783,32.8529212783564,5.50685114571339e-07,1.66790774763231e-06,9.68251808686541e-07
2021,"americas","a1",1337.51820740687,2611.3212528943,1922.47412158316,132.048994732133,257.807590549271,189.799864964659,17190.2390326378,28156.6142683484,22442.0881160066,1169535.14009907,1608949.10619105,1283099.08073824,416.226008112519,833.844798707502,606.687722260434,41.092693653259,82.3228923705025,59.896383762982,35546.9155741116,69400.4878583906,51093.1551547415,11061.9434473421,22160.9025562603,16123.8008750945,1247.673049362,2499.5210833072,1818.59832324206,5178.33294030354,8485.50971019293,6780.03476943951,3376.63884845804,5599.02147348295,4441.00928856381,0,0,0,1402.5813219821,3865.5660021997,2114.92508198055,52.7747070377636,145.449044632174,79.5779537764058,4.90513855181312e-07,1.61025721659879e-06,8.94815060528941e-07
2021,"americas","a3_1",1140.55829801966,2216.67412206605,1629.19540364157,112.603758104261,218.845312046293,160.8453732306,11224.0010604545,16317.2732665656,13775.249655749,788167.678371751,844041.449908213,802762.140903632,617.365416441967,1199.11509147427,881.267502530288,60.9505591565732,118.384887413454,87.0047877888979,30312.3570972996,58912.0412986126,43298.7537263189,16407.5795118975,31868.6076079057,23421.2449125359,1850.60562456386,3594.45001887353,2641.6746929672,10070.3962200353,14608.6537875671,12342.9615886278,7602.14210650463,11028.0727442344,9317.70170325509,0,0,0,657.291100725558,1367.16671752143,910.917670966815,24.7317889776969,51.4421672798343,34.2749560880073,4.22602537796731e-07,1.19073278277632e-06,7.1398383297429e-07
