"country","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","gavi_support","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Afghanistan","a1","asia",5648.22681226185,9178.63275849195,7388.06577441204,557.631790317283,906.177741777528,729.400656472122,498710.683318181,575561.872872282,537583.480987664,9398532.85237192,10310285.5153621,9649288.44916369,7440.33378416303,12034.549550561,9767.89644923331,734.560913809963,1188.13348588847,964.35390533451,123085.351563891,200263.90724539,161162.002964868,162082.85875136,263781.983872597,213084.468401517,18281.2735926805,29751.8852588384,24033.7287681651,143022.139742535,163521.886032495,153319.764946563,105921.982840701,124577.265436738,115471.975547269,0,0,0,TRUE,NA,780.962578855623,1385.72889529605,987.857365126047,35.6299270874817,63.611202287457,45.2838656967783,4.55005379688717e-07,8.41446616043176e-07,6.37093100986539e-07
"Afghanistan","a3_1","asia",2850.62224208393,4473.8311167694,3599.5661634416,281.433029729019,441.687371655364,355.373923675996,432152.238077145,490797.962120939,462980.906346626,6829832.94728786,7415197.68965251,6985985.50476594,10729.9769652333,16883.7340942205,13506.8058763292,1059.33710951494,1666.878328923,1333.48475417709,64788.6486621972,101186.768305373,81854.0511218133,231489.231238905,364496.542038417,291129.02288985,26109.5960587022,41111.4479342459,32836.349008278,242273.103691899,276069.98981976,259830.782975038,192453.402837017,219378.374707432,206441.035840625,0,0,0,TRUE,NA,404.521470734711,691.073029669946,517.21965716624,18.7377167121876,32.0325816020347,23.996183669428,3.88668720284979e-07,6.96888504622937e-07,5.19830857671194e-07
"Angola","a1","west africa",13027.4962170191,20304.5830692213,16587.5329203521,1286.16400868981,2004.60806282702,1637.6353122439,269026.824584718,311812.429612311,290490.502321853,11519136.6223815,12710347.6934439,11829878.7401146,7152.5785306726,11170.9125002291,9154.56689296618,706.151736468018,1102.86929757446,903.801794046545,281813.239847619,439473.246028963,359341.839262767,154789.805513104,242066.423031054,198296.695912409,17458.6924597855,27302.5941245319,22365.8206575709,94854.0983338664,109954.251915847,102063.752734202,38873.4639601674,47498.7244329442,43181.4984267247,0,0,0,FALSE,NA,1031.17239725451,1777.03014918855,1292.23794838442,47.5866767399779,82.1135968955521,59.6574677438903,6.50504951472618e-07,1.17769423740762e-06,8.969459428762e-07
"Angola","a3_1","west africa",6730.84180633388,10282.762231794,8342.75229930379,664.514987015074,1015.18499580686,823.65387500638,305683.500531766,344255.166555197,326209.276716935,16124437.7696798,17319219.2539482,16434693.9370319,13920.5247479626,21082.3061372863,17235.6655888913,1374.32992607709,2081.39023203358,1701.62342609514,155903.61573656,237869.349074072,192711.459387561,292560.007315267,442154.448712004,361397.500870997,32997.7492821221,49870.4582914886,40761.9080760952,213427.006866874,240404.005146856,227806.261971145,146950.205226477,166518.879322502,157455.269504295,0,0,0,FALSE,NA,764.832730569359,1244.14988425511,953.528243645223,36.4678854111958,59.1988611597372,45.4753945376573,5.79047122757335e-07,9.87799362731844e-07,7.56593143654427e-07
"Armenia","a1","asia",663.968846053341,1071.4090465834,855.962384106765,65.551570191169,105.776868505248,84.5064924902625,57822.3063412602,66935.5226868412,62350.5122119357,979849.658525873,1078295.01526483,1005247.95920353,872.33018922838,1418.55725561452,1134.16326586017,86.122434763281,140.049726827299,111.972396554741,14638.3033284191,23707.7068746506,18924.8122890263,19279.4664905772,31383.384843173,25076.9481646419,2174.52483470711,3539.7218990476,2828.42093111489,16530.8329276615,19045.939861174,17790.9892081336,12366.7423645762,14562.5065864744,13384.2668978342,0,0,0,FALSE,NA,690.736771214358,1236.10879066175,886.334436551449,31.2219240665821,55.9297123596155,40.0865349564709,4.5801372659307e-07,8.58128118420944e-07,6.37493088547126e-07
"Armenia","a3_1","asia",443.245468482826,691.673043372284,563.179825774279,43.7602405773648,68.2867190553625,55.6009850446012,43571.2678775367,49125.3977576729,46439.9000248335,790262.822269389,851180.42923645,806694.960973409,1116.15438326772,1749.54246876123,1424.44663608211,110.194435829112,172.726863052577,140.631166964737,10305.0457653274,16101.4980487303,13111.9576219526,24183.6590888611,37806.2970155852,30818.6324736802,2727.66714309864,4264.16010053409,3476.02366063824,24783.7062504325,28120.0078875299,26439.1197876881,19432.4429524741,22092.2009562813,20748.0638729029,0,0,0,FALSE,NA,451.696850107867,762.60098244159,566.321644166464,20.9029416962897,35.1965112520338,26.1755599201991,3.96925345018373e-07,7.05924469521463e-07,5.38764772625081e-07
"Azerbaijan","a1","asia",2372.84566223468,3771.10068982115,3054.38375744495,234.263640388169,372.3089916585,301.549767669121,240819.753249971,278671.003117428,259482.446692676,4875933.46096408,5348029.38234031,5002591.57981035,3208.16913505074,4948.94256737184,4051.43573860954,316.732517634608,488.5936411105,399.985595368036,52387.4035790965,83094.2140581336,67218.1768519957,70600.9852994533,108993.319323048,89159.6575919997,7963.06246147875,12293.3214879659,10056.2891500418,68728.3624490051,79047.7621898514,73966.644404007,51305.8702387874,60275.4604034758,55774.5789423309,0,0,0,FALSE,NA,985.247534111812,1667.00356409224,1234.77006734587,44.7360764058591,75.7500672215367,56.1082412709853,4.05851986972836e-07,7.20072818706228e-07,5.47738209736883e-07
"Azerbaijan","a3_1","asia",1193.60033019571,1920.33164974915,1539.90728614111,117.840432258385,189.588345412733,152.030236291029,170355.227453426,196666.239825768,183694.490481348,3723206.0798325,4078636.76571286,3813906.29070106,4440.2167032718,6951.65671808145,5628.65188650081,438.368725609061,686.315353512261,555.699219041328,27305.2252029764,44330.6334305633,35383.3835011355,96759.5357492179,151743.099815674,122391.405986586,10913.4769670229,17115.0555024899,13804.4873805314,119715.820626844,138232.591538764,129171.963125449,95062.0368155129,109740.268054698,102562.78898237,0,0,0,FALSE,NA,535.585433922296,918.567051627794,677.58787851989,24.536246355552,42.1522977981612,31.1615530515195,3.2121344567476e-07,5.80679870186067e-07,4.35748729856677e-07
"Bangladesh","a1","asia",2247.78914721346,3606.98130326436,2904.00866506095,221.917201287896,356.105997268692,286.703704511179,12505763.5005461,17442690.7496271,15014303.452643,133115916.278018,165203352.186422,142149417.823585,3006.30504083064,4787.70556220752,3846.15777511434,296.803106156946,472.675215232137,379.719143240439,49394.8844283128,79446.7224198383,63811.4727651372,65877.0140898257,105418.533271517,84504.0600374914,7430.24726564347,11890.1225171013,9531.18579681216,6439430.11055969,8965845.13316409,7721585.48406953,4844260.71375622,6759993.38483275,5814921.1129683,0,0,0,TRUE,NA,27803.69731355,54952.2919140556,36958.8108796081,1262.73732091456,2507.7541001048,1682.16080695435,3.35306376161964e-09,7.43498334480936e-09,4.98104668147413e-09
"Bangladesh","a3_1","asia",1032.88168396743,1660.81702922452,1340.10673118051,101.973182338625,163.967277550781,132.304551598766,13484089.3831775,18200367.6741138,15892365.2254119,130764005.206763,158610528.687714,138508450.515365,4156.51950157159,6690.94332149639,5421.55220161069,410.360187044594,660.575934234372,535.252914050758,23318.892830078,37830.9123155126,30421.9605675052,90133.4861736778,145106.462244921,118097.668247644,10166.1269630664,16366.5112819532,13320.198079704,8591045.91288679,11595744.1995625,10125303.312106,6832389.59457938,9221952.62958689,8052526.18901301,0,0,0,TRUE,NA,19543.4334029777,38159.4573603572,25547.7482028514,901.159074404628,1759.72921298182,1172.82968047193,3.58452155380282e-09,7.78827559454641e-09,5.3544590561831e-09
