"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a1",21175.2210400129,41093.169287741,30457.5213235635,2090.56343014987,4057.00024474724,3006.97594285953,1562591.54671565,2277419.80861385,1914458.22383498,27113274.1052137,34819092.7923414,29148112.3831651,13354.165827454,26069.0321003008,19293.5446415827,1318.41507893961,2573.71410977529,1904.79139695593,579907.875714346,1125383.88444654,834114.385719837,365719.249036525,713930.541676428,528375.995082095,41249.3566639431,80523.9965478325,59595.3588202584,625376.544083293,890387.465677322,757458.006764545,440977.292966098,626308.843342214,532938.368191538,0,0,0,1040.05679999531,2607.35812646261,1510.7702044726,37.9774677261281,95.2071647420011,55.1654743108386,1.49981511894885e-07,4.1685337173165e-07,2.54714379797692e-07
2020,"a3_1",21211.7648634439,41012.7230740826,30402.0910920633,2094.17128768856,4049.05804135533,3001.50348924594,1562651.29519376,2225500.08777954,1905464.52680039,27182309.5585887,34220601.0002253,29069891.9539015,13394.765827483,25957.2018013985,19246.8154875465,1322.42339012392,2562.6734536789,1900.17797354159,580908.670510127,1123180.77200754,832596.364834062,366831.126911442,710867.939828997,527096.263248371,41374.7650124235,80178.5666688826,59451.0182776631,629775.774746051,874914.393003267,754707.592587143,444918.576159105,613869.933997595,530916.578363534,0,0,0,1047.19721973746,2554.77411408062,1510.3741173552,38.2381987365017,93.2870699614502,55.1510112683223,1.53098016612844e-07,4.12165771410712e-07,2.55023477656669e-07
2021,"a1",21572.7995212386,42172.7342891475,31150.0693817244,2129.8151117212,4163.58232519614,3075.34904939176,1579793.29072674,2299726.72240454,1942859.91084371,26775836.399823,34261305.9092801,28753338.1333857,13692.0744187592,26699.9527379819,19700.2942350189,1351.77573866455,2636.00293358358,1944.94851378881,573335.360245628,1120815.11638798,827868.271480689,363891.131128379,709598.53896112,523570.215402943,41043.1638321041,80035.3913526079,59053.3164734147,633215.414667689,901038.166680745,768026.694830747,444841.043376207,632807.699648229,539936.623128567,0,0,0,1002.84208974397,2502.27283765996,1459.53851198193,37.7337817507684,94.1526269217946,54.9178262771441,1.51958872832194e-07,4.21656708278241e-07,2.5650533201011e-07
2021,"a3_1",19880.0105048071,38411.7570468947,28633.9670567428,1962.69133974148,3792.27278989436,2826.94212616853,1416347.76728106,1969949.54339961,1697140.02960733,25308444.0134658,31462323.4805318,26933355.3652606,15373.7823097582,29827.5303822232,22187.776051608,1517.80550574342,2944.77890506696,2190.52982361777,528346.493612897,1020860.48416976,760998.395297584,408585.49722419,792719.454890084,589679.450878593,46084.227032392,89410.572769556,66509.7559145975,776656.074845385,1071508.99155883,926573.616137194,552682.399547861,758850.179684198,657636.343659459,0,0,0,848.492774599577,2046.49206334617,1213.8826037641,31.926104320191,77.0030353360008,45.6745700144904,1.43477865616344e-07,3.84050693071077e-07,2.39460477453555e-07
2022,"a1",22117.4365291052,43061.2336474563,31877.7531020022,2183.5854222743,4251.30109151656,3147.1909900947,1601930.37340153,2338283.75717451,1970725.05295008,26444433.2891569,33876443.5524038,28407217.4412289,13953.774873564,27145.4981695822,20122.6583856408,1377.61260711729,2679.99024233535,1986.64720707887,570437.640967007,1110605.58517528,822168.982146978,359886.120210449,700117.932670616,518989.701378123,40591.4399367065,78966.0768133877,58536.6817673889,641670.642388088,914406.910170719,778563.638324475,452217.937195529,641817.831824017,546705.779382376,0,0,0,974.173806793095,2427.76193964431,1411.70301144206,37.7713982961185,94.1310088107704,54.7356091379009,1.52599184437034e-07,4.23044103569326e-07,2.58458748843527e-07
2022,"a3_1",18497.6426609036,35699.0197439293,26580.7712774494,1826.21448049081,3524.45270950575,2624.2365202616,1452572.23974184,1994452.88126788,1724334.67625722,23769686.2769966,29026347.2555513,25163853.6319898,17770.0346237703,34251.1638652505,25480.8762903628,1754.38001174832,3381.51042114079,2515.64732382944,477078.418606563,920724.451080202,685552.886865467,458312.454851911,883382.352649995,657185.155328429,51692.9146155654,99636.411895436,74123.7026429631,902259.988007064,1233196.86802767,1068229.05394472,670075.886150589,912238.269352069,791638.179456513,0,0,0,693.981856222763,1633.44348337532,987.558408323153,26.9075856062685,63.3330972096979,38.2903561164801,1.44097305827503e-07,3.79615236412128e-07,2.38533825645988e-07
2023,"a1",22707.4132635693,44150.3494401103,32638.9858999853,2241.83198241075,4358.82609175239,3222.34512644525,1622519.85955567,2382087.58914353,2003270.80961211,26108383.5295605,33541993.7751205,28052724.4805404,14239.3031007856,27992.1718955337,20583.2831529987,1405.80191711207,2763.57969462009,2032.12325154801,568345.224327637,1105041.77492293,816923.158434556,356396.381267654,700617.768775491,515180.242910306,40197.8334019271,79022.4531671558,58107.0141700462,650082.904260744,927577.246954788,789640.164554831,456779.668260987,651237.825394215,553949.86183882,0,0,0,932.703029511126,2355.59237258387,1362.88872246571,37.264803567845,94.1142939101012,54.4522521323171,1.53510698408493e-07,4.30593878289502e-07,2.6066661850468e-07
2023,"a3_1",18239.0892767242,34994.2267218065,26259.9276302102,1800.68831249069,3454.87069593005,2592.56062916007,1516707.7664957,2084071.77970781,1803585.25578587,21946943.1762526,27225535.3996677,23337438.8026309,18611.9634731572,36011.7046049684,26957.1802251377,1837.50101719099,3555.32310913061,2661.39819991214,456507.272148981,875872.623866233,657261.321956201,465839.963035342,901339.139538532,674712.899459873,52541.9398464415,101661.75212255,76100.6512752734,940538.720924285,1286591.42599524,1115372.99579578,704311.361308293,959889.867026635,833587.768110689,0,0,0,609.439164766021,1462.79759461882,865.722549900402,24.3492623514486,58.4439669415012,34.5886951639922,1.44661025226093e-07,3.82883806948204e-07,2.41687581882907e-07
2024,"a1",23183.4899404248,45186.6948732716,33474.3488792327,2288.83354563886,4461.14123922952,3304.81790403825,1662645.74182951,2421481.51578664,2033351.29238694,25783395.5893481,33167488.8894845,27730838.8244709,14467.2134139939,28623.8484296445,21071.5452421567,1428.30279043221,2825.94314572175,2080.32784247028,563111.672799328,1097555.00158725,813069.845898605,351399.067493015,695254.390628481,511813.929665854,39634.1879859563,78417.519468171,57727.3287801501,661213.348381545,941756.332188567,800664.622441881,463594.09712657,659564.943378582,561028.723693777,0,0,0,900.766214323766,2292.59691831201,1316.03252185754,37.084836768943,94.3869576152013,54.1814851396784,1.53619497098291e-07,4.32898829095136e-07,2.63175674952296e-07
2024,"a3_1",17636.9802552105,33881.4299970548,25271.9327321916,1741.24396955036,3345.00775123821,2495.01897898937,1605250.81528585,2202642.62156199,1907446.4740675,22451081.4473995,27803789.2000553,23898292.3468088,20310.8333076593,39256.9293115562,29242.5113885531,2005.2251293447,3875.71400759592,2887.02180719304,428390.612464378,822957.57763403,613838.570131853,493336.738740156,953524.908907237,710281.305669539,55643.2923487896,107547.768292448,80112.4003904095,994696.427593651,1359756.52885524,1179340.82623314,749132.223869253,1020813.56216095,886709.128333071,0,0,0,571.901109972718,1368.91425274858,817.244867558254,23.5453539154305,56.3586431269207,33.6462358730973,1.4937110340451e-07,3.94662413803232e-07,2.4795640698673e-07
