"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a1",41035.6372893143,79631.8800755344,58677.9114835272,4051.32029025009,7861.80678092656,5793.08691386196,3497799.91980997,5028394.75480017,4248332.51687403,60862801.8349181,77799883.3486921,65347361.3281973,35074.0054468261,68697.5913624689,50367.6327414276,3462.74700025361,6782.29861073835,4972.63905172362,1123808.30424692,2180810.97366031,1606962.35167829,960542.133327828,1881362.85323411,1379375.77381831,108339.238781569,212198.312098132,155579.35060222,1339543.86745267,1900093.29515316,1615736.17401648,960408.436707016,1365072.5258897,1158094.41237122,0,0,0,885.952485783495,2218.16363308264,1297.40783458439,32.350379263784,80.9958050243481,47.3745897010401,1.84590964750491e-07,5.12843162748427e-07,3.11731788589106e-07
2020,"a3_1",40416.7263208705,79007.7571450981,58527.9304011125,3990.21714357207,7800.18907352117,5778.27975007754,3485127.74803731,4962795.30960453,4236207.37893634,61005457.8918517,77062766.6553129,65274928.3902316,34326.9541937034,67721.6529173822,50099.8367721496,3388.99296352952,6685.94725650596,4946.20039216695,1106858.71282172,2163718.64663855,1602854.94657795,940083.272264254,1854635.65216033,1372041.87201982,106031.690411685,209183.759671303,154752.162173332,1339515.70638828,1879571.02322793,1612124.86013564,962070.921487087,1344514.25033786,1155044.78029715,0,0,0,900.826475193628,2244.96371628126,1302.89702713199,32.8935000364039,81.9744047457648,47.5750264779738,1.82631854659853e-07,5.05568188520754e-07,3.10768960959601e-07
2021,"a1",40988.1829073631,80808.110425441,59575.2193647138,4046.63526734902,7977.93232928805,5881.6753181317,3502342.30490771,5057688.75485098,4285463.70619959,59786275.6516941,76371693.7844731,64102538.737476,35519.5375528078,69185.3213710603,50836.1200114638,3506.73299340868,6830.45067100828,5018.89133652281,1089333.5651625,2147618.67396609,1583316.98315525,943994.627982707,1838722.46682376,1351059.93784293,106472.850967207,207388.916607022,152385.616554959,1341161.73012503,1910989.01054057,1629507.76272467,960540.986653754,1367639.96255572,1167231.57040901,0,0,0,864.146822864976,2150.13198499359,1260.96442299335,32.5151167348109,80.9026783845979,47.4461102294401,1.85869920532721e-07,5.15861136036223e-07,3.11972248149722e-07
2021,"a3_1",38801.6402423878,76359.3276076351,56481.8292174497,3830.76473994238,7538.71789794824,5576.27457143648,3364690.46108704,4710281.10887991,4051435.21777912,57071583.1560257,71365946.7963798,60919061.2073486,36902.5812018328,72890.7815494608,53709.2771538057,3643.27657278805,7196.27918000958,5302.54916656405,1031222.32070941,2029384.39023345,1501104.66051646,980751.462809289,1937201.63472997,1427419.17826627,110618.642564433,218496.350332847,160998.150762848,1575167.53357554,2184985.12957427,1885866.1301206,1137486.29453893,1572202.52487168,1358917.72409669,0,0,0,782.973950105051,1933.90121970209,1134.23722000385,29.4608378048271,72.7665973517464,42.6777656731082,1.6889168124006e-07,4.62749390117271e-07,2.84798991275011e-07
2022,"a1",41960.165940302,82148.0173220266,60703.4035675475,4142.59611609523,8110.21715184146,5993.0574204701,3549715.51813677,5121354.74400762,4334004.79401,58806514.3326752,74947726.1128069,63004141.0138003,35398.0402601777,69615.6924955311,51643.4899986578,3494.73794521746,6872.93986781577,5098.60045344956,1082207.60765255,2118704.90278692,1565620.24193773,912961.796196361,1795479.84004283,1331953.21109527,102972.667834874,202511.594617896,150230.574980389,1356021.54161347,1935013.0470809,1647307.84717625,971885.908338359,1386795.64400111,1179007.56686463,0,0,0,844.730724131634,2117.2846169431,1219.98224781938,32.7525339027323,82.0929489328676,47.3020677370428,1.82934375112241e-07,5.13381906991673e-07,3.1350236136605e-07
2022,"a3_1",32067.0784391813,62424.7484674575,46199.0653002704,3165.88248925589,6163.0004256282,4561.0894092368,3259945.84560167,4424634.7425799,3840816.53474585,55027575.8724165,66846078.4412666,58172853.3799529,45541.0982063237,89577.4556899988,65858.7106643299,4496.13037328398,8843.70239524393,6502.02478696701,827051.930429597,1610015.98023692,1191534.37108713,1174564.5384209,2310319.84382038,1698582.36053041,132478.757127998,260580.233325412,191582.559018116,2050615.8868395,2779065.02652753,2413620.40648123,1524708.08515204,2062142.12247733,1792655.94508418,0,0,0,614.30161694758,1467.81876314051,883.297786931322,23.8181635411234,56.9113711973079,34.2478850197099,1.6387201368666e-07,4.36831959924291e-07,2.72862752102531e-07
2023,"a1",42727.9780042515,84174.2675946122,61965.2247165452,4218.39980282358,8310.26251203838,6117.63308107358,3580908.58447946,5218565.5471727,4392642.29463063,57782626.3480906,74157825.0086214,62044595.8019272,36057.4826815004,72110.6850480852,52626.6711572914,3559.84263563376,7119.26268914594,5195.66685816703,1069441.15395359,2106802.85083052,1550931.36911983,902484.921793599,1804862.71132547,1317196.14547616,101790.984535181,203569.885656963,148566.130287801,1372131.93276793,1963220.46511091,1667408.73412653,980020.177882543,1410477.17632493,1192664.25103782,0,0,0,801.304637579849,2056.65563688029,1178.95725565631,32.0149704381979,82.1707080282739,47.1035358059741,1.83664969484022e-07,5.25537547272294e-07,3.15619500367196e-07
2023,"a3_1",31467.8042715256,61814.5259623277,46086.9632292953,3106.71802258198,6102.75506379381,4550.02192193257,3375574.18660449,4620863.1350954,4001933.52703526,52406255.7610401,64456681.9349328,55537376.8636177,46183.0247958041,92078.9832687386,68292.8621542318,4559.50578033512,9090.67039929654,6742.34096022527,787609.582395349,1547159.520857,1153513.3989549,1155917.72973151,2304650.4590504,1709306.19047193,130375.589563535,259940.785237682,192792.096353726,2103134.20759573,2877075.47107961,2492482.48751486,1619435.56252514,2209913.6688784,1916595.49083132,0,0,0,569.144596309117,1395.67908814818,813.22374127757,22.739351017522,55.7623438736463,32.4911810260772,1.60520727593128e-07,4.37817914502003e-07,2.73995354014798e-07
2024,"a1",43396.9292854899,85836.0012101259,62988.1754976801,4284.44327327739,8474.32028129043,6218.62581639582,3632513.74869707,5252533.92815821,4432841.95026092,56523924.5729367,72532403.3185948,60843513.9870977,36341.6295165284,72832.104850524,53221.2981976767,3587.8955650922,7190.48621280667,5254.37252848135,1054082.77645443,2084899.82966532,1529941.21947226,882714.200575221,1769043.76783935,1292710.21462511,99561.0512374704,199529.878522864,145804.370009707,1389970.9374159,1981115.7425222,1682308.13973701,990808.896675994,1418339.93764716,1202201.8105629,0,0,0,776.085281194918,1995.84895568886,1143.21739693591,31.951682372434,82.1697478881941,47.0666304781558,1.83440213696253e-07,5.23982932952012e-07,3.16358798608659e-07
2024,"a3_1",29512.6079224208,57139.6164182758,42302.5174341996,2913.68759430559,5641.21584710341,4176.39540971521,3573185.1364996,4893774.82422101,4230999.29343801,53765167.1874706,66233623.7235161,57025846.3831504,51574.6884542951,100994.587504614,74033.0589593782,5091.80789188382,9970.88015663461,7309.05266066167,716841.772251336,1387883.57866269,1027500.234745,1252715.15048999,2453091.88821634,1798214.15068205,141293.339568588,276683.446367778,202819.996636888,2227027.70863832,3049258.9001228,2636763.18743056,1720171.45954706,2351187.88014985,2034520.74119779,0,0,0,532.356916503218,1284.22731592866,770.275430796941,21.9173066633731,52.8720545110431,31.7124889499512,1.69138437055043e-07,4.53494974996809e-07,2.80772499071185e-07
