"cluster","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"americas","a1",25673.6527134681,40168.8258439534,32636.0651486244,2534.67953792427,3965.74270383044,3222.05676978668,341659.961230642,420376.572730972,380547.007925729,21809230.0970453,24977198.1912939,22599726.5496357,8013.96604795115,12820.0485115115,10303.4792811891,791.193835410331,1265.68334471076,1017.23032538166,1603308.32031437,2508525.50712757,2038107.91472076,500468.655037023,800606.391102177,643447.749491887,68200.5684478567,109101.360148352,87684.8167016463,103570.007500202,126961.927517424,114977.248871942,66978.6171435684,83628.32894074,75296.2550909223,0,0,0,1701.18155773452,3116.70876091116,2193.40728824443,27.2408893301751,49.9076174699616,35.1228620621987,6.31210174944086e-07,1.23781477098826e-06,8.96132007182119e-07
"americas","a3_1",14987.8111614047,23315.0266609864,19062.7007754857,1479.69977988979,2301.8197551905,1882.00090312236,348545.301805904,395954.72388489,372383.054083591,7515269.16641278,8192884.65949748,7683819.70722002,18743.1778234908,29219.426633945,23826.33991146,1850.45540013697,2884.74272147836,2352.30011526663,935982.215174817,1456013.16069455,1190457.27937911,1170503.21155782,1824740.34216579,1487944.44830371,159508.459910202,248663.582330121,202767.258592126,295127.9439092,335294.550235463,315030.082018149,233875.7364139,265896.487395369,249722.31872599,0,0,0,257.201116933694,437.11289177598,322.492658787439,4.11854168659025,6.99945508786222,5.16405012027146,5.59006336677058e-07,9.90059641486702e-07,7.5631951586412e-07
"americas","a5_2",1838.78722710707,6749.49269729619,3857.31935552629,181.537719278248,666.356331221675,380.821091210088,31203.2552834438,81599.8071253216,49818.4973167282,2009385.12526628,3533311.42696169,2345183.54002712,719.566858003196,3395.65079675055,1758.66440451421,71.0405882444762,335.241996474651,173.627443276099,114831.453607768,421502.850422186,240887.897248087,44936.6338064465,212056.898801014,109827.818576014,6123.66816360579,28897.7159627488,14966.6109613161,18821.4822800671,52822.1527696446,32303.6592083218,14066.1652858603,40620.3208358332,24365.4114592023,0,0,0,591.75258162269,4910.33096878122,1333.50259094766,9.47568853749864,78.6287518148459,21.3532743382678,1.36224447561083e-07,1.80413569251489e-06,5.44416467859825e-07
"asia","a1",363692.379553488,576655.592328166,460508.792612163,35906.2126001895,56931.4053834284,45464.5946447637,53112218.6735874,66397982.6211502,59645594.7330559,787183003.090072,906807522.603798,819002662.559739,439539.748610939,694448.426958852,558112.922757823,43394.3864296368,68560.7240076486,55100.745536815,22712429.1459761,36011888.1194709,28758571.5602395,27449063.9848501,43367998.8351744,34853906.5601357,3740577.45332699,5909904.93257981,4749660.5753539,21468735.5430539,27091813.7562691,24234909.9065495,15928683.8404446,20524977.4711884,18210065.391678,0,0,0,1133.53702381806,2063.08422723894,1467.4497385095,18.1512411048031,33.0360089183474,23.4981597011704,1.62240798111654e-07,3.23469645227214e-07,2.30292963708106e-07
"asia","a3_1",185014.332016549,290141.301794096,235148.122241739,18265.8870873901,28644.7444378811,23215.4395979184,55154258.5904043,68774611.4295534,61874127.7390841,824684285.433895,949596728.166554,858966885.868969,618609.966474331,964083.410837807,782759.639897725,61073.4296937797,95180.943731506,77279.4142113223,11554063.6624693,18119196.6887239,14684896.8124705,38631920.3327617,60206584.9890713,48882995.2426654,5264503.38179872,8204556.42772493,6661452.27963784,33599115.7797699,41901315.2468591,37693151.1525817,26755272.5099054,33368325.5506582,30018768.6331779,0,0,0,855.40760909601,1535.0491903301,1097.3571478228,13.6975761967498,24.5806245194923,17.5718955355513,1.47634975854535e-07,2.86937137619045e-07,2.07666277815065e-07
"asia","a5_2",80878.9840651982,150924.929936896,111080.395997776,7984.92946235967,14900.3469020607,10966.620525033,13711259.1373153,24853332.4464716,18117159.3381305,230099277.246523,348645190.555293,257879126.288703,146704.649574044,320648.814704938,220447.588404436,14483.691804346,31656.6558939984,21764.1018108949,5050856.98313121,9425195.49560433,6936921.87530535,9161640.84308425,20024377.452363,13766854.9398371,1248488.00644113,2728790.1276546,1876056.21887872,7441990.36105641,14368780.7879653,10170428.974665,5802424.05267549,11342065.8626033,7980655.24175986,0,0,0,717.605263747074,2376.51084384565,1169.79790142043,11.4909578484484,38.0548852030661,18.7318837465541,1.0209958084747e-07,4.30864324123393e-07,2.16753481051371e-07
"east africa","a1",275972.910725408,423570.549688726,347058.002581804,27245.9434441965,41817.797301595,34263.9525210801,8910769.47868754,10646006.2271219,9779539.36693131,184001189.434811,208109758.613054,190112757.696565,158528.254474828,246782.838523042,201062.936679178,15650.9993838707,24364.0987940562,19850.3156961506,17234386.8979465,26451794.5356413,21673619.6201326,9900019.76894672,15411479.7271223,12556291.9652434,1349109.41792596,2100174.840989,1711088.67859767,1964719.97903995,2364118.17123201,2159063.12781532,847071.841786104,1065713.79893721,953184.526457046,0,0,0,745.59961517596,1312.76130745576,945.538550448585,11.9392292429254,21.0211457623378,15.1408360225144,6.70559773212244e-07,1.25607130357391e-06,9.31250847133061e-07
"east africa","a3_1",157607.120963956,244784.088170727,199613.255068904,15560.0587496041,24166.7684150886,19707.1931590082,6989887.25283091,8140253.97675711,7558153.87270301,134706559.134582,148496457.132376,138436819.27883,277053.840274191,428038.657782011,349877.036057267,27352.6602421457,42258.9196570182,34542.2668905516,9842495.38632051,15286658.6466994,12465759.9862726,17301890.4728596,26730825.9209287,21849667.0208238,2357787.55291736,3642700.70570789,2977528.55492286,4072952.20693964,4756714.97896144,4409547.97361369,2729547.51926844,3183874.79645153,2952696.29352461,0,0,0,314.706526351143,535.984114081992,395.672779325166,5.03937138093121,8.58267235972352,6.33587775717098,5.82447847936187e-07,1.05092973360381e-06,7.93453293060644e-07
"east africa","a5_2",65075.9112717465,127530.858767629,92732.8046091082,6424.74144809721,12590.7233294718,9155.22013794841,1549642.87241741,2972619.32193092,2097498.78568707,49363711.9027664,65491364.462287,53058217.9450868,48277.7356566558,111388.831977355,74274.0532445371,4766.31004056738,10997.0714458631,7332.84527366326,4063962.03759886,7964246.04013256,5791122.86261764,3014923.35851567,6956183.56657548,4638381.9583245,410853.876277785,947942.83057146,632088.109918916,723054.978925295,1391190.57990344,1002998.14646594,381076.804135114,800261.75577784,549843.460939815,0,0,0,443.165719816525,1356.55418738053,714.357378213895,7.0963785573399,21.7223977774779,11.4389497074218,3.47024601474851e-07,1.5405305989721e-06,7.40520343993074e-07
"west africa","a1",180461.55856919,281726.729622065,230577.438366124,17816.4059860207,27814.0000111777,22764.1902559125,3448244.58744092,4009091.30679653,3723671.32290174,110042031.707301,121424889.031728,113074684.902324,98979.0776696435,154577.222375189,125642.587114166,9771.89516629453,15260.9263261564,12404.3001673495,11269744.963057,17593710.3574304,14399459.6146908,6181199.86804734,9653279.552045,7846324.30586281,842333.162022824,1315485.28805833,1069245.34134209,1205579.78211884,1392356.06697698,1296844.78489659,509972.919443418,621030.884009311,564990.876554279,0,0,0,711.890342033756,1226.77329280639,899.971001071303,11.3994452469772,19.6442263029566,14.4111663620422,7.10874754074527e-07,1.28218160811817e-06,9.68832882527144e-07
