"country","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","gavi_support","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Afghanistan","a1","asia",5690.18348730342,9161.70971750659,7299.45488059996,561.774041787851,904.506982802022,720.652379711922,501568.466278236,576569.754454936,538639.166389391,11872907.5876741,12973911.1919745,12142848.7030056,7607.83313235442,12162.2735230195,9688.20935733794,751.097601254272,1200.74327472942,956.48664766307,355349.456157564,572144.742406587,455847.746888229,475105.833081104,759528.632369749,605024.413351941,64744.2903025102,103503.554036182,82448.737798336,143573.357488961,163937.362110065,153707.727325815,106764.160530714,124466.004970563,115611.85586888,0,0,0,TRUE,NA,976.207907608917,1705.33593025317,1253.36357371432,15.6319420778521,27.3074129775203,20.0700144242645,4.64069510112443e-07,8.47112147806015e-07,6.30300735421178e-07
"Afghanistan","a3_1","asia",2850.81967241194,4484.83620344271,3636.95134123358,281.452521408608,442.773869487021,359.064845502685,434968.678849865,492312.404073492,463879.568755236,8507965.87949065,9240959.67600951,8699348.69890582,10619.8075133355,16770.5463553654,13618.7910382745,1048.46042365547,1655.70365702018,1344.54069941799,178032.434710633,280076.048409533,227126.01167653,663202.308463723,1047313.24396508,850487.510600074,90376.8377458339,142720.943384763,115898.83022032,243498.597738189,276012.728888436,260227.320695381,193472.222091858,219320.131430355,206744.818287332,0,0,0,TRUE,NA,507.315963309014,870.162633777065,638.775400434372,8.12361146821734,13.9338472711528,10.2286613154,3.84757889830075e-07,6.8873276935242e-07,5.2334209190189e-07
"Afghanistan","a5_2","asia",1170.48406248343,2274.87748340471,1618.68793319251,115.558235353354,224.591548106662,159.808003494403,114515.690223468,193253.94323281,149543.407090035,2798732.15466318,3828173.00822925,3046891.84686638,2322.64410245498,5566.74783067027,3676.46530867938,229.30739720121,549.587624973302,362.965936082388,73096.2149063654,142065.098314789,101086.349505639,145048.102666033,347640.9536896,229593.641564708,19766.1990507172,47374.2169839425,31287.5076373529,51814.0073201699,97854.5880178856,72096.8309609427,40094.5689374807,76863.7072176598,56367.9536118849,0,0,0,TRUE,NA,502.758924922633,1648.19612448715,828.755772473439,8.05063996332866,26.3924376663062,13.2708023885219,2.37356689093664e-07,1.07437122094652e-06,5.09934384032918e-07
"Angola","a1","west africa",13340.7822886431,20296.9988976012,16634.4797386054,1317.09376395777,2003.85930125297,1642.2702249665,272174.448483847,315636.773443829,291449.112218452,14638451.4082591,16238469.1919944,15013415.5986405,7361.41894516634,11456.3235721645,9220.51275584181,726.769898254994,1131.04704119379,910.312423099104,833125.986457841,1267538.65424317,1038815.94359247,459717.375467712,715442.368425801,575816.966288199,62647.2527633831,97495.7686704895,78468.5394929887,95353.9956511119,110667.297092366,102504.904945857,38940.4183560316,47519.6995284665,43219.6511633685,0,0,0,FALSE,NA,1277.76169344817,2205.88847244687,1628.26254853652,20.4606996374401,35.3227223040538,26.0732428490587,6.6518466959777e-07,1.20145186302227e-06,8.99519175273813e-07
"Angola","a3_1","west africa",6585.72725737552,10327.2591585204,8405.27729497286,650.188280877661,1019.57803839151,829.826772525089,305258.344160124,346797.999783376,326430.462422838,20871233.3132353,22647127.0017133,21326609.6751532,13603.1987578415,21396.5713731236,17357.8883047616,1343.00132227504,2112.41665712579,1713.69009305693,411275.770725536,644932.792372491,524905.870309214,849513.779544743,1336206.47173175,1083992.49038344,115766.136572435,182089.407635467,147719.349240542,212978.950227128,242569.473566818,227924.482837254,147022.288515567,167849.703674433,157569.167352587,0,0,0,FALSE,NA,975.447558829533,1664.83835198383,1228.64079435878,15.6197666713781,26.6589283741223,19.6741304615582,5.60795987962366e-07,1.00463315037968e-06,7.61563132169341e-07
"Angola","a5_2","west africa",2809.89944137795,5427.58323203341,3974.74196385747,277.412594817461,535.848338845807,392.4138585482,61938.2353774729,109333.740993003,81208.6541274676,4549042.84587314,6916369.96073471,5103926.31256835,2243.79508966497,5423.11002247206,3481.44854943689,221.522880462011,535.406712838375,343.712540598661,175476.984279866,338950.18571132,248220.887494217,140124.016496226,338670.835741596,217414.930721191,19095.1770546599,46151.8284548287,29627.8732244274,36990.584668815,70088.8257225584,50615.0010687722,19628.8017217036,41649.3191977946,28010.3044190409,0,0,0,FALSE,NA,838.825475976517,3082.44277411598,1466.0352551796,13.4320477755694,49.3589188611431,23.475509688493,3.20135922742788e-07,1.46607848213981e-06,6.87829393642911e-07
"Armenia","a1","asia",647.062321387347,1050.8731439308,840.586834598192,63.8824418202836,103.749422982506,82.9885125145001,58015.7693190438,66775.1618178298,62431.6978021769,1215472.17874127,1330093.44756587,1246071.61243439,856.944939399748,1375.29216938326,1113.6641938666,84.6034971052193,135.77830000694,109.948587207921,40408.7573833247,65626.5656493561,52494.2781184777,53515.8345688051,85886.3911047089,69547.8391014399,7292.78507618818,11704.0310843099,9477.52094621668,16528.9062903508,18981.4896159998,17800.2050766239,12383.2668215606,14429.8112719983,13415.6438244646,0,0,0,FALSE,NA,883.791972207864,1552.13408284731,1118.89348629237,14.1520928182838,24.8542035882066,17.9167552656368,4.51463481916307e-07,8.32052735507446e-07,6.25646833321669e-07
"Armenia","a3_1","asia",416.896159818781,708.914943062898,561.413949893305,41.1588556379258,69.9889579548478,55.4266456347801,43315.9106565808,49468.9135836815,46451.1386590608,944701.811752862,1019277.79598446,962239.232607118,1074.13937543799,1809.92454746135,1419.24324026194,106.046425344579,178.68819707258,140.11745194879,26034.9818237559,44271.4264032902,35060.0542529073,67079.5315741569,113028.991958115,88631.116150769,9141.15627128541,15402.8457627609,12078.0641161299,24712.0854409013,28145.7496614362,26440.5728713625,19391.5075933248,22061.0740352407,20749.3117869981,0,0,0,FALSE,NA,521.956461156308,948.925082993848,677.994585642364,8.35804863324748,15.1950643074727,10.8566751091148,3.81634665396646e-07,7.32404617080888e-07,5.36767205145961e-07
"Armenia","a5_2","asia",332.366635381439,544.114924362269,428.39506101717,32.8135197274885,53.7187668795087,42.2941062351607,26954.6663257927,34596.4766836118,30570.6271660076,665091.71976076,761540.897323886,688480.464712699,554.489340223721,1007.11098370198,758.282929763659,54.7430005518815,99.4289215990323,74.8629050754806,20756.1501999445,33979.7377168544,26753.0831462131,34627.6154245847,62893.6379902935,47354.4354600022,4718.82311146089,8570.73029353741,6453.15023107806,10748.9841502828,15985.5938846978,13186.8475949756,8241.15472189777,12388.6269202165,10170.0668042487,0,0,0,FALSE,NA,660.395657006925,1373.40944555693,907.946674900468,10.5748648196087,21.9922997291697,14.5388802131159,3.46868151551445e-07,9.36935964944635e-07,5.7502972132064e-07
"Azerbaijan","a1","asia",2329.12504197275,3775.33793765996,3078.68473784522,229.947240115872,372.727321902115,303.948927557255,240412.51121325,278743.203176503,259163.253316734,6071766.83649475,6686165.49897881,6221345.01247488,3208.80580714169,5005.94970830394,4066.08992902097,316.795374281432,494.221778066655,401.432357813382,145452.834488507,235768.193758942,192262.507828608,200388.511377055,312619.357594902,253925.527742529,27307.6250606023,42601.7047844863,34603.2966523776,68877.9670343826,79411.7870730387,73945.6050244352,51166.2832076077,60079.6326760127,55636.0216339317,0,0,0,FALSE,NA,1212.91007506984,2083.69278193704,1530.05593114682,19.4222356645063,33.3660121183195,24.5006678445622,4.04071728569765e-07,7.2678534571223e-07,5.49875807720735e-07
"Azerbaijan","a3_1","asia",1210.27869669191,1920.2363273023,1536.67348192332,119.487035285843,189.578934525306,151.71097290175,171516.917398638,197244.324187792,183503.554906255,4565791.96886893,5029240.32780202,4687367.94736884,4432.43958275822,7035.10282783891,5613.87992522888,437.600914793447,694.553727275519,554.240829446795,75581.3723104326,119917.914092475,95964.5830950134,276803.902492574,439339.077459136,350584.332265412,37721.0107138121,59870.2326759175,47775.3212089668,120151.047417344,138764.625276285,128950.522291291,95416.1024356491,110205.197462031,102386.814544062,0,0,0,FALSE,NA,649.001454648458,1134.64385332296,834.960492529191,10.3924103343473,18.1689646804634,13.3701580931467,3.19421435681688e-07,5.8552155632922e-07,4.35351468569276e-07
"Azerbaijan","a5_2","asia",528.468972910252,1031.01524902086,741.654637286916,52.1740909645004,101.788915046365,73.2212456995513,54413.7580923481,82898.4834156091,67355.4956828476,1642339.93875383,2151268.22778967,1762998.44355088,1083.74666584361,2462.0545978618,1662.95539877272,106.994923116898,243.070959948718,164.178392096842,33002.6549299904,64386.4488460179,46316.0059081918,67679.5026345632,153754.226789448,103850.833261655,9222.9163714638,20952.61224207,14152.1068121729,28750.7137163357,49774.8406906011,38423.6434287968,22361.9835147031,39115.4923876673,30061.9793652396,0,0,0,FALSE,NA,667.060730570368,1985.02869313566,1060.15978832144,10.681592129515,31.7861116593231,16.9762570812403,2.17729811046538e-07,8.5634555794102e-07,4.32794823805389e-07
"Bangladesh","a1","asia",2255.79818793237,3543.55395943873,2894.55128300633,222.707908860954,349.844013735069,285.770006722099,12817330.0030043,17273585.406205,14965229.4880816,166990231.003137,203582589.81713,176666583.377473,3023.3337614575,4735.62504895412,3837.60718624002,298.484298553356,467.533468837836,378.874970309582,140873.60470389,221293.386260953,180763.454558461,188805.86369735,295737.701511179,239656.880945855,25729.2182054744,40301.1840032878,32658.8595478343,6590938.48203291,8865124.19222887,7697607.21121185,4928759.67493706,6729474.10141116,5793395.9900387,0,0,0,TRUE,NA,35262.5533645273,67337.1205033564,46035.6088582809,564.656552579666,1078.26412713254,737.164660911142,3.41036819778311e-09,7.18505424055098e-09,4.9854546756431e-09
"Bangladesh","a3_1","asia",1047.80440035722,1613.16587439406,1326.57033074605,103.446455515044,159.26282787799,130.968145066306,13561764.9466148,18226383.0756478,15814858.0664999,161929564.324009,198511518.036327,172259246.830201,4207.95022079607,6446.30591239403,5361.65901323688,415.437781304123,636.423646985535,529.339846645569,65434.9239628631,100741.499362357,82843.73371038,262784.640571688,402568.969050954,334833.247241897,35810.5581358118,54859.4447472673,45628.8671973868,8640491.47716604,11612268.6472395,10075914.7403587,6871669.61214336,9235062.59645891,8013247.63727979,0,0,0,TRUE,NA,25119.7455604262,47175.3484761453,32127.9750176069,402.240551987287,755.415223676946,514.462790804506,3.62371070513978e-09,7.46057782642281e-09,5.32126278496677e-09
