"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a1",21055.4652662053,40809.8205957856,30378.5548133966,2078.74031667216,4029.02611346126,2999.17982597132,1572501.30056183,2261412.07010109,1905820.40885043,27098185.7887979,34586397.9525125,29035991.3912417,13339.2533077119,25946.1142232079,19213.9337601499,1316.94281244637,2561.57881171742,1896.93166330541,1314904.54537807,2548555.34746077,1897127.3871713,833030.502271156,1620323.42176514,1199901.71275695,113519.904228755,220806.992249262,163514.693813397,633190.414584893,883803.894726384,755082.308894341,444652.112918429,624083.026527942,531091.181059092,0,0,0,1044.40247027663,2592.82863550667,1511.19451923286,16.7239363603582,41.5187653491881,24.1986415075008,1.50930012724617e-07,4.09767956456159e-07,2.54461447895457e-07
2020,"a3_1",21165.0867399011,40994.8546093187,30471.2448272751,2089.56290235543,4047.2939436433,3008.3308215141,1581815.8348536,2235278.36070276,1903495.74416585,27116433.0027299,34330724.2496954,29018992.4912452,13395.8136598605,25996.4547831919,19302.3948607651,1322.52683934153,2566.54877796036,1905.66515145118,1321750.35819728,2560110.6402253,1902915.83777161,836562.67138678,1623467.16759563,1205426.06958391,114001.24494633,221235.401202625,164267.516736701,634943.732351939,876766.408597414,752765.501423847,448695.849473234,614850.136009131,529496.697799269,0,0,0,1043.08195978561,2562.79499860203,1503.38819097678,16.702791127516,41.0378390333684,24.0736393740531,1.52786574947484e-07,4.0942926843134e-07,2.56419759197982e-07
2020,"a5_2",19348.8587386349,48890.484757174,31621.7356221396,1910.25238497823,4826.80484527237,3121.91518400661,1211720.96733345,2244840.23250663,1620972.28920555,22721924.4589468,32392700.6316658,24913151.7660946,12206.6767277684,31098.4448524633,20056.1328469969,1205.127064436,3070.25232087271,1980.07934844838,1208327.71832139,3053189.27034717,1974763.4819085,762301.592977153,1942084.20349302,1252496.67531928,103881.43482413,264654.430040237,170681.988524349,483344.824558423,755221.605799996,604939.941909486,339506.570261493,517343.207561293,420469.583183488,0,0,0,730.645039221214,2653.68710535089,1242.1712578467,11.6997627693379,42.4932873420305,19.8907927318401,1.61630396085372e-07,6.43400803574848e-07,3.31539239807673e-07
2021,"a1",21626.5567689234,42170.9221383065,31125.3696928699,2135.12239686844,4163.40341720406,3072.91052626335,1598214.7816111,2296590.37949729,1940451.83859545,27568356.9016751,35251918.0836937,29570538.4223837,13653.9264554905,26825.0190141277,19693.8828685814,1348.00950941039,2648.35033636919,1944.31553960705,1350568.95854856,2633555.54015917,1943765.64793448,852681.701952153,1675210.63940311,1229874.32348998,116197.84015029,228286.660367846,167599.163578456,641812.422993463,895720.784291691,766179.406220475,450745.354206515,631772.293630189,538318.633360307,0,0,0,1027.7106192229,2581.8154359194,1501.50879944346,16.4566510343427,41.3424118319732,24.043544822102,1.52435074578376e-07,4.17957304238732e-07,2.57040096727871e-07
2021,"a3_1",20109.3802815395,38700.4034700984,28746.2474969924,1985.33630133656,3820.76994963843,2838.02722331408,1425532.01983953,1973335.02257288,1694254.08721666,26022080.5444984,32443310.8199838,27757379.6068064,15527.8837400311,29941.1332461447,22261.1969834571,1533.01945860151,2955.99456097089,2197.77844288088,1255821.95418747,2416823.1757136,1795190.51317409,969709.51017835,1869810.60268071,1390201.9608223,132145.618227707,254805.460260485,189447.556867257,781075.51499524,1073820.12461458,924197.377801674,555968.183239405,760669.553874589,655882.847353496,0,0,0,869.108070511963,2089.35817418213,1246.89519738914,13.9169606307671,33.4567316082285,19.9664368120931,1.44604141644342e-07,3.83332119255168e-07,2.40870592344769e-07
2021,"a5_2",16326.295771054,37062.830516037,25725.5158636485,1611.84418449665,3659.09748702309,2539.79982474134,871785.368560859,1321962.17747129,1091438.32067628,18966492.2666024,24712717.2950481,20495500.9958391,11241.4973962383,28055.0790540091,18823.6554011839,1109.83792387777,2769.79032187894,1858.40070000205,1019569.99036263,2314557.4649606,1606547.15123298,702026.568222847,1752027.3478956,1175529.00088956,95667.5518764594,238754.734907088,160193.341342583,441145.462923853,672348.863281758,553366.122839156,308320.272690372,465462.353984283,384588.208471762,0,0,0,676.044869810913,2198.34746421929,1088.81620275252,10.8254544595913,35.2019687197985,17.4351300396072,1.67197388292859e-07,6.35959823049381e-07,3.40166385766541e-07
2022,"a1",22121.7832709571,43197.4626524192,31910.2523126917,2184.01456251981,4264.75055565027,3150.39953565122,1619794.28221598,2324787.74991299,1967283.62457458,28093074.4352309,35809513.7363494,30111461.7197968,13891.052111393,27255.2704227532,20128.7559329252,1371.42018472959,2690.82771400522,1987.24919887589,1381495.63579283,2697662.54377823,1992781.22233969,867490.09487199,1702079.65064101,1257031.95509482,118215.83029766,231948.192057421,171300.026548607,650823.814744617,908551.836534516,776969.519300717,456237.893418012,639686.682216934,545330.934154428,0,0,0,1030.73915611486,2577.8834784573,1495.94251230115,16.5051467624626,41.2794496998074,23.9544122945748,1.52892235234233e-07,4.18781086451917e-07,2.5906751079555e-07
2022,"a3_1",18508.1763098606,35725.3958851554,26607.8559862755,1827.25443474933,3527.05674354023,2626.91050896194,1454560.23671987,1994243.0213886,1720253.63994735,25162994.034892,30831062.8153818,26683126.9919287,17700.593059197,34315.2384504167,25522.2525308088,1747.52426298636,3387.83630479024,2519.73227080544,1155827.47038867,2231035.26048504,1661648.90382516,1105394.25157145,2142971.54889312,1593853.44549528,150635.840141855,292030.032912417,217199.838414079,903210.411299321,1233079.29106556,1065433.8911602,671028.631115922,912281.271630665,789469.986431681,0,0,0,733.2892082697,1741.80959430409,1045.48479644258,11.742103644768,27.8914629522921,16.741267565938,1.43547890127172e-07,3.79925187100669e-07,2.39547969541466e-07
2022,"a5_2",12919.736446553,31239.494087164,21205.1971644039,1275.52522315118,3084.17767123192,2093.52287927727,806016.365489285,1208464.93786866,1001086.35736199,16788287.6429676,21403824.0981499,18008977.5237678,11409.3358346828,29070.1776309133,19328.8612828568,1126.40808864358,2870.0078336047,1908.27809863351,806831.85880133,1950892.6661646,1324255.23656633,712508.004885948,1815419.80756832,1207078.88600322,97095.8929551246,247393.441330505,164492.751660412,489413.906877136,731005.643293787,606262.350908243,358754.2981961,529090.8142929,441289.838996653,0,0,0,577.508945976128,1875.99211805873,931.714355037581,9.24760629633913,30.0401173760511,14.9194702455592,1.5607726067988e-07,5.93979394995231e-07,3.18820082657288e-07
2023,"a1",22677.2381986681,43871.7469404653,32684.9370982428,2238.85289250819,4331.32053720796,3226.88174471559,1647729.16763345,2363021.99164249,2000204.66718785,28611404.333946,36535781.0363903,30688692.4324968,14338.9958146455,27724.2989519159,20600.868682511,1415.64426735031,2737.13343562729,2033.85941594643,1416183.55173131,2739771.30100678,2041159.94647984,895463.982128023,1731370.27600173,1286515.18866448,122027.92720594,235939.725352641,175317.807220571,660725.511325777,921046.098470204,787982.749573123,461889.448613373,649179.217409575,552372.952314108,0,0,0,1031.99739634783,2548.00137392282,1489.67953271552,16.525294866456,40.8009498601662,23.8541236845827,1.55681630251315e-07,4.19603882046053e-07,2.61438066933207e-07
