"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a1",40519.3862067273,78520.503550229,58378.8884443376,4000.35243343328,7752.08404808991,5763.56530323409,3469375.95881248,5001624.63314717,4234906.4904556,60914180.6448302,77604930.4784775,65215822.2813634,34695.9318848546,67010.3018503096,49984.565362766,3425.4209784345,6615.71778763713,4934.82000598142,2530417.84760131,4903570.91226504,3645735.90747412,2166745.68643932,4184763.87845732,3121514.122974,295269.815621463,570272.028944019,425379.362847591,1332764.90116266,1890668.79378447,1611784.60456143,953309.95065694,1356642.98549904,1154945.03658143,0,0,0,909.027104233954,2236.71555316701,1304.71920297907,14.5561810448635,35.8163539746134,20.892368162419,1.83511421984203e-07,5.02791616074615e-07,3.10119387052757e-07
2020,"a3_1",40908.7235587332,79671.3525113374,58589.4032276303,4038.79049405881,7865.7037712169,5784.34877022252,3524695.87243191,4979709.19192886,4238520.22538117,60988856.7787711,77280373.0751768,65227574.1122635,35033.1051542919,68569.8361533592,50175.9036624443,3458.70904212828,6769.68573800039,4953.71023864245,2554731.79399791,4975440.92372634,3658882.46310333,2187802.00882203,4282156.10977715,3133463.11563558,298139.232400054,583544.000068616,427007.692781338,1352094.97010328,1884380.90437343,1612059.79055291,971478.792521662,1347766.25909697,1155084.51671582,0,0,0,889.44148331297,2205.92416044254,1299.97806419349,14.2425580047209,35.3232937731813,20.8164486720097,1.85913076666103e-07,5.07137720866762e-07,3.1125336638559e-07
2020,"a5_2",38271.0857800693,88473.9987866711,59789.2410611549,3778.38475512286,8734.76154194733,5902.80501170104,2886079.4048121,4720272.41223871,3683564.89532383,52877080.9940382,72784105.6591303,57584739.0363109,33206.4137317797,73920.234896796,51011.4096895577,3278.3655038551,7297.91389338128,5036.19713890444,2390012.47479138,5525162.31209049,3733811.808101,2073725.9328913,4616286.15812246,3185640.09956124,282593.696937496,629077.039956947,434118.028119646,1093883.06981202,1653867.35836604,1355228.01462651,783067.148827002,1169121.56145691,965090.433643906,0,0,0,715.326203547145,2191.86890361103,1128.85998224234,11.4544634329048,35.0982280274862,18.0763479980812,2.00780392477098e-07,6.75759932087613e-07,3.7640462814382e-07
2021,"a1",41181.0975441332,80188.862405608,59391.404132735,4065.68112684726,7916.79590657919,5863.52781444552,3513074.90100172,5071345.7961665,4286932.52241437,61596882.6922292,78885675.8634854,66049732.730228,35152.895628215,68525.4000746078,50753.1349097086,3470.53558143999,6765.29870274624,5010.6984766396,2571741.42959214,5007759.18901524,3708967.06689558,2195282.87123295,4279381.09620275,3169510.95315263,299158.675004041,583165.839515862,431920.054395268,1347327.70348068,1915193.3273426,1628833.60935071,962138.601103137,1371573.20937909,1166416.76641405,0,0,0,898.891252370142,2244.07333887365,1301.39217701,14.3938764292076,35.9341736307451,20.8390927516847,1.83547504715834e-07,5.08602323678046e-07,3.11591893845682e-07
2021,"a3_1",39492.4999145969,77027.2105103379,56663.7441761776,3898.97115740346,7604.65589072641,5594.23446708031,3380605.31810631,4749751.93682556,4053095.28587209,58822513.9794294,73864483.8736382,62776712.0089374,37338.5153540368,73492.2645631175,53846.0190150066,3686.31498994691,7255.66171914959,5316.04926339218,2466289.25029713,4810315.41869559,3538625.90227265,2331773.86184354,4589559.59901175,3362660.20523357,317758.767245511,625434.920704002,458241.160931349,1583161.40002532,2200862.07175364,1885879.56764198,1143294.90700701,1583898.89002829,1358876.76581166,0,0,0,800.390548979624,1978.23837325263,1165.85614233509,12.8165922482182,31.6773787897424,18.66876466175,1.69654045263662e-07,4.64212079462917e-07,2.85522044667641e-07
2021,"a5_2",34701.009954681,75424.9520100141,53033.3494522429,3425.92232040656,7446.46991382,5235.81693592324,2421647.66485444,3588652.49102331,2996248.37918205,46292770.9312836,59928711.8962258,49876604.4495922,32176.0087671566,71804.2111091703,49961.6616557591,3176.63684028104,7089.0054744619,4932.55879453088,2167062.80966657,4710255.08004671,3311909.34846274,2009377.59603751,4484141.40324293,3120083.7965448,273824.729874458,611069.224063821,425184.447392736,1031183.46521321,1534730.48380128,1278047.69487092,736925.4375835,1090435.08031013,910225.187856442,0,0,0,644.708300755518,1862.52783338988,998.29755049476,10.3236643915387,29.8245148221047,15.985661828963,2.09652503203441e-07,6.96328185346961e-07,3.90921730513393e-07
2022,"a1",41693.6328977174,82656.7039099994,60549.1061097301,4116.28214134611,8160.43818973354,5977.82411442486,3561695.91648594,5112609.28638033,4333529.31772929,62326472.6434273,79759909.9658371,66890890.3477342,35536.5161246418,70057.2314765379,51553.865986001,3508.40923477141,6916.53163221503,5089.75215463041,2603749.03700305,5161874.8055723,3781265.04618494,2219239.80251299,4375043.29353181,3219516.25669404,302423.367637877,596202.053015247,438734.447449873,1366130.09807608,1931302.93195737,1646830.8706149,973134.352586117,1386168.04877429,1178368.01823717,0,0,0,889.650808771973,2244.44933448414,1297.49513578473,14.2459099171824,35.9401944195123,20.7766897305315,1.84002807310118e-07,5.12815225835369e-07,3.13048940883357e-07
2022,"a3_1",32505.8897527785,62195.8165912507,46309.8996862635,3209.20495957197,6140.39869658418,4572.03174196251,3265744.56694738,4425145.08328322,3846131.48628529,58477130.8605579,71018342.4609773,61886474.0631458,46648.1643421261,89212.6302668958,66071.3214895051,4605.42755482899,8807.68432079329,6523.01518962328,2029978.5185032,3884101.39150895,2892032.86764723,2913157.34663219,5571289.52316978,4126124.96790215,396985.875176674,759218.601691766,562281.10485162,2053701.17883904,2779514.635199,2416926.39694243,1527409.72962798,2062689.73023625,1795000.63209523,0,0,0,655.480403230046,1522.42523285838,936.661666029731,10.4961572392467,24.3784780602666,14.9986911556416,1.6782845375731e-07,4.34399274763662e-07,2.73369191437066e-07
2022,"a5_2",25435.0674675364,56387.9716382283,39599.9814110768,2511.12476184068,5567.00830581442,3909.58246982065,1998286.39878683,2899030.66535303,2441723.889836,40316877.6446429,50696915.6241867,43068761.1937565,38674.2176025379,81887.8131611379,58691.8702013899,3818.18470072863,8084.52800781322,5794.46501447495,1588408.77663916,3521404.02856644,2473001.42248039,2415187.87980137,5113857.9164751,3665281.48054816,329125.879619059,696882.838425463,499480.39298544,1255141.7021077,1822012.05474313,1534061.47922353,922939.989371593,1332385.08987804,1124475.74644594,0,0,0,492.34282963825,1310.87113759374,733.811361709455,7.8838478313517,20.9908786178391,11.7504648476044,2.12261041313419e-07,6.52418870503843e-07,3.8259138239425e-07
2023,"a1",42578.9104813741,83708.7097925673,61790.2686365713,4203.68283191869,8264.29944446345,6100.3602137923,3614551.9980556,5173585.57080677,4387695.10317105,63367262.329781,80796068.3874754,67864631.5196002,36280.8167197281,71183.4330166895,52426.484856612,3581.89170761956,7027.71799245988,5175.90309000487,2659034.23274461,5227572.11025134,3858775.10010505,2265721.04732203,4445374.08439464,3274010.92137337,308757.52520446,605786.269465082,446160.621039567,1387167.55196971,1950159.69974851,1665185.32831688,986740.755320968,1400781.13367438,1190537.16461403,0,0,0,890.196772540095,2226.96388043386,1294.47228257267,14.2546523929741,35.6602011898033,20.7282850147404,1.86040234163422e-07,5.13156704938868e-07,3.14838738758305e-07
