"cluster","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"americas","a1",25815.5943860315,39856.2018590117,32562.1618016135,2548.69299588605,3934.87831431253,3214.76052318152,341485.327131415,420145.178631907,380451.503642279,17474423.6311202,19957781.2703242,18092453.5732463,8086.01554657693,12811.8763352874,10281.3053934858,798.307057355125,1264.87653127885,1015.04116671129,535024.498300337,826357.608200214,674872.936023818,167305.899107729,266145.0295503,213088.460473327,19309.4332683311,30716.3077236556,24593.4103674654,103423.644379139,126970.646595035,114943.070794552,67032.5244035374,83884.3954697672,75282.6810265878,0,0,0,1363.92384486188,2468.18487490703,1759.7428420626,65.6575238720272,119.289166591032,84.9058345677568,6.36841330135677e-07,1.23877633709373e-06,8.94469350993984e-07
"americas","a2",1984.20321632078,7539.68429073362,4276.73063637739,195.894185670491,744.369478991448,422.228256891277,60010.2862444057,121474.684472288,86237.7858951841,4244816.06740354,6734643.0414292,4829524.70750152,614.484772579536,2404.9951810061,1350.90949604209,60.6661621860432,237.437661953915,133.371074829926,50544.2132122508,186056.62963081,106848.223983502,15631.2291226908,59382.8324244488,33750.1146435323,1804.09970232011,6854.1779874413,3895.07544108865,18144.1666448379,36535.1677003566,26068.3353392938,11841.9273055732,24082.1085492023,17050.5576082982,0,0,0,1764.99982242284,10959.8208807648,3575.0172174014,71.4822094888132,430.84539216772,143.096542293584,1.68189941707463e-07,1.32549222462654e-06,5.18218550766383e-07
"americas","a3_1",14912.6838738501,23174.0371483156,18949.0621127911,1472.28269745787,2287.90030100076,1870.78171291738,349569.640238387,395827.570793163,372244.535830275,6162853.90088661,6726554.15400735,6306953.19680101,18644.9090605223,29009.7624109735,23683.1644882737,1840.75363212238,2864.04322765363,2338.16485295961,323368.917235937,504493.844544811,411966.909750517,371437.362560014,576064.505153012,471430.996222134,42867.9932518045,66495.3456590617,54412.2831316266,295628.754186888,335266.865026691,314950.459486083,234281.388235675,265869.064427305,249660.214193304,0,0,0,212.440688537159,360.771625765115,266.305341075674,10.6982010621357,18.109524867522,13.3783167575796,5.56121436546913e-07,9.81290283848179e-07,7.51964754295595e-07
"americas","a3_2",17475.1389606784,26999.3432803407,22009.9215604869,1725.26588407028,2665.5608266514,2172.97080525744,278868.147169207,315891.589680944,297843.838011646,5264833.53042511,5764097.40484897,5394615.40331295,16556.2298894991,25595.8623516462,20834.369823864,1634.54486178624,2526.99953848835,2056.91225426573,375193.568988172,580656.504906773,473500.431086485,329649.074667041,507201.400765563,414201.301085506,38046.5386482569,58543.809001692,47808.1139514501,237437.823699108,269055.241518752,253673.35439384,176511.816601576,200085.71498536,188607.511143885,0,0,0,205.690804947093,348.152776527035,258.928657258156,10.3801636243087,17.4855561498874,13.0241392027866,6.15346863195941e-07,1.07800273574283e-06,8.2130698644516e-07
"americas","a3_3",12366.8262292983,19598.9057641261,15853.1980856981,1220.93812447747,1934.9387467556,1565.13672779409,425887.681134305,488376.708890171,456943.60484215,7170589.82662858,7853699.31234142,7349540.56785147,21025.8111733837,33222.2096976309,26928.6794291261,2075.81266071571,3279.92499022316,2658.58440534728,272864.061460308,433265.842382849,349924.068224372,419096.820957415,661977.605084492,536683.625994825,48373.1946985223,76401.8255735666,61943.480337213,356693.05351362,409591.761733563,382944.817730232,300268.368591744,345095.896711698,322499.702618179,0,0,0,215.837233341523,373.526578716892,272.926141335479,10.8320731268747,18.7395821671944,13.6943633304034,5.13335792799975e-07,9.31394917012657e-07,7.03199995987311e-07
"americas","a4",15056.621773314,23575.7657189137,19099.6107966225,1486.49323666608,2327.56170793256,1885.64491421669,349176.715993505,396254.676111676,372635.840393053,7172973.34498079,7813976.99116714,7338089.20477953,18852.4151776097,29549.2734779007,23882.7651055652,1861.24006289425,2917.30747006923,2357.87079843033,326721.558740604,513033.004171763,415255.729110405,374768.704028775,587630.620573307,475400.58537477,43255.3362574359,67824.8232435399,54870.0896956463,295367.779954656,335430.132574536,315255.102385565,234038.34019582,265972.748840109,249901.358527824,27773.6120923867,31633.2236138097,29703.6811743361,242.746182925455,414.481482481221,307.254590175976,12.206602402684,20.8501321139323,15.4355914370504,5.62037018943743e-07,1.00042304825655e-06,7.575695024392e-07
"americas","a5_1",1869.52822201391,6936.45675535694,3879.10532808434,184.572681682524,684.814708671226,382.971952229864,101552.915907806,151881.272494171,124299.578754513,2937938.77176426,4497918.76910695,3253031.14520516,715.892160295661,3366.14979255948,1764.09876781868,70.6777968181335,332.329454480497,174.163960990319,47525.1684541506,173558.633910667,97323.0021509519,18165.6416819207,82536.899239935,43661.0626193846,2097.30672492385,9524.42159802944,5039.38520204892,79712.6792664349,116049.969059222,96462.6140946663,62442.4656407986,90550.9740308867,75414.3621406832,0,0,0,872.789077378035,6282.95575586317,1844.01871626924,35.5954585018231,247.605829062647,74.5064583874989,6.16882680882346e-08,4.22285365833499e-07,1.82879013219301e-07
"americas","a5_2",1897.30513738595,6684.06381708604,3877.07658690843,187.315009772957,659.896742252827,382.771660950563,31737.7013208914,81851.3441767523,50210.5286446296,1959784.57462245,3350145.17257086,2277424.19302359,753.69345391742,3457.00370325204,1777.52673337924,74.4098004609138,341.299177290995,175.489662086386,48161.8593302934,166178.872822502,97192.7044322174,19098.5091216474,82736.652180378,43928.8753642363,2204.63707531457,9549.28827374577,5070.4030439249,19484.0434028548,53963.0599459082,32752.45089463,14598.9063492624,41240.6148582917,24724.1881979608,0,0,0,566.902654104438,4444.97050512784,1281.23203452136,23.6870180624403,175.413963007909,51.8434440704507,1.39668405511643e-07,1.77427427755859e-06,5.42715639540331e-07
"asia","a1",358235.809168655,573775.936216002,460561.963483194,35367.5024502923,56647.1059303968,45469.8440387755,53021432.5768069,66192615.8754517,59607111.0322296,630893062.065669,726414098.174843,656913616.539798,437323.637279979,700394.400781691,559620.732216621,43175.5966801985,69147.7514302746,55249.6068548736,7197570.37643027,11515628.3926112,9241991.32850028,8790062.02936328,14049758.1165695,11231253.4130938,1037638.85652264,1658483.1266386,1325800.78942537,21468862.4671843,27044339.5204728,24216974.3611426,15943408.8201053,20425084.5698915,18196872.2613505,0,0,0,900.768283357986,1661.04467321483,1173.85503917592,44.9041938538167,82.6403836228061,58.4897867030534,1.61706162928816e-07,3.26237313156326e-07,2.3108614803448e-07
"asia","a2",103259.830717171,216771.404444654,150382.312581962,10194.5205432742,21401.1636515103,14846.775985533,37345499.0216374,51691475.5281036,44495857.4936729,451220330.245388,558774796.755486,479759952.958313,125337.553361016,262613.671951937,182882.918440991,12374.1851377075,25927.0275291426,18055.4592827798,2423724.73434468,4982957.48596029,3494415.84195454,2936783.99614662,6025506.76049048,4249229.81039262,346785.431696587,711367.207470363,501708.351496903,15978430.7111588,22042114.6365563,19030917.5639688,11934680.0107662,16675510.2186735,14303862.8987713,0,0,0,1718.190553034,4458.1594404194,2623.31745932365,74.8850425667199,190.267584367342,112.905155608419,5.68627626830084e-08,1.6435510889598e-07,9.60977934071044e-08
