"cluster","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"americas","a1",25694.1560260974,39955.541402021,32626.157128797,2536.70376593582,3944.68579709585,3221.0785819379,342673.026256197,419102.04461513,380123.091640746,17435871.2543986,19901211.1602659,18077477.2723069,7997.2428304946,12769.9959700087,10294.7995767941,789.542804387654,1260.74181363281,1016.37340527875,531962.362217524,827590.160469693,676072.094404493,165944.107378633,264745.271097906,213339.239205404,19152.9694053559,30556.8096342186,24622.1070997205,103791.954094725,126564.794363975,114835.37405325,67226.2409469547,83689.8733679311,75226.171767123,0,0,0,1365.37797626155,2488.50905019163,1755.98146787199,65.8590470080601,119.92719400911,84.7358289062883,6.31869460277881e-07,1.23034546187986e-06,8.96483305921076e-07
"americas","a3_1",15126.4585044095,23343.4115086165,19057.9918807576,1493.38799898444,2304.62210253384,1881.53600865461,348608.650609347,396397.155051963,372647.479635011,6163936.0839444,6730768.20493288,6313097.65086114,18919.4890799611,29244.5088477677,23821.1371065937,1867.86205976069,2887.21901010202,2351.78645859371,328751.28281083,507740.363864484,414358.243308482,376412.239310231,581715.937247032,474151.587468604,43445.6541545278,67140.7603823471,54726.7679713207,294818.123520733,335581.070729306,315228.392399691,233639.098291948,266047.288713751,249879.177359819,0,0,0,210.772426236692,355.758455024132,265.020835177245,10.5961272319875,17.8813744666404,13.3145133702187,5.63782964243009e-07,9.91950850867928e-07,7.55678666038114e-07
"americas","a4",14896.0653316254,23415.8041167677,18995.5291925739,1470.64200069387,2311.76919861033,1875.3692625593,348105.965719098,396304.571626301,372416.345686088,7161840.90643125,7811445.28596688,7334302.61630596,18614.7475093338,29329.7372879125,23752.1043990517,1837.77587638646,2895.63334777711,2344.97107500934,323398.170705588,509699.002866909,413006.89137126,370651.677852607,583895.791106679,472806.787651781,42783.2051409756,67394.0493908869,54570.8099593432,294569.312140989,335436.473404224,315064.260544573,233407.112364744,265901.059269573,249749.736277322,27732.4626145724,31612.0155015495,29686.785769658,244.1836023326,419.637455842474,308.78538141651,12.2656148845621,21.0748952526614,15.5122616845924,5.54941068883162e-07,9.95682037437574e-07,7.53881267205534e-07
"americas","a2",1877.70968589083,7723.23638665238,4282.2493094851,185.380412055391,762.491004076359,422.77309824902,59741.724825155,121085.656503014,86258.741905556,4215136.00177636,6714106.86234694,4819769.39881169,596.258528232881,2453.32435919756,1350.7953035156,58.8667420133756,242.209050755257,133.359800958479,47891.4361948238,189360.436439833,106941.836039886,15199.9885438367,60210.9597736555,33734.6641011859,1753.91296717054,6948.58673743303,3893.39817294473,18147.588400022,36676.7866930133,26065.9866542993,11758.517918494,23903.6123699211,17063.3842984787,0,0,0,1718.13237249846,11260.3955238098,3568.09753947743,70.0061254233757,441.717889653895,142.872903205883,1.62571092506985e-07,1.35187348595286e-06,5.1822143601566e-07
"americas","a5_1",1775.49727036202,6725.64243813559,3835.25340011318,175.289299541947,664.001669633655,378.642588357589,101118.584848119,150926.609589729,123734.96608789,2929566.2700367,4340024.27342094,3234156.6447328,681.962234572659,3344.75033308697,1746.17346333952,67.3280012353542,330.21675269034,172.39425167075,45151.5272688926,168874.650600042,96231.0313925948,17317.9006575742,81597.3666236554,43202.2022747586,1998.45327123037,9418.90166909757,4986.24135799659,79237.409205515,115334.412464753,96082.6138652136,61992.959624933,89981.1821734758,75124.7745184044,0,0,0,875.869938947855,6364.02436000074,1852.13938513734,35.9027060707546,250.609144793931,74.8609208429728,5.91291202685126e-08,4.22117578883962e-07,1.81736673586866e-07
"americas","a5_2",1783.49187051118,6820.88086837358,3880.11199516427,176.078581442661,673.404262363346,383.07133732623,30920.3665460152,82160.0128556477,50092.2391869092,1942712.60838411,3385199.96652354,2282593.02921215,705.172428650641,3350.67171057364,1766.86569948724,69.6194711970808,330.801351793525,174.43713151114,45239.9635771706,170238.925225801,97377.9270913245,17850.855188186,81734.839470255,43732.7670337972,2060.53266975598,9433.3805097128,5047.11294799783,18588.3741636766,51492.8429185402,32520.7309034199,13860.4954385691,39472.1993297341,24531.1892375072,0,0,0,579.797955810932,4800.52796874259,1291.88824587776,23.7684764657928,189.637971449341,52.1941140254888,1.36945716857428e-07,1.80256308651305e-06,5.43304424717415e-07
"asia","a1",363041.829268911,565235.88167524,460562.883063832,35841.9858026584,55803.9730213865,45469.9348260995,52892238.5624243,66469393.0629841,59569403.0030139,630368359.282867,729467046.873597,656691084.618615,439815.742669439,685963.093437168,557475.879019922,43421.6344609348,67722.9935339247,55037.8521984482,7297097.90934105,11328945.436683,9244224.52138072,8834488.87751437,13751551.7464995,11191717.1472002,1042882.70918447,1623353.0416931,1321149.36401441,21329508.9853168,27140409.5575253,24203439.4527006,15944019.4564422,20537506.5695309,18185042.2505974,0,0,0,918.953753217639,1658.57420756732,1177.97219455148,45.8397983662702,82.5703735651582,58.6765262185791,1.62051991786355e-07,3.21602852606398e-07,2.30329197678439e-07
"asia","a3_1",184078.725353415,291630.33451306,235118.608021297,18173.5175640092,28791.7519870671,23212.5257511251,54748531.1824898,68835330.8897813,61839626.9711621,658208181.756052,759407238.976488,685516649.672748,615445.8575378,966894.972012115,782953.93180571,60761.0471019181,95458.5203840251,77298.5960445056,3862047.71067186,6119371.96713897,4933870.39262466,12201828.8285007,19187876.8558147,15501488.3897338,1440277.5741707,2264884.6571052,1829798.52224065,33364056.5144195,41937835.6302016,37676602.6480923,26571493.4688817,33398492.2603178,30005485.9410292,0,0,0,680.744238835285,1233.91396607109,875.551704672784,34.3033357313103,62.2371653995578,44.2226341392319,1.46751936119132e-07,2.89801382992574e-07,2.0780905834814e-07
"asia","a4",184449.548892318,290386.004922615,234849.778470109,18210.127813697,28668.9032134027,23185.985049255,54930581.2846691,69037909.9080002,61945313.8954872,718668012.695171,830381793.245331,748721006.508721,615401.420830994,966939.461683244,783155.85434797,60756.660004658,95462.9127102872,77318.5312263756,3864760.78316807,6107457.36296493,4927682.74141162,12119378.569404,19124729.5665906,15504268.9396768,1430599.05560982,2257490.64093207,1830103.75287144,33498653.6923072,42079039.3566929,37740716.4842677,26680828.8724718,33508870.791181,30056627.4166726,1583338.76503674,1976313.92139903,1777040.03561617,743.239924704405,1349.33356527524,956.030657693393,37.5779437922421,68.5168623531302,48.2912808995901,1.46248923511394e-07,2.88650245638169e-07,2.07509535404403e-07
"asia","a2",102520.891995173,213912.390362256,150587.85629139,10121.5674314077,21118.9021215999,14867.0686739265,37436813.8356605,51474605.4920592,44274244.3130126,449168477.53702,557327722.376906,477853221.896157,126021.405257813,258358.266310582,183178.522963738,12441.6996993916,25506.9046223989,18084.6433939575,2405296.79787287,4906972.32669919,3497536.53357035,2957974.03313085,5940188.39211254,4254388.04598033,349265.773859569,701314.636080596,502318.475016763,15966318.245741,21982855.3119278,18919404.8378117,11960336.4664356,16551197.2131342,14228594.9448016,0,0,0,1738.54889162733,4422.4845869377,2608.67493724007,75.615190611367,188.415353256839,112.320083812676,5.73271321989887e-08,1.61814553821448e-07,9.6820446802662e-08
