"country","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","gavi_support","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Afghanistan","a1","asia",5706.43969574613,9180.76506409957,7338.32082433349,563.378966469346,906.388257649677,724.489492934686,503958.379086602,574687.928378741,538461.535775781,9447660.56535489,10342110.9076938,9665762.35442233,7724.91892270666,12212.495478052,9743.13532877607,762.657115605412,1205.70153147599,961.909317255848,112317.642935182,178419.176759608,142861.078513948,149567.13837773,238817.967371296,189688.497027444,17827.9087041066,28466.3126230522,22610.2420886324,143674.817236364,164490.471708071,153613.510764418,106872.31392211,124752.197514907,115617.257123473,0,0,0,TRUE,NA,773.606064570016,1338.79863480433,992.058719114245,39.5600911830322,69.1469464473868,50.9559752219657,4.69627136604997e-07,8.50009466722395e-07,6.34262916086736e-07
"Afghanistan","a2","asia",1515.44746087639,3180.53890863478,2266.00226563213,149.615394145596,314.00467168661,223.715325578693,172457.511038874,262374.025393267,212033.217737105,3925462.7565186,5250038.8123223,4244632.924486,2005.39464307137,4171.37667620444,2997.47970240216,197.986349039826,411.826989488078,295.931808060816,35156.8398308827,70819.0525663086,51441.424261366,45918.7093025423,93744.8470721341,68047.2690486912,5473.35842709432,11174.0760250534,8111.00963301222,49200.1046449241,74741.2186317518,60498.0556828534,36885.2303900926,56760.608509922,45518.5531856993,0,0,0,TRUE,NA,941.047299542941,2617.95793185204,1416.06727848211,41.8739043170881,114.333327135387,62.3777116088047,2.68311740132564e-07,8.4783898455281e-07,4.95467113540925e-07
"Afghanistan","a3_1","asia",2774.27179931864,4419.55566420393,3561.68615400196,273.895189003802,436.328925758917,351.634148666393,434607.63488657,492126.959772129,462082.595481664,6829635.60154372,7435816.72526458,6977153.82375394,10465.0413687262,16510.3057587515,13349.5142020387,1033.18084562725,1630.01091580661,1317.95583849223,56141.0279933696,89683.3174418395,72338.7062530608,200837.319170129,316884.140264727,256942.558089951,23939.1448507896,37771.5424905128,30626.7039505604,242649.43849912,275029.350877333,259192.183651847,192789.931196716,218478.856268123,205925.457825079,0,0,0,TRUE,NA,413.658941350833,710.538684298547,522.652264206617,21.5524689744277,37.024078771763,27.1545277497835,3.80506347244144e-07,6.80418049218416e-07,5.15043085557323e-07
"Afghanistan","a3_2","asia",3757.62054943789,6074.42128118236,4912.67824758747,370.97813950516,599.708638968532,485.013378093778,355643.704193152,402387.515421005,379023.066007741,5718158.88215594,6220680.69913932,5847307.2350241,9305.63301990827,14988.8386794123,12087.5072501333,918.716080887885,1479.80122353312,1193.36183414804,74385.3086865648,120936.991749229,97802.7706963709,178599.168651944,290108.8892585,233051.680061916,21288.430786948,34580.0210397044,27778.9902283851,200038.024182152,225522.66089537,212601.589564312,150615.658317672,169803.936902413,160075.208213686,0,0,0,TRUE,NA,381.494457606646,668.485495380156,483.747981616279,19.7103883882055,34.8304012056307,25.0901741342118,4.12625187329869e-07,7.4929947647172e-07,5.68552063740653e-07
"Afghanistan","a3_3","asia",1701.10708645316,2734.51789856492,2187.19662031698,167.944989050542,269.970410558067,215.935090374824,518712.858242877,589391.63178767,553331.61938059,8013955.65075865,8713206.99507812,8197413.09328379,11653.5484842799,18396.6778408972,14936.7843611224,1150.51844071325,1816.24653918629,1474.66206328573,36021.5657191296,58170.5164657973,46461.8781999601,224098.622526342,354189.400038682,286939.409679711,26711.8153522855,42218.2061938285,34202.2295463118,289161.56272395,329669.608081209,309135.205094047,242741.793820775,276863.804047558,259531.073061247,0,0,0,TRUE,NA,435.619720042225,747.687024843275,548.807085587987,22.6261871469994,38.881126964776,28.5684462180847,3.53491744419742e-07,6.3620758124273e-07,4.83179661034666e-07
"Afghanistan","a4","asia",2886.49723441841,4425.35391386149,3597.69502238569,284.97485566272,436.901368836138,355.18919176426,429346.776932606,491891.33863106,461003.682786772,7138647.73213501,7784723.29220505,7300674.94002348,10702.1353577698,16575.754830778,13493.7391553326,1056.58839457639,1636.47249825041,1332.19471762844,58589.5562650673,89970.9862782096,73043.4944429027,206886.699022109,318358.383173509,259682.835756204,24660.2109411576,37947.2673741371,30953.3359941212,241845.255259456,275960.297256664,258690.451708196,192181.221095342,219275.129785292,205531.811446918,9203.09981138757,10536.9998300694,9858.53932531401,TRUE,NA,430.668033221626,727.399068687101,541.041653168338,22.4233069064318,37.6279544746041,28.1138139868339,3.87814314746008e-07,6.85386811206827e-07,5.21617209534799e-07
"Afghanistan","a5_1","asia",1174.45318906051,2195.23079560278,1615.11958293903,115.950094822306,216.728279405162,159.455711420011,204517.483765205,276892.571805769,236772.670884455,3789031.73621226,4614217.85605967,3994629.57300247,2389.80817058726,5416.4072063921,3678.41664183313,235.93829585356,534.744964743785,363.158585109454,27134.2856552605,50155.1328326933,37287.7778038213,55285.8939996096,120046.068002621,82912.8404670075,6589.89589251049,14309.0946570945,9882.93662817081,105551.867929922,148287.776888655,124081.150025132,83073.7769065478,117232.158481218,97840.0988588222,0,0,0,TRUE,NA,699.547059855596,1930.79005790067,1085.9644140289,31.5631473754686,83.461033588283,48.178660271469,1.61160159031968e-07,5.13151241434038e-07,2.96452494282014e-07
"Afghanistan","a5_2","asia",1174.76797094685,2072.30875336485,1588.19770343083,115.981172254689,204.592570135522,156.797798349616,115783.62448339,187608.748492256,148461.398243948,2584691.94476445,3426249.58643072,2787027.40054503,2416.34131217701,5104.50660443503,3602.41301709296,238.557830043531,503.951992568379,355.654984644534,27326.6823658968,47701.2933351219,36679.5204349109,55873.5531319702,114174.561373147,81247.8942183709,6659.94291938079,13609.2304671315,9684.48053654608,52318.2764064563,95553.4931711568,71602.8265060892,40622.7004434869,75145.0664075341,55978.180275933,0,0,0,TRUE,NA,506.354902649895,1417.94934728978,773.655710025741,22.6380720335515,61.3214910162973,34.3027647344841,2.5287838591613e-07,9.75664137858546e-07,5.03110448689705e-07
"Angola","a1","west africa",12927.6585659547,20524.2796924324,16443.0583804199,1276.30734925411,2026.2980241901,1623.37179219851,269978.564192075,311889.018689556,290333.065047836,11505998.2890434,12690832.2945636,11828057.2613083,7116.60668820842,11286.9691622942,9081.48780243564,702.600348823534,1114.3272093044,896.586923709037,251010.302030588,399043.433185611,318602.211267456,137331.952268289,219034.0563928,175963.481803472,16172.0000615521,25793.1145298683,20721.1897271905,95382.3438075156,109503.008711078,102080.556598906,39057.7500405583,47259.0818761037,43085.9759250117,0,0,0,FALSE,NA,1019.40548641533,1783.27015255615,1302.43606759413,52.5306360048837,92.4099023202629,67.218818018836,6.4990056181794e-07,1.18333946427985e-06,8.89639330447472e-07
"Angola","a2","west africa",3401.72558519706,6961.13474857012,4822.38198047912,335.841741362706,687.251089856738,476.098709692487,93497.3705936108,142878.04494397,114141.465455329,4801887.91003482,6361646.07820708,5167367.42248017,1843.10304584909,3871.00108803215,2670.26556741945,181.963806581714,382.171845923996,263.626978603294,78402.0654220586,153571.044733809,109606.916044861,42629.8518538583,86645.4488441902,60693.578694989,5020.0259693224,10203.2351604821,7147.18273627737,33019.7156094424,50118.5733744694,40127.896364744,13777.4818503506,21360.626817551,16942.8363629204,0,0,0,FALSE,NA,1240.47702411675,3451.59544526516,1935.15112711202,55.4199669352489,149.22984250604,85.1386181798306,3.67748505544649e-07,1.17233023258541e-06,6.65438712049089e-07
