"country","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","gavi_support","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Afghanistan","a1","asia",5871.07279121863,9044.19991292811,7336.27906978848,579.632677735774,892.90560685078,724.287916886101,501338.116994479,578599.417484383,538266.111795604,9409981.91790832,10353179.7716732,9660874.96458893,7794.58507688044,11954.2816086185,9735.50075541233,769.535037397098,1180.20888270623,961.155579675075,114290.9617755,175857.638861549,142814.432447855,151622.859216302,232210.313281132,189532.275599493,18072.9438356782,27678.7020881079,22591.6210105978,143425.674649293,164998.544889625,153537.671797187,107199.859084364,124247.292360372,115595.384100615,0,0,0,TRUE,NA,787.16414971554,1328.25284085767,992.334673613793,40.5235313838789,68.2824464937941,50.9721889532085,4.72403261622372e-07,8.33482682779727e-07,6.34078961954842e-07
"Afghanistan","a3_1","asia",2768.304525898,4443.98646267107,3598.20502826263,273.306058738417,438.740902179294,355.239543051431,432840.000466198,492596.234424941,462525.952907723,6823650.2239103,7428225.92386226,6977712.14190669,10412.461071068,16697.8498916408,13507.2547273036,1027.98975707979,1648.52656223204,1333.52906783176,55829.4839647206,90393.1181878182,73014.5591328669,200596.73801422,321599.911944532,259810.965961416,23910.4683719186,38333.6468931835,30968.6086912226,242758.958540784,276556.253516245,259609.697881892,192926.899711518,219758.789262638,206267.510631217,0,0,0,TRUE,NA,408.65442366483,713.397713870193,516.589957232531,21.2178236699493,37.0306416614595,26.8568807944116,3.76504271325628e-07,6.87836609285647e-07,5.20290838035207e-07
"Afghanistan","a4","asia",2771.51875124627,4475.58127255746,3605.20181525603,273.623389167066,441.860159069515,355.930313976056,434563.428920557,492971.494806202,463542.312676604,7180766.47439557,7804061.78053226,7340916.28883286,10439.808229382,16747.221789405,13510.1458089413,1030.68965659828,1653.40089547976,1333.81449529124,56298.7467055404,90970.975092545,73202.3903416332,200713.07313178,322231.18942251,259945.47693771,23924.3351335445,38408.8930827303,30984.6419551539,243173.63746386,276905.124885662,260015.031447677,193137.784424644,219982.37679185,206576.913805098,9224.12539990876,10558.4270607491,9905.04141638714,TRUE,NA,428.773593894745,747.529227459213,543.36321699611,22.2845171731038,38.8816814907139,28.2402155071617,3.77017515789667e-07,6.88693970451217e-07,5.19590953404551e-07
"Afghanistan","a2","asia",1554.76254941051,3302.45669557224,2295.44290889912,153.49685003157,326.041233967336,226.621908327357,169669.382314107,262103.933187616,211681.520974503,3910361.61993472,5210848.42146928,4235875.42524594,2037.80570069784,4432.61410421338,3038.67177483594,201.186191519786,437.618144751577,299.998572704238,35731.9961642768,73312.0786297909,52127.8127980445,47210.7600001844,99309.2052872628,69003.9629393426,5627.36660113899,11837.3291388873,8225.0443837289,48180.3318667471,74726.9386937269,60368.5440478034,36382.5118778071,57285.1106494661,45472.2164394479,0,0,0,TRUE,NA,882.179573497671,2557.08795970334,1393.9891304893,39.375620906678,110.374169393777,61.3859732805412,2.72700278683958e-07,9.20004892550909e-07,5.03353496885687e-07
"Afghanistan","a5_1","asia",1193.49118124907,2175.85071054075,1611.07043854547,117.829656323821,214.814944142814,159.055952041982,204140.83204312,273173.263857426,236729.282217281,3786871.92491612,4558811.8251221,3996052.62766629,2468.58818439686,5392.66013641158,3667.71340499579,243.716000538949,532.400490701191,362.10188796924,27867.5472011397,49903.9777525412,37198.2980835234,56551.2950287721,119645.70577351,82683.8941533731,6740.72751412659,14261.3728022366,9855.64698405588,105145.209510698,145721.704652148,123992.258168845,82781.3174807925,115014.226299935,97761.6257601283,0,0,0,TRUE,NA,702.227069595379,1846.7283664148,1089.52150465826,31.6507132490379,80.6137476215651,48.3292746257678,1.69404289518135e-07,5.12877397030905e-07,2.95801807238749e-07
"Afghanistan","a5_2","asia",1185.05779372698,2177.18453683399,1618.99173513006,116.997054316378,214.946628646392,159.837996910738,116505.579079622,191050.301679762,148652.30149114,2594995.96287298,3429485.03054575,2791724.80042142,2501.36563588559,5338.1532951023,3670.19898654061,246.952015940458,527.019200516836,362.347281671173,27559.1809133831,49701.609102079,37398.0573287037,57276.5420140962,118045.023679689,82800.5940711694,6827.17455846084,14070.5767855283,9869.55722866453,53275.7055133633,95147.4508264156,71662.3778347622,41166.0240638441,74659.5512947802,56019.3843022072,0,0,0,TRUE,NA,486.122413392261,1371.04507287739,760.646714431361,21.9831034124269,59.8759092282792,33.7162411905144,2.62893605047707e-07,1.00198641081596e-06,5.12151438095354e-07
"Angola","a1","west africa",13100.0842609917,20560.9932773885,16628.5633319599,1293.33039953449,2029.9226417539,1641.68611661894,270483.176919278,313454.480948805,291453.403967008,11584008.2862122,12743706.7549393,11866893.3532361,7267.19596374333,11316.5592963319,9187.98928666202,717.46755761494,1117.24855080991,907.101482577615,254289.686557937,397150.115543104,322051.35131196,140915.067225322,219017.929395058,177933.720560436,16593.9421831677,25791.2154393495,20953.2020212897,94895.4905019935,109762.011219047,102439.643774551,39076.1834684499,47887.0859847622,43287.0582089525,0,0,0,FALSE,NA,1023.63341921135,1753.59338299376,1291.56586745948,52.8906848777539,90.435373632276,66.6927736679649,6.6208662569425e-07,1.19252866879846e-06,8.96917340603301e-07
"Angola","a3_1","west africa",6524.8789059172,10302.5232733869,8378.75393967388,644.180913204696,1017.13594171754,827.208204505037,306225.098452134,346642.824901324,326560.701865539,16091310.5795291,17430207.4852454,16452491.8786263,13503.3146187758,21445.0733904994,17301.6794568198,1333.14007322417,2117.20510979992,1708.14076907415,135098.820792139,212802.74942266,173099.882686119,253821.315622374,400672.487230734,324475.745791046,29889.6088205986,47182.5775512105,38209.7661486216,213716.447048997,242301.73880644,228068.187956832,147034.949032526,167900.848854389,157637.833760438,0,0,0,FALSE,NA,750.349988853753,1290.80955138299,950.918777549151,40.160757457406,68.6711730356698,50.7048434036771,5.57293343633937e-07,1.00343579947232e-06,7.58618710124298e-07
"Angola","a4","west africa",6515.36272543731,10373.3719121735,8360.18637767548,643.241410430752,1024.13060652143,825.375087106756,306697.216802849,348224.298717621,326818.528708385,16575967.1167921,18060656.3491008,16961271.5783518,13614.029202751,21484.6799559047,17292.5027026254,1344.07057827087,2121.11534228692,1707.23477679713,134310.548069071,214846.02831369,172693.79419132,255595.532928523,403163.279415716,324218.146307766,30098.5379293045,47475.8894185766,38179.4316285725,214075.858452732,243012.324281516,228244.596967479,147489.797279689,168627.042840361,157798.027089135,13732.0118433047,15628.829915185,14658.5845863977,FALSE,NA,771.524972716034,1326.62094961947,980.845391209722,41.1147739963192,70.661079801232,52.3143808312665,5.60219702560432e-07,1.00360125196688e-06,7.57630319945285e-07
"Angola","a2","west africa",3211.43372318812,6955.92869819963,4772.58182105432,317.054820224112,686.73711276533,471.182095508749,92231.2549459987,140194.408047365,113420.770432414,4763185.24047712,6345317.80439452,5136635.62034494,1801.61941248797,3854.3467629359,2640.44605070655,177.86825703866,380.527616428858,260.682990862767,74556.7386437828,155883.050730841,108535.037802675,41224.160510115,86641.243269207,60046.618868421,4854.49391271019,10202.7399184225,7070.99773939741,32542.8197240226,49400.1103802048,39920.325201298,13463.4468606625,20775.1604970304,16790.0600149091,0,0,0,FALSE,NA,1235.79572193161,3522.00790045432,1945.36662431351,54.9759567239496,153.922304926927,85.5441274986814,3.64699471038005e-07,1.18439237768038e-06,6.61428993223907e-07
