"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a1",21075.3080964321,40992.451790376,30381.400086571,2080.6993373192,4047.05672083456,2999.46073090431,1558783.8484771,2255087.40983828,1906945.04178538,27117987.8627988,34536623.4556469,29055194.5091335,13264.3398410693,25975.1298256043,19234.2252223796,1309.54683988519,2564.44343150858,1898.93497598873,516279.644265466,1004294.88868394,744269.607433958,326081.311490988,638635.357776387,472880.2162828,38587.5068101274,75573.0806662991,55957.8311191997,625225.191028787,880560.621064164,754285.456414103,439488.815525413,622001.18321272,530356.251253564,0,0,0,1043.99816458542,2603.7197379936,1510.59864243073,42.4623966283651,105.914145455715,61.4430325242397,1.50635169501893e-07,4.1545238736883e-07,2.54999285201914e-07
2020,"a3_1",21215.6214065291,40962.3289158354,30429.2366793569,2094.55203214103,4044.08278352327,3004.1834882872,1565452.20676417,2243635.38395316,1907267.16809326,27185028.4384735,34357740.8060675,29061071.6866127,13423.8517359308,25916.7311431556,19261.238076998,1325.29495101194,2558.67791200513,1901.60187074759,519746.503105973,1003490.83983959,745453.923065122,330034.820169349,637183.55483752,473550.496820726,39054.4675251285,75399.6320593416,56036.7164391204,629321.849981564,878441.259888247,754743.181213681,444578.700348628,616080.600340308,530938.721707702,0,0,0,1048.9373944697,2559.45472893626,1508.78523854174,42.6643597941029,104.103381541492,61.3684747069633,1.52814449285301e-07,4.1181997961639e-07,2.55202545136275e-07
2020,"a4",21130.5068805619,40988.4029280461,30419.2384235499,2086.14894085687,4046.6569893038,3003.19639172203,1571079.27173814,2246488.61547391,1911436.14976356,27219763.7725357,34366887.1636564,29110141.6390197,13371.5021390441,25969.9865699226,19253.9135544309,1320.12663883103,2563.93565394065,1900.87874351349,517636.903117618,1004092.90951793,745205.312149132,328738.052532151,638471.941188546,473367.710602799,38900.2859357617,75553.6971439774,56015.2505758931,629664.484598642,880437.827801898,756244.089477048,444670.510760387,617706.24625871,532019.906146705,0,0,0,1048.12390638894,2570.15904468256,1511.90777691638,42.6326703125978,104.541859084887,61.4958329159165,1.51873326165772e-07,4.12441660680231e-07,2.54599193862728e-07
2020,"a2",19309.316387747,49218.5659204981,31503.6630730055,1906.34849218995,4859.19527372978,3110.25825004319,1492083.4461878,2560498.32789088,1946198.08963339,27017880.8964827,37825556.2421709,29502786.9619519,12175.9975957985,31440.0615970217,19999.0894647269,1202.09820956625,3103.9790749855,1974.44763349815,472803.335491619,1206433.44754292,771866.444818057,299237.236111065,773380.186126236,491748.92281719,35413.9846855286,91508.9584073041,58189.608150937,614347.642501772,935601.025478199,762255.333363823,434189.663692608,652382.067607529,535832.09515703,0,0,0,859.345673134498,3106.56732186141,1475.20650947569,34.9347984098375,126.406582060969,59.9956310894039,1.3014091759439e-07,5.11763363638708e-07,2.623673274475e-07
2020,"a5_1",19605.5366259865,49793.9485886558,31672.5838154673,1935.59339103486,4916.00100728597,3126.93526730393,1509432.17709115,2558730.75144072,1953260.24869927,27108458.6144775,37637344.0924687,29542992.8413711,12350.1498924531,31755.1956989625,20071.8691434475,1219.29172183111,3135.09128051411,1981.6329438429,480144.565624042,1220825.09530363,776060.824640247,303555.169807996,781258.905657802,493551.834935293,35923.0308719504,92434.0424167875,58401.7640508299,620091.734508726,934557.551979937,763558.019858484,439277.29522422,649818.05754447,536312.990978796,0,0,0,853.670022111159,3047.52123822142,1471.8605741317,34.6984314907141,123.988479973097,59.8579333521154,1.32149698713453e-07,5.12104805333696e-07,2.62872874377871e-07
2020,"a5_2",19336.494358672,50320.4059096407,31653.2979091185,1909.03168836599,4967.9764941395,3125.03123001176,1214664.79974903,2179493.03965377,1622443.28799508,22760338.9132349,32394136.4078637,24970175.9075746,12220.1786000605,32212.6650578485,20095.0084889471,1206.46006211282,3180.2558013611,1983.91741914578,473428.39807214,1234040.98439812,775603.727917177,300301.908019865,792702.658624375,494147.302798114,35540.1859601244,93783.8330126316,58471.7206093675,484941.807061143,753825.558842459,606578.75303996,340858.977491797,517766.499976851,421768.764982672,0,0,0,706.564913904553,2650.8725828036,1242.60588998054,28.7123282174079,107.871896723749,50.5318470144039,1.62108838798532e-07,6.64258362319069e-07,3.31284410939848e-07
2021,"a1",21430.2180945566,42014.6488282707,31088.2870874419,2115.73849283364,4147.97504144109,3069.24947646104,1581927.99869816,2291119.41523629,1935961.69201565,26741745.7168869,34180635.3570002,28683630.4579011,13582.9916091253,26674.408958127,19648.4683821346,1341.00633360154,2633.48107598731,1939.8319092173,509418.797937574,998786.833935181,739044.974185352,324061.610103891,636373.444971293,468766.499056714,38347.3369365198,75304.6890427559,55470.8785301118,633680.564315599,894512.225864993,764913.600341052,445545.325708345,629807.703200752,537357.369934445,0,0,0,1002.52439553077,2516.42910049632,1459.8405280272,42.0220955607179,105.475731438976,61.1895912263791,1.51848026403334e-07,4.2094409171183e-07,2.56871735230932e-07
2021,"a3_1",20012.8841766436,38726.9038678351,28692.9786542442,1975.80954231638,3823.38625113008,2832.76815686063,1416479.8704413,1974756.21006474,1697416.5608699,25330883.7119385,31519849.0016436,26949011.3813806,15484.668435599,29943.3858530624,22194.3838302388,1528.75294658268,2956.21695381561,2191.18218896187,475483.884527294,920045.601590835,681661.524088488,369620.080110146,714685.478613723,529740.888630336,43732.2021603328,84563.3537229668,62679.3955901903,776028.545194177,1074492.65628261,926642.855682669,552156.92578665,760958.252224533,657607.490843802,0,0,0,845.959232407508,2035.55207738126,1214.22660739352,35.4434005866089,85.2763437317874,50.8720620963547,1.44111440362662e-07,3.85854180732101e-07,2.39513893558139e-07
2021,"a4",19926.4777328754,38578.5258818765,28646.5080408362,1967.27890402317,3808.73735605133,2828.18025835493,1416770.83994823,1979827.11103307,1700641.95743325,26756260.6862437,33269773.8474224,28482934.5678497,15430.254179462,29952.6400027538,22190.9957683012,1523.38079704318,2957.13058710829,2190.84769618975,473388.942704561,916570.376924391,680556.409879283,368296.452421205,714975.363088252,529667.946272611,43577.5441564288,84595.7953584548,62670.990560572,776126.284721706,1078205.66307975,928541.767145836,552276.29578075,763824.869220741,659125.011617217,29095.5762322455,40129.4891362414,34682.5212413019,893.285556257604,2156.1390668279,1283.53566758533,37.4226330969968,90.3342229573615,53.775076948285,1.43110490955757e-07,3.85924824250655e-07,2.38987588426014e-07
2021,"a2",16610.6055769258,39831.632507685,27205.106629988,1639.91320355744,3932.45265900111,2685.87519943764,1401903.15134426,2232814.11204174,1802226.99069455,25101371.710867,33624244.5704868,27375578.5358768,10319.6763760138,25280.2660199579,17111.0552001999,1018.82941396029,2495.8416984606,1689.32103165388,394297.293723246,946697.925141982,646266.684292465,245850.753900838,603011.354496227,407983.953667285,29102.7910020642,71361.3695671291,48285.8198828868,602650.112794986,886283.54800656,742222.040241677,427832.547509802,623644.725336925,524322.472825765,0,0,0,992.923559073721,3258.26540923708,1599.87670050629,41.6266982764155,136.766896326252,67.0996451938936,1.16437638938745e-07,4.1948496288688e-07,2.30538225389107e-07
