"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a1",40073.4236298239,78561.9244763542,58262.5803461107,3956.32394122874,7756.17340674343,5752.08256799729,3463875.33941424,4992220.05468935,4232500.63726031,60720929.9563466,77586945.373385,65146061.6568125,34093.8151126972,67917.0810453652,50044.9703711205,3365.97587029733,6705.24126514047,4940.78360377458,986743.492849507,1934616.56736099,1434771.79711033,844499.971238349,1682462.37839045,1239764.71260815,99828.4809909159,198881.396752444,146550.363798413,1335358.07319991,1885525.0703149,1609717.78567976,949747.286184599,1355321.90386595,1153454.81641638,0,0,0,894.04504760427,2275.68974363594,1301.75042913816,36.0905127723782,91.8732362531806,52.5471172023936,1.80818678305896e-07,5.08605762068116e-07,3.10892821190934e-07
2020,"a2",38422.9901834937,88299.185052775,59721.1106667043,3793.38180238285,8717.50272804968,5896.0787106697,3373413.64720063,5358816.32569334,4295011.50362854,60945359.069287,82493005.2941378,66050364.8658411,33512.4962434492,74002.4280798381,50927.0928611788,3308.58407414986,7306.02856960359,5027.87280181147,945407.876602452,2176376.41930697,1470714.22394392,829989.139584083,1833778.28270009,1261623.51955168,98131.1551166338,216707.275277353,149129.975545104,1315323.19314135,1967281.25845391,1628527.69306097,938056.52497988,1410246.19065268,1166162.45852087,0,0,0,823.558910844596,2461.55955363256,1296.95926382224,33.2348570403778,99.3904635131442,52.3534666580344,1.70349288386892e-07,5.62617830094673e-07,3.12718617424655e-07
2020,"a3_1",40687.4262377691,78832.7345521064,58303.0114287415,4016.94250080653,7782.9096396174,5756.0742024945,3509134.46044921,4985017.71571041,4220052.24906419,60746264.718798,77170868.4787675,65003646.5256082,34898.0884418487,67381.8194483768,49806.9166801007,3445.3792638483,6652.39655961825,4917.28130644707,1001806.9207291,1941149.10704483,1435539.78511379,864438.602926366,1669125.78258827,1233715.22641986,102189.025538926,197310.959372273,145839.965443465,1343725.95833104,1885578.27835027,1604798.46018056,965249.146973728,1348825.37116375,1149705.01780019,0,0,0,901.523069814662,2211.32078931368,1305.11284091551,36.3940605030979,89.2728161578192,52.6893444561298,1.85078969367326e-07,5.01455069991113e-07,3.10362440617601e-07
2020,"a3_2",40484.7909726194,79328.3877899378,58261.5604963044,3996.93695403182,7831.84393556112,5751.98188141152,3491553.25210369,4980190.44889731,4229350.14222526,60815610.8600417,77172635.3394121,65145682.1300866,34750.7581416565,68190.7219514701,49854.1803104199,3430.83380351271,6732.25697705276,4921.94749703533,997072.446513666,1953668.91541934,1434574.02257636,860957.508191502,1689410.07787601,1234935.1650994,101769.869680181,199701.931489326,145983.293596502,1338808.34026256,1883563.55197711,1608826.7841267,961785.447122086,1347425.28466551,1152704.41859252,0,0,0,891.84582769666,2220.7468114747,1306.72456601339,35.9981342934223,89.6358236093652,52.7523095715255,1.84494747231543e-07,5.09338938970884e-07,3.09879104464821e-07
2020,"a3_3",40509.7817010888,79563.5720008142,58712.652733079,3999.40421059232,7855.06293807721,5796.51680891209,3482763.0010756,4984368.63552316,4235055.14047744,60919479.5670268,77205164.2608786,65196205.8946028,34521.4475020941,68322.8728184557,50344.2351034766,3408.19468034571,6745.30381936249,4970.32907601381,997342.752523127,1959720.70234018,1445822.6015982,855016.678330562,1692848.17965198,1247162.3075536,101073.86555744,200096.757542096,147425.182677582,1333050.7118277,1885632.81611615,1610635.18478152,957203.099839344,1348925.10947356,1154045.9393149,0,0,0,891.64107207405,2236.44052747774,1295.00837107962,35.9863809993585,90.2966763310668,52.2756384632007,1.83076191754014e-07,5.12530185177881e-07,3.12573794358687e-07
2020,"a4",41679.8450758716,79380.6896338281,58802.2725309886,4114.92091276305,7837.00753323785,5805.36469162242,3503579.93524148,4975532.01179267,4247162.98021264,61134968.3587425,77179802.9301316,65402469.9225427,35857.3774528947,68005.994977338,50469.8454886633,3540.0868714642,6714.01945991171,4982.73019698544,1026568.67571689,1954929.46045652,1448051.76488807,888462.084363309,1684812.86206024,1250318.8804121,105016.624094448,199148.224868969,147796.438037552,1344381.69723364,1882261.59473378,1616667.81083126,965491.334723978,1346122.3265742,1158436.20513616,0,0,0,898.964398346275,2152.41070074134,1295.87220426965,36.2859102844127,86.8689888836847,52.3086317795875,1.90501562339778e-07,5.058533236303e-07,3.12184390327612e-07
2020,"a5_1",38552.0738079056,88728.7653200886,59842.8902582354,3806.12582541415,8759.91384600036,5908.10162934963,3403442.39652353,5370582.11161217,4287955.28535219,60728432.7766536,82408395.5282945,65890190.0678049,33385.1437863684,74182.7659453622,51091.9205949475,3296.01096386167,7323.83276376164,5044.14572910891,948424.421552927,2187491.19406542,1473691.56048119,826667.351430647,1838645.69923955,1265706.08140171,97741.1727084498,217278.70684427,149612.844094813,1320267.13417052,1969752.7512077,1623257.95317472,949783.071830168,1403223.10637708,1162386.81699433,0,0,0,818.632629866913,2468.4151745946,1289.64010944464,33.0288933870025,99.6874926603511,52.0580496815143,1.69489007013186e-07,5.61876941608253e-07,3.14749239300034e-07
2020,"a5_2",38434.7309471141,89084.0811450136,59786.3816375655,3794.54093130152,8794.99306752717,5902.52270974178,2885697.35860307,4670501.51562947,3688786.01058937,53102555.1386526,73245054.8410256,57664311.6969915,33205.5265387874,74356.2020197193,51008.6646995424,3278.27791406222,7340.95556563627,5035.92613461451,945469.881716192,2195634.67910751,1472316.90001655,822143.382424374,1842533.42449935,1263645.36445314,97210.1088834961,217745.805831119,149367.759441947,1092798.54683135,1660399.3291287,1358171.53329569,782903.248969765,1175046.78683238,967435.381419867,0,0,0,714.164436808778,2205.80916720197,1130.48071414245,28.8204026220482,89.0903659955727,45.63330291798,1.99985184023244e-07,6.80420030163113e-07,3.75568648355976e-07
2021,"a1",41189.4348450023,81071.6643349572,59483.9569104277,4066.5042425196,8003.95218353497,5872.66526108834,3502400.06758884,5078895.13085695,4283451.28620433,59643128.616936,76299134.2282355,64064432.3014992,35288.9397363593,69548.4164971438,50823.0016985577,3483.96679128836,6866.29791863897,5017.59620646608,984082.615862427,1937626.23691493,1421278.78058429,848435.039669525,1671937.18599086,1221621.63872165,100287.543481333,197632.276138416,144410.027108731,1343137.97225239,1908769.62723412,1627196.57562031,958838.280832503,1372906.34815094,1164948.30266793,0,0,0,857.577089758549,2162.12600316869,1260.54011294884,35.6730678142007,89.9292587655914,52.4421230525505,1.84877940390818e-07,5.17805452112367e-07,3.1233473853141e-07
2021,"a2",35679.4989160264,77894.1354213392,54956.2949089474,3522.52547914235,7690.24467925432,5425.66333433216,3294137.58968661,5015118.88215236,4156891.10282031,57390074.547578,75612159.9633103,62252576.067276,32036.5579621174,66529.3202988168,48045.6915819824,3162.86929788944,6568.23198145699,4743.40105389004,850863.844572571,1860336.47834007,1311714.96859475,769674.832016242,1598643.4393538,1154468.00424119,91024.6559330154,189007.294346013,136504.997923011,1301574.1170542,1906225.87713808,1607452.22698916,934116.462658587,1365919.74181228,1153500.67617954,0,0,0,862.62830117323,2360.18363935103,1295.69528541496,35.8992337720888,98.2390963275187,53.9231713989279,1.6806275870211e-07,5.11145077541875e-07,2.98893433815911e-07
