"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a1",40373.5537272979,78549.3666006932,58261.0221984766,3985.954848263,7754.93360690532,5751.92873694842,3456032.91606409,5013397.79726072,4228639.29606395,60710722.851519,77749953.1433379,65114187.0863332,34736.3310319699,67705.6743070041,49859.4455754243,3429.40946003802,6684.36973821427,4922.46732020259,994289.637875552,1934622.08165715,1434662.51271779,860556.234601214,1677395.27233355,1235108.6252513,101723.734664499,198280.55100073,146001.62402129,1328182.87469548,1893041.79668655,1608716.32590635,949237.097166961,1361228.73593795,1152486.4572676,0,0,0,896.685890406065,2238.28915816642,1305.95489650667,36.19345055567,90.348486266406,52.719401156384,1.83494791783097e-07,5.09761687166214e-07,3.09933111092992e-07
2020,"a3_1",41075.0707324774,78869.8295820991,58494.0136010081,4055.21343091889,7786.57191605818,5774.93125034609,3476779.5861953,4975833.75672431,4236429.80520745,61014770.8856941,77125249.7921859,65199513.4800552,35193.9583121257,67649.0681303864,50071.0712672055,3474.58957195869,6678.78118721242,4943.36046371603,1011386.5083369,1942244.1545665,1440331.32276067,871804.332075092,1675880.83417641,1240327.37721052,103056.089955785,198104.265449977,146618.912742585,1334711.8977467,1881400.14972812,1611628.57111746,958638.828159823,1345755.89396783,1154787.09805702,0,0,0,901.930692793797,2191.43436802939,1302.13937569093,36.4075831893375,88.4662382998376,52.5663745540216,1.87062589089363e-07,5.06843973179483e-07,3.1068617276056e-07
2020,"a4",40533.1899554175,78601.5434531467,58347.5181328782,4001.71523442393,7760.08486456792,5760.46821037233,3498032.47712081,4965451.20313236,4234782.45955853,60989459.4841089,76981126.5031998,65192083.3371467,34689.9244186613,67287.2572501198,49893.0812424982,3424.82788006222,6643.06072915976,4925.78806454809,998184.786254294,1935420.90452772,1436689.75579198,859391.691787659,1666779.44938051,1235889.73843669,101587.236437598,197031.443069228,146095.062338055,1341328.09408826,1879076.61420711,1611407.71156758,963480.765119265,1344199.42458613,1154681.69562959,0,0,0,906.40430263637,2219.12061767964,1306.63574414837,36.5911995775906,89.5762982570473,52.7491096573147,1.84611548865978e-07,5.01646521434094e-07,3.09624193084953e-07
2020,"a2",38160.6196429168,89124.4557807223,59752.4014097365,3767.47877845492,8798.97912919608,5899.1679479892,3396382.09301778,5358137.73018365,4284079.4450077,60657842.8855165,82573224.8799017,65901292.6557206,33411.5392821198,74368.4058939687,51096.6847410071,3298.61690870797,7342.16041602077,5044.61607836804,938739.746082499,2197151.8128205,1471443.33321923,827434.981571808,1843103.44703367,1265826.02651584,97830.5598029154,217804.415091709,149626.648024867,1317729.82475672,1965513.01802695,1623101.00293342,945843.695218146,1403844.18855403,1162646.15954175,0,0,0,815.639950276733,2471.39840468502,1289.73715202373,32.9107099132936,99.7942155201662,52.061887870257,1.6998889844881e-07,5.64367630577827e-07,3.14809026971583e-07
2020,"a5_1",38887.4575873807,88963.4153013487,59797.4327380458,3839.23721835362,8783.08010569516,5903.61375037288,3443142.49414691,5342880.05975233,4288128.70828685,60856517.375084,82186401.8073396,65909802.5645606,33890.1873423252,74125.9302068942,50978.2413041667,3345.87233658222,7318.22154883537,5032.92252781988,956744.624995562,2192777.9182006,1472514.03950412,839271.284124351,1836915.98074805,1262828.71851864,99229.9495638484,217077.108860345,149274.633391488,1333307.37702952,1959007.26669467,1622910.35610443,959225.07973414,1395174.71591046,1162027.44881385,0,0,0,820.98824534446,2425.07959537591,1292.90067445252,33.1297228685992,97.9259071077219,52.1921948701609,1.72996741352094e-07,5.55955299460203e-07,3.14116187085852e-07
2020,"a5_2",38383.3480990613,89277.7882186072,59625.9727814897,3789.46806321325,8814.11716183772,5886.68604443611,2886239.22697546,4662463.40703954,3684402.34788019,52847977.596026,73165280.905532,57651104.0470643,33450.6333143354,74196.9712456932,50824.1686171133,3302.47654039411,7325.2352086915,5017.71141269008,944349.683643009,2201068.18465035,1468386.46657152,828387.009535822,1838901.36300245,1259068.01836001,97941.6381848713,217301.08067405,148827.344414555,1094709.5671723,1658447.8412584,1356583.68135897,784276.203623426,1174176.12179942,966322.610939669,0,0,0,712.265968660999,2187.26145535118,1134.32458642624,28.7388865217539,88.3225836031993,45.7887129260559,2.01698434416566e-07,6.77777681594107e-07,3.74648238184612e-07
2021,"a1",40952.5749798208,80083.6592601944,59468.5964314272,4043.11980788805,7906.4095286461,5871.14876897677,3511837.7642395,5083520.70434162,4283932.96184004,59791344.9014741,76555661.5963838,64080983.8606887,34934.6886664425,68187.3378902985,50788.8280013727,3448.99268969762,6731.92287926378,5014.22234408831,978316.493363016,1913670.81684472,1420953.53553939,839652.397576923,1638917.10750059,1220839.76908062,99259.4671340927,193740.104986842,144316.704178455,1346017.00044771,1918784.24667667,1628552.07912732,962932.576952044,1377295.04851159,1165976.49474211,0,0,0,876.868737677777,2191.39384144338,1261.71416790631,36.4822263602204,91.175421897572,52.4892663915643,1.82066789045977e-07,5.06586007959917e-07,3.11864929911167e-07
2021,"a3_1",39073.9658508993,76442.9283233987,56647.0395157044,3857.65059663174,7546.97153547955,5592.58526813065,3356521.37779533,4723976.8082373,4053805.26195717,57151123.9557209,71396993.3371812,60933775.7704556,37107.3073352599,72638.8525262393,53818.3157635633,3663.48854445673,7171.40701447491,5313.31420791134,933036.546217495,1825437.79005289,1352645.42083796,892212.637979639,1746639.09357744,1294010.71123335,105444.882652971,206423.960989482,152934.176821761,1570694.31554388,2191525.6132417,1886588.22177287,1133858.45488223,1576952.19949459,1359322.07187809,0,0,0,786.78450950304,1924.06828908706,1132.2126102599,32.720625666671,80.0223963413647,47.08908144383,1.69321805371788e-07,4.62463331072073e-07,2.85267951651839e-07
2021,"a4",39396.9612234606,76873.3047139119,56678.811053065,3889.53892085317,7589.46125218695,5595.72197277237,3359291.84649193,4758466.61147471,4061563.90652814,59229209.0878672,74176875.2494633,63114670.5656529,37481.6005756162,73271.9645486276,53902.9357956369,3700.44134693102,7233.91218685032,5321.66847935799,940722.88006535,1835666.11595175,1353394.67977059,901203.89345784,1761871.31790878,1296061.45479791,106511.399940791,208226.33244643,153175.999980482,1573275.80693197,2205441.15282044,1890723.08206118,1135718.70508574,1587106.50817319,1362480.29874866,40497.3743854367,55508.0013676185,48059.4627470005,808.347496245432,1979.02101591999,1170.89486192256,33.617216243788,82.3086493388895,48.6972823179082,1.69950581214478e-07,4.65728667699495e-07,2.85091647248916e-07
2021,"a2",35098.6396240667,78434.280126078,54688.3556478968,3465.17905562502,7743.57147875182,5399.21052802637,3290673.87461281,4969646.21192973,4124704.73133783,57183630.9178932,75030164.7887627,61922803.6831536,31421.2915293368,67340.9323116713,47751.3779526493,3102.12596483335,6648.35990032678,4714.34438858696,837126.83783058,1873494.60595263,1305321.0161169,754909.704298104,1618301.83809811,1147397.06664623,89277.1976283393,191325.877640914,135669.077783452,1297788.23808312,1890365.5758419,1595542.02911063,933025.915705148,1357211.64560813,1145448.52867293,0,0,0,849.166011739079,2387.87653647878,1296.77522069744,35.3355780557586,99.3895883992163,53.9680686688088,1.66218068774041e-07,5.1888998786995e-07,2.99279975590905e-07
2021,"a5_1",34298.9362909255,74297.4599719623,52774.72125808,3386.22684350526,7335.15614674846,5210.28338216713,3261173.52036445,4723912.40693894,3984538.56284246,56115882.9561085,71406019.6363665,60069821.1466571,31717.5094140284,70370.077918229,49610.1148155586,3131.37063131982,6947.41798419295,4897.85167309308,817503.30330433,1773591.50913519,1258999.81149606,761793.390153612,1691779.09283929,1192228.56360081,90094.1006588582,199968.886066364,140952.013281219,1513375.6739208,2183761.83187291,1843117.11039832,1093964.23864206,1572126.78049348,1329174.79550284,0,0,0,797.439545559633,2251.31231788283,1210.83818027807,33.1697460936994,93.7341023948342,50.3844841338409,1.45242530348768e-07,4.64987505289528e-07,2.69164203054017e-07
2021,"a5_2",34701.1741002516,74506.9113157225,52769.4941300788,3425.93852598601,7355.83462367361,5209.76732414708,2402731.96266499,3583765.03460288,2992993.54276243,44975267.0768836,57892177.7023804,48348012.6086103,32289.2272285961,70542.0065863888,49628.0636645142,3187.81454532865,6964.39196456226,4899.62370688527,827335.825466304,1778804.24714817,1258998.25874064,775740.780360776,1696023.89587601,1192751.75023498,91734.6216762073,200467.366073209,141009.640387082,1025190.10652004,1534336.21720236,1277679.57397413,732385.136122213,1090262.40362015,910064.720609778,0,0,0,637.567163925298,1792.92546373206,974.20711264181,26.5180621489141,74.6282510447064,40.5348494345831,2.10444274641908e-07,6.88087079047616e-07,3.88423394060763e-07
2022,"a1",42034.734369836,82054.2892239483,60646.5200913013,4149.95802422043,8100.96366948821,5987.44149254211,3554361.98137645,5133152.94248487,4335928.03419119,58769658.8587672,75113530.1725715,63018085.7515733,35789.7788401514,69903.4527584924,51618.0027606509,3533.41307157975,6901.34953972713,5096.08417805333,974586.754644727,1902538.31492658,1406054.65817125,834726.429129969,1630393.21130951,1203936.69141803,98678.6943511415,192735.843315606,142322.073357819,1359457.22639468,1932932.04201814,1646636.02205575,972789.858902843,1387830.37112273,1178005.34183614,0,0,0,840.72612352653,2098.74250712899,1220.85478672594,36.0463098417615,89.9858055900565,52.343355095648,1.85157977943104e-07,5.14201192956092e-07,3.13475486198876e-07
