"year","cluster","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"americas","a3_1",1315.20181577564,2539.31724362754,1901.66798485727,129.845767094084,250.698859626802,187.745740075966,17412.9118660567,26939.8748290566,22245.923601199,1212083.4883744,1584417.62919655,1310658.87946694,414.914494709479,802.589277518901,600.346821099026,40.9632120316331,79.2371323936081,59.270366397818,34000.7454980536,65691.318901086,49169.312901531,10726.1339956717,20763.0748290746,15522.4679969575,1237.8859221183,2395.64835524721,1791.32432092202,5261.01633514311,8139.42680193866,6721.22895679467,3445.43959788522,5330.51061258963,4401.73284380483,0,0,0,1510.21639875554,3818.66059007159,2183.16951702614,58.3768781046397,147.715628933586,84.4362429817114,0.000000509758862393915,0.00000152554036405034,0.000000893209895032842
2020,"americas","a4",1329.44083754634,2564.64470641831,1902.68205942251,131.251541236355,253.19936091502,187.84585649022,17290.1726386068,27155.9691144104,22291.9874540533,1219101.48100523,1589541.57861599,1313248.5552611,419.327206917268,809.171667076945,600.603337164311,41.3988653243165,79.8869911538565,59.2956914276874,34374.5650500744,66302.7735298027,49198.193191083,10842.266733347,20919.0552452401,15529.9335038543,1251.21719151739,2414.25751080247,1792.15885866032,5223.93275684538,8204.71602949133,6735.14636958527,3421.15356245804,5373.26852771387,4410.84735744139,0,0,0,1506.60426039027,3790.69507629063,2186.54888176525,58.2770811928814,146.606020466838,84.5624068470846,0.000000511080707010484,0.00000154897029640478,0.000000891745040429306
2020,"asia","a3_1",18791.4276227588,35562.6066667018,26783.274011394,1855.21895210515,3510.98507249233,2644.2289826444,2931885.48936174,4082150.85346952,3513332.4763857,45458226.3102975,56516510.1630642,48347646.8930256,22947.5270744589,43232.4336665222,32584.3692390719,2265.53766893801,4268.20313463685,3216.95299411441,470505.699874433,890376.566576808,670589.656253689,574484.206786026,1082237.72113424,815710.958198326,67810.3681018206,127754.463736699,96288.7459366804,1196086.15356175,1656037.23927186,1427654.82897298,898604.848217137,1244221.68579869,1072578.55800234,0,0,0,1051.48432449915,2462.85841518706,1483.76807721206,42.0039196773284,98.3778309228864,59.2705619645123,0.000000138568907330542,0.000000361449160980444,0.000000228237026050004
2020,"asia","a4",18558.4437510563,36306.9291236815,26858.2482039164,1832.2171822027,3584.46970369692,2651.63095048201,2943552.28728625,4076527.74432334,3514972.88606331,45465423.5056406,56436752.8719104,48398563.7155549,22482.8823437017,44165.2561792808,32647.1573341022,2219.66474603924,4360.29778754785,3223.15186661124,464637.841275996,909035.51842169,672455.362654361,562819.503796124,1105634.65323353,817272.880656266,66438.8280793199,130510.864319268,96473.8500341046,1199922.73660417,1652138.20956846,1428281.68743468,901519.535376808,1241223.66707943,1073066.50821812,0,0,0,1029.43869092669,2510.20985695459,1482.47405494626,41.1215616050678,100.275048201517,59.2195885377857,0.000000136083544424375,0.000000368067499948123,0.000000228576460941255
2020,"east africa","a3_1",12614.9951574509,24222.354944905,17968.5752416,1245.43906757105,2391.39744252215,1773.98130678321,402029.090105384,623326.087013905,509560.471039933,9063039.42339796,11773631.0417469,9767064.01429229,7316.66619588563,14011.926482985,10410.8160282578,722.351599108641,1383.35373387248,1027.82734714161,309371.384815251,594060.294505755,440636.07142581,179901.671244717,344524.443862982,255967.704503287,21259.5400683828,40714.5123037263,30249.2596446898,89368.7452658394,133935.415012482,111321.662118112,39418.2303935732,59502.9593795134,49271.1619826264,0,0,0,646.808947677779,1609.15240992784,938.165076376516,26.3059402165449,65.4448119369134,38.1574075262564,0.000000546283161567369,0.00000156787772294494,0.000000935201274412511
2020,"east africa","a4",12538.0938213308,23983.2758368799,17884.1311712057,1237.84683886569,2367.79390897671,1765.64440748351,402145.084299028,621089.119250459,509180.130612993,9039523.02606304,11799914.4838723,9744382.19207751,7260.33558801076,13903.6072197897,10373.225725511,716.790254148,1372.65971136433,1024.11617396887,307463.398739714,588087.737031701,438557.079530357,178515.781516895,341828.368342579,255042.737889289,21096.0484902956,40396.4059686837,30139.8371200731,89046.0317607712,133793.434090974,111169.656330905,39343.5340284103,59397.192653231,49225.6605886285,0,0,0,650.156673959878,1625.25744723949,939.378207890823,26.4446250318337,66.100119460618,38.2068600451875,0.000000542652607531847,0.0000015613954878015,0.000000933098659101209
2020,"west africa","a3_1",8283.17074099075,15858.0944094449,11765.1585705024,817.771573863679,1565.6201265434,1161.53735589962,145067.779946463,234238.016072371,189990.303375143,5314194.21740584,7104690.92053181,5762948.22044719,4509.07371388131,8645.77133950632,6405.8351759755,445.166763184096,853.569998332294,632.428097593727,195811.656693709,374984.463114685,278207.627020706,106583.190199238,204438.374226166,151473.333758125,12731.9090254645,24417.7843336445,18091.9155608458,50536.8496025853,81580.5823376474,66180.0166496791,21997.0403706463,35538.4256985379,28815.1350378922,0,0,0,614.658196328065,1575.6431079536,899.640415672979,25.9941130794107,66.6586438935715,38.0459588329226,0.000000552714087675798,0.0000017107855767614,0.000000967941003986822
2020,"west africa","a4",8313.80086244606,15989.8103511343,11858.0672902818,820.795590078412,1578.62403003717,1170.70994359284,146638.930064966,234215.370090836,191007.252916043,5343064.29069359,7104199.84172504,5795275.15931236,4532.22194782168,8704.08641300922,6455.13455659487,447.452116014976,859.327263385693,637.295271450243,196503.57799531,377920.560934316,280337.355362105,107121.390217899,205706.115284734,152600.29257081,12796.1362153829,24573.4154081813,18227.9528682126,51098.9114498247,81580.9958930126,66543.0303826316,22220.5535826583,35526.6891524056,28960.5960753897,0,0,0,613.856990517441,1567.48718917871,897.777592163688,25.974260820092,66.3191527600059,37.97682862648,0.000000555548740023393,0.00000170338000674554,0.000000970069219793111
2021,"americas","a3_1",1149.36922113521,2202.56345861893,1637.4540386771,113.473633021573,217.452210320367,161.660722470903,11179.513408377,16258.4846983539,13796.3786091393,3186343.66886673,3257844.65542238,3204960.23405949,621.698462647888,1191.30176121744,885.887244389221,61.3783472737377,117.613501722993,87.4608804723588,28854.4782427836,55288.7157428787,41091.7404891307,15607.8123515323,29903.2270454667,22231.192053903,1800.8814807655,3450.4647538626,2565.4410869095,10021.9238430101,14551.9557264427,12356.5331763673,7565.55030908833,10985.2713778916,9327.94689483971,0,0,0,2674.67385057038,5240.23276742044,3617.79702141345,106.555177607488,208.731664761624,144.165019414549,0.000000427226741432553,0.00000118869568346234,0.000000716938344877782
2021,"americas","a4",1131.07229080887,2173.0927325854,1627.9255945673,111.667234242926,214.542657594129,160.720008947085,11294.7018117393,16253.1877683636,13760.7361195855,3234446.36818707,3319357.93671275,3256312.59811757,612.031268086013,1176.77440234167,880.839312127287,60.4239353511887,116.179260958991,86.9625138879094,28373.1325945847,54524.8095884284,40843.7067085582,15352.975866153,29525.6247712666,22099.7039045493,1771.94102193042,3407.29814165628,2550.43468147977,10120.6476465777,14571.1071140857,12327.1439115078,7640.07690840154,10999.7287604233,9305.76093879724,977.926643207191,1408.84175196402,1190.7521908186,2748.56961687034,5423.51038222815,3696.82932322055,109.547093185806,216.202902007458,147.346435598499,0.000000420030724703391,0.00000116274614376047,0.000000714552631534539
2021,"asia","a3_1",17994.038474135,35807.1645303791,26440.9050790638,1776.49521219418,3535.12950646982,2610.42796738244,2942630.81116724,4136111.29632293,3545608.28316288,52972228.6248203,65303867.7868347,56212148.5858884,22880.0985547641,45312.7563543874,33476.3214432599,2258.88066180893,4473.58689549319,3305.01264912314,437044.851275564,869646.829685273,642175.247106046,556055.92203258,1101173.26886656,813535.920365782,65626.2516977317,129966.065076418,96016.9706824212,1379387.55193628,1918390.67989384,1650296.50060839,1037986.6884103,1443172.50423148,1241604.8829594,0,0,0,1169.03567310116,2854.17773138207,1679.16145390001,48.1052620168891,117.441187476479,69.0960868213592,0.000000119267148212116,0.000000328499095781898,0.000000202850344958731
2021,"asia","a4",18236.8910659207,36221.8053152446,26594.4133099181,1800.47129000442,3576.06569598352,2625.58335551485,2958385.38870159,4141015.61852624,3551666.40446794,54834015.4317912,67470561.3009953,58183110.119549,23019.9205678106,45680.5031962754,33650.8540184597,2272.68485240759,4509.89339249511,3322.24370510093,442913.46811576,879759.586217478,645898.546458274,559408.786797679,1110143.18297726,817770.322591291,66024.4795661332,131020.430230815,96517.0948350651,1384317.42133362,1917309.30144019,1652556.51064942,1041514.93469972,1442373.54305372,1243282.45450572,36239.4676695766,49057.834927003,42758.9952765491,1200.38116034287,2930.96412310567,1729.02328385579,49.393642435144,120.610478228683,71.1484734921445,0.000000120063677522031,0.000000329985756823518,0.00000020362906685252
2021,"east africa","a3_1",11603.9777835907,22424.6727048737,16683.6294073976,1145.62448027374,2213.91789022196,1647.12261824196,251164.362670054,367076.292270538,308766.365420767,11354480.4810097,13833183.7920539,12002557.155923,8692.4167772652,16752.9530004564,12444.3667676116,858.175156700075,1653.96672004479,1228.59345961875,275909.924314444,533191.017072302,396692.558038728,207566.616512498,400042.741778545,297153.612448642,24528.5774626472,47273.0935116806,35115.2172660813,122094.317851304,176455.898206912,149137.55752481,60498.1179737226,87508.5117027801,73904.7929966423,0,0,0,677.759943617129,1591.40825233257,964.497220313493,28.3831683347859,66.6445501905695,40.391759188179,0.000000492611290730134,0.00000137213207750253,0.000000834422058007847
