"country","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","gavi_support","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Afghanistan","a3_1","asia",2819.02754828882,4481.04189572917,3591.00188138184,278.313784300127,442.399269338401,354.528398859712,433306.096557201,494722.64344869,463225.854883263,8849793.69721476,9642007.86569416,9041976.03968303,10495.0895029949,16913.5805081723,13447.7202686575,1036.14740406496,1669.82497214391,1327.65141669206,57251.7297875774,90277.0078281271,72909.2544252274,202488.403695447,325129.920619503,258770.29180263,24135.9486707957,38754.4122636029,30844.5637700266,242758.463135523,277554.166874497,259911.731237051,192918.427197834,220599.771630645,206501.922682989,0,0,0,TRUE,NA,523.235969636277,918.716116040997,672.379842757221,27.2192533998481,47.6175805119006,34.942094692151,0.000000378127614554623,0.000000696724649254764,0.000000517395663699096
"Afghanistan","a4","asia",2769.21533305607,4350.87383984463,3592.25655332888,273.395979884127,429.548183775151,354.652268701938,433734.365536918,489154.497391965,461978.361995157,9172690.97137862,9888169.66570946,9362739.21229787,10440.346515856,16416.9068466106,13477.8104331148,1030.74279994046,1620.7899329527,1330.62212463899,56296.6499362933,88546.5613047653,72942.1703924583,201553.717333927,315384.65284062,259392.659316997,24024.5371448356,37592.8085440731,30918.7479213509,243482.482429525,274556.473798382,259231.045407334,193331.163724274,218197.694170403,205958.720400292,9261.70443166647,10526.0176271129,9878.86112040388,TRUE,NA,558.734422816828,947.11125255202,694.678060561956,29.0841386502534,49.0597236136663,36.0948503205555,0.000000380262259760909,0.000000674254126325592,0.000000519914982093941
"Angola","a3_1","west africa",6220.53874102577,10177.8661592069,8278.25535093646,614.134359364924,1004.82893421475,817.286292757381,307070.243588994,347464.123741064,326023.43141085,17636812.3371153,19202512.9251701,18043195.6408462,12939.1888633226,21030.4467544603,17117.3432419334,1277.44569949709,2076.27031715566,1689.94183037285,128253.582914835,209965.698985464,171004.089051784,242786.874544091,395676.677094009,320919.447183972,28590.2099636701,46594.2786120038,37790.9818792467,214381.268355783,243346.575087168,227644.467579327,147895.36915025,168390.293540192,157388.356537002,0,0,0,FALSE,NA,838.632319276559,1484.05847754502,1054.08855719178,44.5737981491513,79.0920553725519,56.2234411132543,0.000000531718552385121,0.000000980983409406768,0.000000751933197584455
"Angola","a4","west africa",6479.46405913009,10085.7201169414,8363.53000951432,639.69724723967,995.731643290165,825.705193434003,303739.651627375,347008.670713958,326590.925379796,18185734.3076751,19692227.2853542,18574587.750885,13459.6590275818,20960.2490751648,17285.0435201467,1328.83009306863,2069.33991954898,1706.49835501059,133509.447373283,208797.088593691,172790.220023153,252552.314565454,392500.198376351,324120.373782364,29740.1732025093,46220.2213502449,38167.918085943,212133.654282704,242367.359143839,228036.365135537,146171.375382756,168180.229697543,157630.291846515,13589.3967839233,15613.1202822113,14641.7861342839,FALSE,NA,867.629685241807,1463.05543439105,1074.60462736094,46.3330576211266,77.9728640350692,57.3076833588907,0.000000555341242118078,0.000000988068071803056,0.000000757995046530104
"Armenia","a3_1","asia",440.928899749402,693.249284316292,564.652857499379,43.5315329823709,68.4423364002025,55.7464128656438,43772.0157054621,49069.6833669009,46486.7528481081,1213906.93087799,1277306.00825963,1230980.26435338,1123.82762580363,1757.08788347673,1428.90057990141,110.951991096467,173.471798278506,141.070890925633,9656.29685973467,15193.9273051664,12353.3234022875,22799.5551482323,35633.0260782099,29046.3244306371,2658.36694729971,4154.71521890314,3386.7234823192,24901.8362186858,28023.0485920952,26467.5814026438,19523.7145397849,21996.652492982,20770.8897751195,0,0,0,FALSE,NA,690.862956994526,1136.56754731069,861.487693173384,34.0669054661151,56.0232864174398,42.379897921094,0.000000401036890083631,0.000000705605750534273,0.0000005398682101564
"Armenia","a4","asia",453.898867532425,701.262736306683,565.522318913782,44.8120173884687,69.2334794843156,55.8322520752295,43650.0372676039,49322.2663396897,46359.9535555672,1270536.61654442,1346083.60544561,1289442.12459179,1150.40687129909,1759.81681154666,1431.33000661483,113.576076981038,173.741216822743,141.310740636467,9901.65421285478,15365.1350759343,12373.6181387918,23435.400606793,35820.1604105285,29093.1095518931,2732.50482146607,4176.53457987341,3392.178501909,24899.5028597481,27934.0703464809,26384.8123119983,19534.9768778385,21932.0918724508,20705.9731124465,1717.37860505212,1973.53989546174,1844.83890978729,FALSE,NA,721.970950730818,1170.09350259318,900.869903259691,35.4698751201286,57.4380454608246,44.3212205382112,0.000000411829302722442,0.000000706767850530677,0.00000054248254249053
"Azerbaijan","a3_1","asia",1194.41807394226,1927.20569355392,1542.15920030454,117.921165544169,190.266998285747,152.252560742283,170462.505818932,195836.968963915,183323.059636708,4700731.31965513,5116825.84939676,4816724.46891552,4363.99472091906,6960.81366524711,5627.58086151346,430.843567379116,687.219390303197,555.593480089792,25419.2829412704,41131.5943934549,32814.5112945902,87690.5514053643,140513.077044744,113294.574584788,10329.6282784854,16551.9298359617,13345.6891611974,119528.443062721,137487.974327834,128795.480188073,94911.7831068692,109195.087150746,102261.98558052,0,0,0,FALSE,NA,675.313482836672,1172.5096331737,855.913862003596,33.4540486801685,58.3509371008898,42.5150496973777,0.000000317409194677152,0.000000582356256543433,0.000000436939312877737
"Azerbaijan","a4","asia",1226.09826221406,1931.77104233859,1540.26509633262,121.048851575693,190.717720910888,152.065561773578,169344.916098753,196623.160078361,183557.288296054,5026920.18057276,5501631.18314215,5168219.92214221,4487.96665537747,7072.10777423511,5633.3282998055,443.082929228229,698.207110044198,556.160906719609,25963.5400189236,41091.4753405592,32757.5010528467,90268.1784782525,142333.418951742,113377.440585025,10633.2633802926,16766.3594972842,13355.4504748812,119080.083028255,139131.46003574,129095.214420535,94552.7322288769,110477.560673237,102502.871724213,9103.23412120013,10674.2673848906,9902.47644409282,FALSE,NA,710.809328851956,1225.8627582605,917.436308890547,35.3179191337851,60.947626017153,45.5841999561317,0.000000322570226333038,0.000000593895099364102,0.000000436370033164405
"Bangladesh","a3_1","asia",1044.76836023256,1636.09148894012,1334.12638830053,103.146716756941,161.526202191445,131.714131026484,13468395.3006962,18443428.3281277,15930650.1948381,190328246.661163,234683801.104067,202779509.643138,4205.2727452847,6629.43908280509,5397.66473178048,415.173442510274,654.503812863631,532.894578769558,22366.0511251896,35146.3149659401,28550.9172063093,86354.3836581451,135450.268250449,110835.337344763,10023.4792500093,15722.2238837496,12865.0759461268,8580957.33993479,11750602.6753986,10149696.8379851,6824310.6144502,9345123.46692565,8071925.57187534,0,0,0,TRUE,NA,28709.5551047179,55807.0344824158,37568.0075958051,1405.15223129159,2717.68254444523,1829.55647991917,0.00000000357877196723618,0.00000000772575695249345,0.00000000531805512808993
"Bangladesh","a4","asia",1052.5074331859,1663.75605059557,1329.87018746899,103.910771255779,164.257437950388,131.293929613096,13486395.847079,18253177.3505908,15932948.5627371,208889870.15989,252970033.352777,220874654.166997,4247.60157184548,6699.96466834331,5383.70379508405,419.352435337877,661.4665836294,531.516259098041,22548.8948793683,35544.1331713415,28453.0223377213,87141.424502507,137537.29874732,110531.79696109,10114.8340514471,15964.4733908776,12829.8428681012,8592430.6050706,11629363.9668764,10151164.0127136,6833461.55944708,9248656.78348753,8073093.61759447,431540.550360508,584048.484975179,509822.562212694,TRUE,NA,31177.7569733874,59555.9703691483,41026.5242245833,1518.78706403604,2902.98253439154,1998.29062984247,0.00000000365247969187635,0.00000000779751967317548,0.0000000053035334552189
