"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a3_1",21256.5228987778,41056.0814068906,30460.5859134594,2098.59010871043,4053.33867411895,3007.27850024736,1576836.67956519,2250595.77467562,1910200.98703245,27209789.5721204,34413360.9587032,29113522.4993617,13432.6241619737,25976.9284541619,19268.2959038609,1326.16102523351,2564.62100448786,1902.29866794786,520726.017276748,1005871.93309667,746227.302267142,330238.246772111,638665.388487202,473721.517094944,39077.83387743,75576.4992573722,56057.1634995061,632057.436303643,881819.131230851,756142.155880696,446229.799324594,618662.352863258,531933.067482727,0,0,0,1047.45984961748,2561.92390583842,1510.95471258193,42.6041399183566,104.207678229503,61.457040579237,0.000000152328563604923,0.00000041098999809382,0.000000254823722682393
2020,"a4",21289.0377793281,40881.5604467282,30416.2484723695,2101.80020130336,4036.10876485751,3002.90120318143,1577733.92255909,2239824.88934273,1909518.93307367,27212053.5422388,34338074.1316272,29088245.0953125,13445.8603656639,25861.5959959321,19251.1456782272,1327.46779427911,2553.23459114045,1900.60547974167,521544.851732149,1001498.12805985,745130.494087562,330581.48995997,635820.143394682,473299.835387903,39118.2964194557,75240.3876932575,56007.6469820353,632206.158574811,877151.069239648,756067.730847448,446599.003893255,615117.662025089,531950.877372131,0,0,0,1052.21864677335,2553.80267218265,1510.98773971727,42.7983507992559,103.871738662032,61.4583883627862,0.000000153290132534631,0.000000409069029859377,0.000000254621972249091
2021,"a3_1",19834.1045936944,38630.0114948058,28677.8898207072,1958.15919252948,3813.82036979487,2831.27848345715,1420803.94534476,1980757.60743025,1700284.68341784,36086946.2329605,43576068.3660634,38087001.8885664,15421.3869333404,29943.2903262976,22207.8947934711,1522.50536153142,2956.20752275651,2192.51608415881,471196.531704083,917715.702506853,681295.83255052,368093.805842787,714683.128928544,530056.795295128,43552.7824043296,84562.0878287065,62716.9528356125,778518.008004045,1079188.07900955,928272.807765055,553901.756247226,764630.77142432,658866.818270935,0,0,0,1205.17637974032,2825.69061747966,1715.02081772125,50.4936310544538,118.383052565342,71.8545677116735,0.000000142898047460771,0.000000384619109878599,0.000000239238881153265
2021,"a4",19861.6514618257,38650.1986748861,28654.8318139966,1960.87880877442,3815.81338702732,2829.00203847883,1421254.04912547,1975610.4928288,1699956.57970332,37559203.8167194,45244575.3700879,39595815.418954,15368.6720997807,29879.152293676,22172.1236482715,1517.30099067465,2949.87537513798,2188.98451072836,471857.944764102,918147.29287748,680730.756460417,366811.908063141,713098.697082201,529186.360412148,43401.8601889176,84375.9448108872,62614.5624017341,778585.429076617,1075135.28498432,928146.027245367,553798.925754589,761474.239011779,658791.001877623,29212.6066830987,39932.8929414341,34662.0605252465,1257.03712901751,2943.94825241495,1785.83775046018,52.6704143064644,123.345437744894,74.8239531119348,0.00000014294640232187,0.000000383762027618626,0.000000238886155814036
2022,"a3_1",18617.1600213307,35592.640230084,26524.8116063765,1838.01405616016,3513.95019239192,2618.71179673276,1452854.4335054,2003083.38841367,1726287.25917438,39665269.5228556,46734500.7124692,41566362.5979128,17825.1823345623,34140.1201538419,25407.7280231596,1759.82457297488,3370.54742237066,2508.42562389512,429081.285884831,820320.408834863,611344.32063788,412700.114997135,790460.098512779,588273.649947719,48840.9475270156,93549.7595391124,69619.7289631286,901902.902946386,1238917.19453369,1069244.07652037,669976.406749004,917067.086680926,792520.88019803,0,0,0,1161.83743185778,2621.82455333728,1635.97321885784,50.1799769494809,113.240823092074,70.6582091542039,0.00000014387710827818,0.000000378534319407456,0.000000237623275930072
2022,"a4",18450.2686912789,35861.1834525197,26548.5933069713,1821.53739644756,3540.46262591872,2621.05968974773,1452874.82985703,2000337.2806975,1727016.54891491,41791153.2031004,49258905.0443165,43752782.9112812,17709.3364960881,34496.656962857,25459.242486231,1748.38747519953,3405.7471878428,2513.51148592307,425269.935184534,826685.549800047,611909.606009131,410052.198962943,798871.243410369,589477.58794645,48527.2940895275,94539.7660595356,69762.7568224106,902090.020977353,1236718.5500665,1069852.11883731,670116.229640626,915013.687662018,792978.951081227,43537.6492565126,59270.444662726,51448.9602458854,1211.45516355679,2781.52177272127,1718.54221251649,52.3127519582437,120.128376750317,74.2229794752703,0.0000001431961742236,0.000000382408142875611,0.000000237969734676036
2023,"a3_1",18229.8172224612,35318.3812261736,26270.0282367247,1799.77291153559,3486.87345761399,2593.5578304909,1516448.30365219,2100911.81912005,1805588.6500856,29677000.1168917,36942925.2572509,31597851.8142813,18679.43575051,36204.7051994529,26922.5779579785,1844.16234437695,3574.37745496549,2657.9820261595,407586.003121951,789721.489498502,587370.526422295,419749.259331679,813601.417267111,604990.525625241,49673.6979435992,96282.4056804359,71594.8278798102,940423.290416101,1296962.64579749,1116496.00894503,704429.903439201,968159.453917988,834429.020201119,0,0,0,819.700090178891,1977.73239784516,1173.65624731778,36.4760919622987,88.0118890884313,52.2286721459411,0.000000144024469872255,0.000000384983076965626,0.000000241134565124129
2023,"a4",18089.1512670811,35441.3552768206,26284.884572224,1785.88540114649,3499.0143015114,2595.02455008935,1518464.59650909,2090901.13738606,1807220.70247442,31804477.0119498,39352462.1458957,33813936.2718032,18620.6839726603,36487.3234420132,27024.3210343551,1838.36196486749,3602.27947126432,2668.02680228448,404419.061019592,792500.54673399,587741.194845561,418409.87998498,820018.291657969,607318.369516572,49515.3661392813,97038.9180045908,71869.3615137031,941741.126575681,1290474.00318613,1117706.29599615,705436.741462747,962595.569654586,835468.209772056,45488.731220426,61817.6796936111,53730.7756604535,871.658264067915,2113.37361203673,1251.2409184607,38.7850824005954,94.0524209115435,55.6774469027164,0.000000144293367605132,0.000000387445364892227,0.000000241783741678487
2024,"a3_1",17605.2434819119,34108.1787985917,25205.6885993479,1738.11069705589,3367.39395213914,2488.47890267454,1600944.42960796,2215112.56231821,1908422.20716769,30337217.0722542,37708458.1309568,32330648.239887,20346.9245963468,39442.1426598646,29161.2342170315,2008.78830954171,3893.99954294015,2878.99756592689,381827.600393844,739882.829993689,546738.049254177,443624.74220608,860102.933933215,635863.292905025,52501.5287120053,101789.542424768,75252.2216921831,992463.030371572,1367480.95175832,1180092.50850302,747769.785514419,1026841.84223585,887418.045899433,0,0,0,769.157429754055,1853.27556272201,1108.68586697213,35.2716121238226,85.0008003238013,50.8452816833949,0.000000148791283492355,0.000000397416744532012,0.000000247109730863585
2024,"a4",17585.8150799991,33838.2834602411,25268.2503392717,1736.19259162178,3340.74802843155,2494.65542783875,1605657.294319,2204887.39803798,1909072.04153911,32617888.8556743,40178332.2161572,34629071.2211702,20325.0931996712,39153.9184130795,29201.9341476323,2006.6329639407,3865.54406335518,2883.01574294441,381431.002160588,733972.247090754,548098.197682525,443162.138686629,853733.920616894,636747.230134133,52447.0749025061,101035.420313896,75356.1064174558,994721.585142881,1360619.88809007,1180320.62238422,749162.506758969,1021414.91725595,887398.654957122,48013.948858629,65286.6122118812,56804.0550652094,833.068315450598,1976.78464848599,1185.84854845917,38.2061530741395,90.6628267821594,54.3843295774926,0.000000149381126775988,0.000000393616857197841,0.000000247406794339026
