"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a3_1",41004.7953369761,78182.3732646792,58418.6758083537,4048.27536063396,7718.70150118469,5767.4933854032,3496395.27127964,4966654.83138485,4235129.17440197,61047543.4394757,76979249.7545394,65188318.007232,35188.1814789354,66692.7207665325,50001.3672644042,3474.01924326238,6584.36399923524,4936.47880524757,1009689.48688145,1925112.64309833,1438602.66760174,871695.202225652,1651963.61405246,1238674.4644567,103039.703117786,195282.408729317,146421.245463138,1341252.76476532,1879692.66342392,1611877.73669756,963465.558579242,1344593.58148933,1155066.58786666,0,0,0,915.355420169189,2187.64501372773,1303.73070925281,36.9545327270974,88.309823844381,52.6274819395948,0.000000187201781246722,0.000000497242000304109,0.000000310205706835108
2020,"a4",40739.7792723795,78844.660018114,58503.1287248264,4022.11115238315,7784.08700362583,5775.83115804858,3509626.47428885,4958988.20277905,4237452.2570464,61067112.3034024,76930408.7761237,65251469.6222059,34694.7670864514,67582.1214791567,50076.1209533724,3425.30598152653,6672.17175345173,4943.85900345804,1002979.38306109,1941346.58991751,1440547.99073791,859298.942264265,1674088.19210609,1240445.84462022,101582.229976516,197894.943206935,146633.798881051,1345291.61257161,1875717.35558194,1612729.5205178,966504.776550335,1341520.81741278,1155663.61223958,0,0,0,903.598628850922,2217.34904818444,1303.04561096024,36.4778346752311,89.5269445734577,52.6032393152831,0.000000184967990956652,0.000000502360386756363,0.000000310505390496569
2021,"a3_1",38893.1646225034,76297.4992560249,56525.3352602342,3839.80065610473,7532.61377792141,5580.56978714469,3346262.409578,4743950.88355967,4051366.7429645,74797201.4829812,91287235.690949,79121543.4839182,36987.7624144285,72573.4334221517,53729.6047673757,3651.68624783474,7164.94839067211,5304.55604835628,928644.189759434,1821967.33969363,1349773.38227314,889303.537006879,1745065.01988408,1291900.84431193,105100.954445432,206238.816925214,152683.030701256,1569962.07119941,2201347.5490105,1887078.35717931,1133267.76139471,1584299.76983421,1359797.00583536,0,0,0,1030.64162677676,2468.03887913314,1472.58748368758,42.8621287062128,102.650255949947,61.2442849869475,0.000000168023274793907,0.000000462262335845524,0.000000284723761273418
2021,"a4",39062.5339543555,76672.2164167117,56668.6399282423,3856.52196119476,7569.60843272577,5594.71780938924,3361155.7276662,4750913.87718322,4057465.09394021,76878879.3485224,93772430.6224772,81328834.7385707,37036.9992385724,72898.6147695124,53874.8297082608,3656.54724568584,7197.05252935735,5318.8936531438,932691.727963225,1831126.21085637,1353149.55174113,890432.471158023,1752973.41358016,1295370.04745818,105238.463606746,207169.876469902,153094.549434166,1574801.84633732,2201132.96385424,1889224.52551964,1136761.54766554,1583882.33151616,1361343.2248779,40604.8186692958,55311.0410622747,48043.3683268624,1054.6000029163,2531.85821071641,1509.588711073,43.8562722930921,105.311108545407,62.7842483297781,0.000000168263343681518,0.000000462906586876692,0.000000285169015013937
2022,"a3_1",32341.088639442,62248.0657694988,46245.6295273844,3192.93466042665,6145.55709474657,4565.68654993129,3254307.6715828,4426200.63565987,3847489.01242913,84523574.467837,99962689.6114251,88628848.6673654,46188.2301073115,89010.681128335,66088.4002270901,4560.01968448088,8787.74651315351,6524.70132003773,748625.9993846,1440642.13426316,1070341.79933892,1077258.50908871,2075858.36664818,1541271.04508542,127349.494857918,245405.522191195,182208.021499514,2045905.11437788,2780179.02171493,2417762.43704817,1521681.76621663,2063454.86862438,1795895.53958825,0,0,0,949.589121174924,2164.2459427256,1341.06512433079,40.7174091575017,92.7935948224601,57.503739494732,0.000000166134014200354,0.000000435067494102245,0.000000273345301483702
2022,"a4",31964.3762691568,62343.9786287865,46155.8645293992,3155.74302481089,6155.02627174968,4556.82433207104,3253193.54330469,4434818.69853886,3841916.88912604,89063491.6450316,105945939.769676,93486205.4255275,45570.5618990883,89140.3273810083,65836.8174031065,4499.03923163755,8800.54608271562,6499.86333367243,739941.740263539,1443196.66678794,1068227.96056898,1062887.37193616,2079107.64191651,1535334.74210591,125645.541925563,245784.856817482,181508.251464387,2044388.2752551,2785258.83789609,2414043.66873566,1520724.90531303,2066884.81559949,1793271.18130029,99669.5752360055,135895.60384115,117810.924814563,999.138036192662,2324.87674837723,1419.96847832314,42.8373643814485,99.6774847147582,60.8897870032557,0.000000163613382279081,0.000000436024450247278,0.000000272724218935062
2023,"a3_1",32392.0874090333,61941.6782910007,46249.5809031061,3197.96960964814,6115.30841602942,4566.07665691373,3399638.19731878,4630458.19277136,4010128.7174376,70249154.6900851,86120292.8464143,74414234.9587669,48237.4737123725,91357.2871287761,68590.657461938,4762.3351045709,9019.41959369527,6771.74136075873,727170.440782844,1390698.54299351,1038261.79649008,1091720.43860992,2067536.50609332,1552280.30239157,129055.242832859,244409.22431591,183501.300572493,2118322.06504491,2881939.03361245,2496952.79850475,1631328.4703388,2214042.98325427,1919976.95733213,0,0,0,768.949657962838,1785.34003169252,1084.9033631156,33.9772257868488,78.884932259829,47.9386582720392,0.000000167378536290228,0.000000431271942242831,0.000000274697453243859
2023,"a4",31931.6470425338,61932.5841258627,46067.7234353623,3152.51177049974,6114.41057751197,4548.12243717517,3378705.94935885,4619248.19546798,4001240.81624732,74723745.4295935,91742933.44218,79200933.599372,47446.4551783309,91929.1894103474,68228.6481142763,4684.24031553831,9075.88171955516,6736.00130864008,716852.216832706,1390587.29699176,1034226.25797894,1073763.33023041,2080689.63265899,1544082.0862122,126933.737823105,245957.772541667,182532.62535815,2105145.45521457,2875308.63802792,2491649.28753222,1621261.89884928,2208325.04229295,1915969.60880719,102606.828798829,140159.7574248,121439.830955509,812.840251381382,1933.60985762493,1160.81639880535,35.9129705155022,85.4405536669737,51.2932144648219,0.000000165013433865218,0.000000436688064393049,0.000000273829260224063
2024,"a3_1",29268.8897195327,56967.5684763333,42248.6160882698,2889.62605741504,5624.23009120609,4171.07389819834,3573119.9584826,4895621.62162624,4227586.66955919,71700227.7711766,88443970.9266922,76157902.3841034,51014.0488554048,99321.6552172289,73846.8511653104,5036.4576955048,9805.716777489,7290.66894679387,637081.910437589,1239803.88800736,919498.760734169,1120175.27131923,2180811.59294234,1621448.01549252,132429.913064908,257816.522664245,191690.060601972,2227375.90921454,3050083.64023194,2634614.02916864,1721211.35925387,2351155.88441678,2032774.13319402,0,0,0,721.899243567369,1733.71792498532,1031.29518973828,32.8777726618919,78.9554752646269,46.9690681763672,0.000000167254589947984,0.000000445913304558697,0.000000280294761766728
2024,"a4",29774.1055403131,56759.7701452804,42322.1272760917,2939.50443730354,5603.71481106217,4178.33142815173,3581549.04329964,4867838.14285903,4229116.81455083,76856104.2015575,93897753.8414584,81351534.4161812,52557.9212981037,99421.9921610293,73920.0769994762,5188.87939931718,9815.62273053694,7297.89830467211,648095.498522247,1235484.01914213,921112.450588092,1154247.57890674,2183227.00256659,1623074.2995503,136446.328422255,258094.493230378,191880.586150222,2232500.50776861,3032188.09108226,2635396.72185788,1724371.47290388,2337017.45892347,2033214.96057405,109043.163917518,148271.835197408,128836.785091286,773.02921145532,1786.55760201928,1100.53368067728,35.2029835244827,81.349751610824,50.1218794720125,0.000000173333314818688,0.000000445339169308416,0.000000280489371434616
