"country","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","gavi_support","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Afghanistan","a3_1","asia",2799.93721293171,4429.95367563742,3583.59866122682,276.42905512108,437.355488948414,353.797502058578,434827.390856552,489519.573366897,462142.80271256,6031832.30295644,6494362.96509006,6141983.4483299,10383.023703337,16428.5204571177,13426.3653964367,1025.08349771457,1621.93650844167,1325.54311686199,56861.4831471054,90309.9526422577,72762.2471257436,199582.014746833,317731.82593908,258338.874679716,23789.5167112321,37872.583822025,30793.1402744372,243311.63266843,274532.305107693,259235.903237781,193321.568765645,218120.768168265,205964.379901646,0,0,0,TRUE,NA,367.156148887598,625.478969387582,457.456896708616,18.9840356254174,32.5398206513151,23.7749098193008,0.000000378207719461794,0.00000067520489164221,0.000000517920752054223
"Afghanistan","a4","asia",2865.91269132646,4282.74999994898,3577.15358520079,282.942608021335,422.822529854557,353.161199834432,435000.651816392,491181.991415599,462133.32411625,6154868.15349412,6694312.02902179,6296653.73611962,10601.2677747802,16318.288473681,13396.511492658,1046.63005317881,1611.05364903869,1322.59573419386,58033.4787312483,86842.6796656938,72653.992757707,205120.792143625,312593.188546353,257855.125418054,24449.7206760429,37260.0752235809,30735.4789608215,243089.435437751,276167.683733292,259197.093764145,193009.085612712,219434.284903784,205926.763255473,9243.68889311968,10519.4746917668,9872.80653358859,TRUE,NA,377.176084576578,631.463346765674,470.021896339994,19.6897065547589,32.6359505492474,24.4193468169811,0.000000383870684341848,0.000000671287439715156,0.000000516846516220898
"Angola","a3_1","west africa",6379.44780358498,10310.5774032294,8408.85708926656,629.82295474147,1017.93110079893,830.180194433825,306940.977650658,345751.024209506,326151.164644822,15465211.6892418,16740083.9623112,15807377.5493595,13289.9218635896,21144.8105761451,17376.8897284917,1312.07247306037,2087.56110004263,1715.56604426876,131642.949371063,213792.323329304,173703.835180427,248850.825345598,396454.155792726,325858.808455702,29304.2915092643,46685.8333110803,38372.6334866919,214201.014104933,241779.56406768,227769.460894205,147443.854368883,167353.275022499,157442.666629502,0,0,0,FALSE,NA,731.395139887855,1259.60740282258,909.678187313418,39.0088272837461,67.2695537138084,48.5098979655429,0.000000549671016028032,0.000000987148014424742,0.000000762915698191996
"Angola","a4","west africa",6637.65448523229,10228.6519103359,8345.99797203374,655.314893883556,1009.84285278883,823.974310136791,306337.195223868,347398.20323739,326627.625362517,15717096.3347272,17031654.4144129,16048874.1443525,13807.0668714765,21374.3652755221,17272.1796544823,1363.12858432976,2110.22431847278,1705.22834573524,137028.31364806,210775.472579621,172402.764506031,258607.825796711,400473.990156346,323806.166790976,30453.2609172555,47159.2028401823,38130.9175525629,213880.469135599,242162.780366935,228072.795878044,147667.261036517,167922.432220309,157696.971996099,13730.5960584013,15570.626850625,14645.6320315655,FALSE,NA,735.324587754022,1233.54616682549,929.174803956355,39.246235014142,65.8590062460111,49.5632133983181,0.000000570156439835858,0.000000999360313819532,0.000000757309945186015
"Armenia","a3_1","asia",445.966158750323,677.157613097283,563.065263868322,44.0288458290997,66.8536559648537,55.5896747054728,43603.9960169869,49396.1993495556,46425.7533892482,744053.60859086,810712.439804203,762016.149362299,1148.08575655317,1726.26911075476,1422.96756515451,113.346920572431,170.42915711349,140.485142912096,9746.97165483755,14772.8704418391,12323.7380472922,23356.0075286016,35177.0137063103,28937.1683530186,2723.2478016016,4101.5454000564,3373.99617659103,24820.4102384453,28005.9863213079,26420.2784230277,19476.3468045414,21985.931172601,20733.2419438226,0,0,0,FALSE,NA,431.018318033592,706.142755605781,535.511959669689,21.1516990840353,34.7110883061418,26.3334732709881,0.000000409942982682838,0.000000695503859191205,0.000000538589163358046
"Armenia","a4","asia",419.865545422302,682.989148212348,560.841707494861,41.4520138033591,67.4293852113231,55.3701499302438,43440.7206435126,49349.3179621475,46342.2552053261,770172.153569934,835045.281055665,787502.508216192,1076.55797347796,1719.01952385088,1418.89720416335,106.285205974308,169.713428043352,140.083288885658,9197.43074466822,14974.2568606402,12273.0874688572,21885.2777856539,34960.7534978646,28851.0119204042,2551.76466030154,4076.33004008949,3363.9505677504,24663.4639989306,28057.7045989999,26385.7031191191,19340.0975481068,22019.3240852292,20706.954749698,1712.74974215699,1979.95669354042,1845.67027991428,FALSE,NA,448.029904770728,775.662158126001,555.010261423796,22.0296211183485,38.1555714866479,27.2954900295629,0.000000383694243297554,0.00000069699030271069,0.000000537752281134101
"Azerbaijan","a3_1","asia",1200.07600750733,1870.41664489368,1524.35959880702,118.479755651871,184.660392898357,150.495261685445,170114.6230408,196517.806475008,183575.027974718,3402307.99325221,3735466.75296289,3495589.384785,4423.97773820424,6841.56894172265,5559.74500565649,436.765503312134,675.446731223628,548.896257933785,25551.0923535867,40058.0507125677,32437.8628719878,89094.9031507118,137542.750087327,111938.251607742,10495.0558105193,16202.0361148715,13185.9192435277,119662.586054806,138320.613716351,128971.333260788,94980.9147779858,109833.812434637,102400.244928066,0,0,0,FALSE,NA,497.299380044767,844.368343155173,628.731961848715,24.7363673555462,41.9268288180753,31.2278361916386,0.000000319835028152516,0.000000571738349243862,0.000000431083781572944
"Azerbaijan","a4","asia",1188.7806475238,1907.72599066747,1531.02182668046,117.364600042996,188.343828066761,151.153002633188,171319.466489748,195199.942519449,183522.064255636,3554758.82900508,3877153.66433486,3648134.29260378,4363.87164664605,6903.35595166686,5588.36180751797,430.831416640578,681.546769716903,551.721505393843,25298.6562872386,40641.4186736017,32580.3747635387,87722.1073223843,139211.419294333,112508.710189753,10333.3454508327,16398.5992833302,13253.1171913796,120475.878271561,137446.062523806,128909.09454531,95632.4282731603,109183.703423333,102352.9269814,9198.63756404821,10582.0495965552,9879.79429266378,FALSE,NA,514.931991612972,888.466476165661,652.809252202672,25.5349657881821,44.1981363954935,32.4253498813644,0.000000317497028762844,0.000000573007314883917,0.000000433511834617203
"Bangladesh","a3_1","asia",1034.93941620412,1630.55760701735,1331.08669359613,102.1763358148,160.979859314898,131.414031463139,13447660.3843033,18238399.7297066,15970380.1936389,102088015.831057,122562004.282436,107334255.628856,4199.36314052742,6656.04639080337,5377.52668603175,414.590005691888,657.13066927145,530.906412416186,22107.7303740421,35025.7080202753,28496.0635151328,86234.5788384664,136488.961344993,110449.297210189,10009.5730523939,15842.7889117105,12820.2668106243,8567878.07713229,11619976.2449925,10175003.5861601,6813964.39078093,9241218.01742283,8092049.57555731,0,0,0,TRUE,NA,15337.6358632524,29185.8551358915,19959.7811216185,747.958038694549,1421.26286152586,971.796637371039,0.00000000361391714749597,0.00000000776860540134014,0.00000000528503664936901
"Bangladesh","a4","asia",1045.55677788094,1658.31347764608,1346.39341131205,103.224554768656,163.72010972356,132.925215891017,13528265.686019,18376946.0410273,16008783.749778,109628055.1186,132757831.936515,115659994.947276,4212.15828245201,6693.71715414329,5441.98585051419,415.85323008707,660.84978606723,537.270264380251,22464.8590404447,35707.8992834123,28831.6613874064,86791.1731580247,137636.027080308,111797.298993382,10074.1790558929,15975.9331611309,12976.7344655415,8619074.29863237,11708267.0348473,10199469.0081281,6854622.07246222,9311413.72476985,8111506.5416249,432870.269923868,588021.150388896,512246.180924719,TRUE,NA,16377.754332022,31517.7690471862,21253.2700606613,796.506971642203,1529.62365994058,1034.55088797916,0.00000000359759328166617,0.00000000776616713375521,0.00000000533555800422296
