"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a3_1",21341.3917974033,41042.051884251,30443.2075272512,2106.9689499744,4051.95358317149,3005.56278646033,1576375.95397079,2237515.48542868,1910581.81361994,27228940.7977487,34311232.2334315,29090919.49286,13541.7370011174,25957.2093571483,19270.3752191169,1336.93339501622,2562.67419963448,1902.50395224812,522981.770633424,1005548.2152679,745826.612798762,333036.497943237,638237.673117872,473799.60927943,39407.4760969779,75524.1173874458,56065.9548202924,630583.940389364,876311.374713368,756725.944796532,445298.674343962,614584.388978083,532459.559761719,0,0,0,1048.99338072527,2533.73937409952,1509.61873663989,42.6626975257225,103.02544149164,61.3992053245937,0.000000154531110651699,0.000000411637653523503,0.000000254654612434338
2020,"a4",21139.8533766159,40864.7401621636,30382.1497823962,2087.07169121747,4034.44815070246,2999.53474603137,1570637.94768203,2243816.2717327,1913740.54228006,27275292.8641228,34437450.7151829,29149488.6508011,13299.1724017658,25872.5126610222,19236.8047779006,1312.98574979943,2554.31235938539,1899.18964744779,517836.764402052,1001194.6659859,744291.234340792,326932.985942895,636154.725962315,472948.113853575,38688.3110811252,75276.9840634302,55965.7306113083,632864.888001493,880648.814411228,758257.610442438,447178.408190377,617654.269775302,533580.03649545,0,0,0,1054.21893967083,2589.44313787604,1515.29783596329,42.8752499210995,105.334891845995,61.6335868501334,0.00000015101561694212,0.000000408815738580858,0.000000253697483717652
2021,"a3_1",19984.7002076233,38578.1681823569,28716.5967143225,1973.02702709073,3808.70204149507,2835.09989415856,1416299.54257606,1970918.89766556,1701784.16974883,22744924.7765897,28210459.6458135,24145379.3993294,15515.7382370703,29863.7520859403,22216.3979657893,1531.820371032,2948.35496073247,2193.35557580119,474853.006497049,916514.395753929,682247.86598751,370393.396139116,712820.514238486,530284.256545044,43823.6175106954,84342.9880957729,62743.4260331383,776173.119295666,1072113.22768618,929381.767790811,552074.769903867,759298.678931091,659654.597685548,0,0,0,761.623144711876,1818.18352531965,1086.82692111073,31.9083476446919,76.1635059908519,45.5328988204244,0.000000144721078300248,0.000000384756330044514,0.000000239044908515893
2021,"a4",20097.6673139346,38726.2062045915,28669.903230101,1984.17991663167,3823.31737301726,2830.48999231359,1423799.01898087,1983591.44383813,1704814.32999793,23400838.2400434,29110772.17122,24857707.2709499,15565.5460249241,30060.0454743054,22190.8368895815,1536.73773834671,2967.73439382179,2190.83201059003,477424.871138913,920129.127688112,681117.912664425,371510.109419657,717560.645727938,529662.153931798,43957.6672126296,84900.7671118624,62670.0679923155,780381.923156324,1079637.47205568,931111.659385425,555444.040824693,764975.260294275,661044.891958103,29282.3000415774,40153.507622485,34802.1184344233,778.469821678941,1870.20565321684,1120.17890062634,32.6116522406328,78.3579542874203,46.9312505838404,0.000000144173821563331,0.000000385196588777004,0.000000238326270172886
2022,"a3_1",18482.8076545111,35932.3149531044,26614.33127222,1824.74986664845,3547.48521678438,2627.54979371697,1446490.44794291,1997042.78316784,1728166.27804165,20017038.0764934,24439053.8239089,21149222.7682031,17682.4418201712,34441.6662886974,25520.8832560237,1745.73224785473,3400.31813035244,2519.59708658298,426040.404948689,828283.909444875,613447.959379771,409448.931518256,797556.299842525,590933.863938187,48454.9738359567,94384.6505871474,69933.406004946,898251.362623943,1234269.06826547,1070392.32102027,667312.452938644,912884.266478773,793303.72101409,0,0,0,581.186691396006,1382.10853865387,828.702618010342,25.0979624641491,59.6876727295092,35.7894919530544,0.00000014326245609493,0.000000383430159104769,0.000000238425507683928
2022,"a4",18534.8587504499,35572.0073671605,26568.3623293353,1829.88870876317,3511.91317428449,2623.01142357501,1453136.48851113,2005686.15543465,1732080.59849277,20957187.5713294,25624800.9834649,22161599.277687,17744.5950292269,34052.2811602947,25478.8442679368,1751.86844004243,3361.8753529125,2515.44670860257,427185.954775265,819825.813458481,612386.187799032,410847.039336879,788382.544954686,589951.621957591,48622.4478985813,93302.8436876428,69817.6237914535,902493.309041499,1240109.04780848,1073039.2233679,670477.853164801,917717.720310617,795483.600351225,43584.183415601,59468.6016079678,51611.2740135972,615.441516903885,1444.09049297877,869.803945761215,26.5825108704479,62.3706599537001,37.5651128886634,0.00000014308898931578,0.000000377313391901601,0.000000237445600431712
2023,"a3_1",18219.6774822986,35483.0097894983,26309.4940168761,1798.77184666193,3503.12672143562,2597.45416368955,1513390.50842883,2088095.20739408,1807617.12769698,18164784.6157037,22544649.6429354,19281386.3990968,18674.3001164769,36466.8718571843,27009.3791244388,1843.65531927058,3600.26035017694,2666.55163419114,407356.013186577,793441.459649494,588284.900754323,419616.206409427,819533.918446447,606976.466581146,49658.7995185069,96983.951671116,71829.4661173689,937553.176612625,1288468.53406624,1117740.84661923,702010.650906741,961444.375066693,835361.024118766,0,0,0,498.117433456939,1207.25539925555,713.877439028225,22.1647746442733,53.7268325164214,31.7662833086447,0.000000144934079666993,0.000000388957904115252,0.000000241642588316716
2023,"a4",18467.9249660588,35290.3449280436,26282.3657446114,1823.28054530527,3484.10552147407,2594.77587410699,1522564.58514902,2093392.19835543,1811713.7485934,19071830.9831831,23672708.2410079,20279533.6717744,18960.0853400727,36306.0357505444,27002.2773112358,1871.87000171463,3584.38150375764,2665.8504943569,412921.099371242,789009.495793126,587669.463012984,426065.541583953,815810.72041618,606808.836081185,50420.1275842219,96545.686237668,71809.4196053566,943930.467385957,1292549.90518112,1120652.09260276,706994.620884914,964774.827155016,837837.038380662,45571.9430852002,61975.622809177,53891.1179064813,525.307447891694,1248.55494141553,751.030494133025,23.3777646038455,55.561189372418,33.4199709462721,0.000000146687452949183,0.000000384626166915528,0.000000240951473606067
2024,"a3_1",17580.4678265812,33833.1769460495,25292.3339659411,1735.66467399457,3340.24387823616,2497.03312907196,1595805.13923779,2203090.77600148,1910799.06192025,18518632.3206817,22955359.1789712,19698391.1329806,20317.1433302818,39098.996115425,29246.3909467551,2005.84809816817,3860.12175646358,2887.4048238561,381376.258802352,733865.403093573,548649.380073511,443056.149749083,852562.97605616,637763.192000181,52432.8537252707,100897.819433218,75475.7284987041,988649.451203504,1359586.50544469,1181256.81551282,744651.133039769,1020717.91807654,888184.966430684,0,0,0,473.63447046089,1129.85171221179,673.532374262616,21.7211312721394,51.8113995076506,30.8866854971697,0.000000149436194379089,0.000000395478863290006,0.000000247587066272784
2024,"a4",17578.9673503287,33972.5049791589,25239.8662873653,1735.51653666107,3353.99929973862,2491.85315905473,1600765.11533299,2216680.2734839,1914522.39810841,19502725.6613402,24319269.6314287,20744315.4318492,20195.0960798903,39290.5392876539,29209.8665785061,1993.79875436502,3879.03221555159,2883.79888706675,381275.017850777,736943.07367085,547496.511485465,440328.336783671,856796.097450798,636945.900843621,52110.5631524131,101395.483951982,75379.1107828609,991972.440024409,1368042.99645986,1183870.20685267,747314.100177761,1027353.85057047,890373.348150425,47940.5989777534,65675.6272244095,56998.5133750571,496.372053296516,1204.21658481958,710.181793405169,22.7623885302071,55.2298537247594,32.5684102910055,0.00000014762033161348,0.000000396084988880206,0.000000246732001611568
