"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a3_1",40993.6865020056,78810.1269475359,58537.2964208067,4047.178620057,7780.6776614355,5779.20442794617,3503754.16651701,4988772.81302274,4241950.40090427,61026094.3885796,77327086.4942032,65295545.129804,35208.7075362355,67599.0536958287,50143.7363659849,3476.04571678423,6673.84341831412,4950.5344619411,1009592.97497415,1941109.85730672,1441496.58543135,872296.076385213,1674852.34796962,1242193.06800644,103112.676535657,197976.518438251,146839.065361957,1342289.03139327,1886355.13173167,1614485.89341965,964226.246864527,1349503.96915967,1157083.6950077,0,0,0,902.76551300814,2196.24893684669,1302.16752603417,36.4367010993893,88.6477522799895,52.5647315313028,0.000000186649411576674,0.00000050361026660303,0.000000310586401345231
2020,"a4",40421.5460938712,78791.8946771581,58400.6291969411,3990.69298470534,7778.8776463316,5765.71169982901,3498372.13754967,4982342.78522699,4243806.92923752,61125222.3639641,77308290.4815912,65355279.1095368,34417.2000847868,67592.1544523376,50032.341043589,3397.90265846323,6673.16227755479,4939.53674971649,995127.199225742,1940387.9577894,1438113.88228399,852423.570862749,1674484.26948017,1239411.62750564,100770.530320517,197943.194260216,146511.981649965,1344437.06221023,1886021.14597329,1615715.40415105,965854.194974559,1349134.74012589,1157992.02731455,0,0,0,904.324220158811,2246.21091463402,1306.26066552829,36.503909578643,90.6923425443836,52.7308907381048,0.000000182485759283604,0.000000502754322624945,0.000000309660605543818
2021,"a3_1",39577.6659719795,76724.4458543357,56803.395871724,3907.3793362233,7574.76488195801,5608.02184276419,3383361.9252314,4761937.05542355,4061818.87621506,52827349.258753,66597973.8017414,56369794.6097151,37587.1150677728,72929.1873979364,53972.1843459673,3710.85846315553,7200.07086946469,5328.50517242666,944804.360369588,1831997.56456,1356360.43676065,903590.043895371,1753552.32369801,1297715.21205788,106795.962726148,207246.148550295,153371.014479353,1582275.26303755,2204403.60152236,1891321.92195611,1141846.5392719,1586301.06571277,1362778.62781279,0,0,0,724.36497846194,1771.82988589732,1044.42307260308,30.1259041688287,73.7037490083865,43.4377235359102,0.000000170509225451342,0.000000460913401742323,0.000000285367518450514
2021,"a4",39459.8272883027,76891.847557689,56756.3981510035,3895.74549106596,7591.29192923245,5603.38190460001,3365177.91192637,4750248.81343298,4069814.68361875,53877002.8845744,67352450.2036384,57363206.4362782,37489.9852485684,73421.068175941,54008.8252269687,3701.26913950115,7248.63272223339,5332.1226121561,942098.568452616,1836336.68717059,1355322.91156281,901288.387479225,1765555.52385994,1298653.32504955,106525.637088418,208661.606864486,153481.621412018,1577104.05741996,2203558.40098006,1894948.50366704,1138475.52661049,1585738.47499126,1365646.2278048,40675.8529582604,55562.652649229,48187.2354356792,733.808486080146,1796.54512417314,1062.10802022101,30.5156094818168,74.7290779946845,44.1713006310515,0.000000170133840028448,0.000000465543588138712,0.000000285014738513751
2022,"a3_1",32306.5556278465,62558.4783228643,46413.7319783795,3189.52532405948,6176.20315653261,4582.28277983155,3253621.69039177,4448935.59469894,3852086.17009465,46293446.8142947,56450312.1867902,48964406.7498449,46281.9463511585,89479.5594049875,66278.6923879518,4569.27199650291,8834.03740081458,6543.48827068112,747789.495004057,1448106.05363595,1074202.6655182,1079522.58363898,2087054.97384718,1545676.98372277,127612.187942459,246718.006009782,182727.018129673,2045694.05448407,2793071.20626744,2420390.61151823,1521450.71499114,2072479.89458041,1797741.3299517,0,0,0,517.363374631395,1219.70480148956,738.765431026302,22.1812301996815,52.2919233393902,31.6782919494046,0.000000165702708356684,0.000000437404406630856,0.000000273834694584183
2022,"a4",32195.7938128405,62380.7190814796,46336.9342713166,3178.59015604064,6158.65354188123,4574.7007820993,3239399.26291694,4459559.73286016,3858065.11843107,48491800.685762,59159504.6840863,51262773.9269503,45863.8907715914,89092.8191576455,66205.3001540167,4527.99867497481,8795.85574422018,6536.24248467342,745013.480694572,1443663.1896215,1072405.41355807,1069468.00387914,2077632.54205013,1543933.52831979,126435.440544782,245619.112291019,182525.172979563,2036495.46514789,2801072.65843262,2424366.7771551,1514663.07697884,2078607.00376102,1800905.73738503,99377.554043936,136713.991802907,118324.919665193,544.284052791708,1289.89284792058,774.300151312585,23.3399312459326,55.3167597997365,33.2027078800068,0.000000163736883559655,0.000000437481058427869,0.000000273082855192836
2023,"a3_1",31910.7206211656,62355.544499925,46157.3670618834,3150.44577028403,6156.16813407992,4556.97267240988,3374250.3825786,4629671.49489978,4008043.32734308,43664033.7284198,53722160.8851195,46230953.3729024,47424.0644518444,92432.5060906623,68402.8146874685,4682.02974905219,9125.57260323768,6753.19623038291,716572.460500223,1399957.6399515,1036228.82469683,1073487.67854174,2091877.9364533,1548041.935556,126892.903467879,247295.225546206,183000.69241487,2100787.47604552,2880963.54834045,2495585.4954789,1617752.14813864,2213403.94377458,1919036.46868412,0,0,0,472.388292551453,1132.80380975507,675.863319135784,20.8731269485306,50.044506293819,29.8641479349187,0.000000164611817040041,0.000000439989799751926,0.000000274095256649751
2023,"a4",32320.3900211544,61599.4566520568,46093.7046557272,3190.89115049753,6081.5219425834,4550.68748190661,3389799.61686712,4631642.6998764,4014139.50556383,45748450.0196938,56234374.4755172,48494532.9673167,47775.0445101988,91299.7229049622,68338.5687636646,4716.68091388873,9013.7364576863,6746.85343100495,725510.950248544,1382962.21561237,1034780.29079388,1081105.85615241,2066273.23089615,1546560.03189823,127803.422687007,244269.184405881,182827.496653061,2111969.63843621,2883066.63718564,2499715.44158252,1626049.24551854,2215404.89275397,1922417.61240002,102950.073969289,140481.082312355,121820.086003647,501.079834243476,1177.06587303153,709.62172378859,22.1405617299957,52.0156043513183,31.3563857639558,0.000000165709123382716,0.000000432296569246915,0.000000273385392700542
2024,"a3_1",29556.7599355616,56543.2224579114,42316.4827889472,2918.04658464932,5582.33573429873,4177.77416556712,3563396.41717638,4881816.7514545,4231513.12094133,44687051.6813381,54967092.6349289,47390663.096752,51857.1759793645,98232.3895412286,73918.3191158505,5119.69700285309,9698.17697973858,7297.72475431269,643360.253989376,1230737.7012312,921065.570871903,1138747.26523041,2156904.30010807,1623137.25361196,134620.702016416,254995.418699143,191884.420071931,2220313.94969909,3040638.18796771,2636537.77776206,1715623.09278045,2344177.35784399,2034306.54550386,0,0,0,454.911581506248,1059.97080629308,641.122033936915,20.7181429788513,48.2697911233246,29.1969536102346,0.000000170547012744139,0.000000442425673876172,0.000000280361312245613
2024,"a4",29242.9234004861,56976.3497732681,42229.2969065297,2887.06248384422,5625.09704122311,4169.16657573073,3569812.18546861,4899850.22457178,4234227.39950783,46848287.3433141,57897904.9289033,49706910.7372529,50817.9732984625,99830.3662730425,73756.8506288677,5017.09976823144,9855.94023101458,7281.78347495745,636394.993142728,1240068.10633075,919087.94847491,1115756.01685883,2192106.39332061,1619471.67098569,131905.692952266,259150.563282887,191456.523777405,2225965.53101502,3051944.30758562,2638517.45625723,1719582.18149904,2352686.70400131,2035857.54605471,108873.7735832,149171.020692636,128979.43089474,469.27892876984,1139.31944095565,673.929408772751,21.3713565573558,51.8911877274946,30.6932882049112,0.000000166510159350399,0.000000448481186622512,0.000000279538990556813
