"cluster","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"americas","a1",25677.86525167,39870.6870226198,32520.484966137,2535.09542866263,3936.30838926956,3210.6458993971,341589.294708924,420052.801869359,380443.152840607,21826465.264228,24877872.1780221,22601525.4391682,7953.96375498746,12815.0886494614,10267.4421622885,785.269996449784,1265.19367302323,1013.6724931985,1384319.94518957,2148410.94596449,1752494.09739657,428789.168867652,690777.60915859,553321.276900526,58781.2590316682,94693.4001099795,75849.1666248265,103362.14928262,126494.699424101,114936.507397381,67049.1877460227,83884.0427296299,75285.0690229224,0,0,0,1703.18488316859,3127.73265561119,2201.28100864125,31.5969495461991,58.0188912973703,40.8470203166097,6.28798186105812e-07,1.23982412695594e-06,8.93314264961082e-07
"americas","a2",2013.20653587832,7496.01305671844,4247.67871711375,198.75759281535,740.057954469029,419.360051649242,59986.1899399759,118935.196488942,85837.7838597906,4773022.76861234,7406437.63583864,5429234.86608481,626.727367493241,2392.68427978125,1337.43701854904,61.8748353407823,236.222245130439,132.040979209801,108373.370151874,403452.572707885,228767.395322678,33735.5242992935,128776.670166345,72022.6213867499,4618.34386035105,17638.4212275315,9863.77332187675,18121.7301002862,35859.6419326206,25937.4650599793,11866.9817609794,23567.3163659528,16981.426869916,0,0,0,1994.84019222491,11817.6387692508,4059.43217571089,37.0643437390242,219.544168637502,75.3823557314124,1.74772343982365e-07,1.32033987182242e-06,5.15639063206936e-07
"americas","a3_1",15197.8874293392,23243.5149718431,19025.3986960815,1500.43995362664,2294.75962949601,1878.31818533993,348707.161697017,396337.068456234,372669.595776895,7517653.92960156,8184100.30125768,7687705.75965452,19079.7759167233,29099.6629074283,23774.982834364,1883.68667848067,2872.91882285452,2347.22979146441,818963.036015403,1252419.02829267,1025554.41360231,1027743.4986353,1567248.86742404,1280970.89866285,140880.142786605,214833.152625758,175591.742110479,295214.135297258,335569.626796527,315300.266252021,233893.349065598,266047.821427866,249937.40359231,0,0,0,258.341615623407,428.941112148197,323.352736496736,4.79671996315283,7.96317399441105,6.00146792380638,5.68578750671387e-07,9.85713738880667e-07,7.54042586673889e-07
"americas","a3_2",17401.3179925354,26856.5404440297,21951.2224354127,1717.97777047343,2651.46234868277,2167.17562399203,280207.924146404,316814.499236281,297959.563502433,6352388.32694762,6923696.07685742,6500774.51275792,16480.7654527413,25571.105191528,20787.4537003673,1627.09449366661,2524.55534140159,2052.28037194057,938046.611817326,1448233.04343659,1183401.96953883,887754.699087025,1378193.51897513,1120190.0569281,121701.300257479,188915.805254248,153553.516888401,238485.247832504,270096.957381059,253733.9358142,177276.85323053,200879.046944268,188653.276359361,0,0,0,248.420562168437,420.107676230885,312.725868519579,4.60921361150463,7.79910946568665,5.80327817815578,6.101796041149e-07,1.07223006135321e-06,8.19261863166353e-07
"americas","a3_3",12488.5159138445,19351.4500460132,15834.2060291356,1232.95216692161,1910.50821666146,1563.26170137345,425801.219196019,487310.341905626,457216.07992694,8819279.29390581,9607554.87043267,9024274.98836007,21301.7345125317,32848.1271668504,26912.9829340612,2103.05371011291,3242.9929904471,2657.03473941926,673073.68279606,1043260.17324089,853531.115105547,1147000.95935275,1769535.73987785,1449867.86688003,157213.530385835,242562.600031554,198741.659745256,356374.751944101,408393.46607845,383187.963624022,299981.816592639,344062.036148823,322709.805652107,0,0,0,268.486518245279,451.022186234676,335.313072150723,4.98395092857214,8.37623961173861,6.22420511172469,5.21598318334499e-07,9.21729920193751e-07,7.02344162366954e-07
"americas","a4",15074.5643372812,23420.9542911711,19044.5933482384,1488.26464996099,2312.27765924205,1880.21321339078,348499.586054056,395409.136888225,372129.217926986,8807153.54240526,9564739.4033111,9015487.7888483,18865.2323790336,29187.477922756,23803.6595503896,1862.50546515489,2881.58852501797,2350.06095406274,812797.973514197,1261986.33331305,1026537.59811383,1016865.38068958,1572310.55055854,1282445.42800486,139389.035886633,215523.246480286,175795.812848024,294850.969414215,335030.296730251,314774.645922503,233711.712659013,265630.391067196,249517.518704135,27785.6329936312,31583.108967629,29655.9156980564,301.744246820955,507.003529622097,378.743771299684,5.60140841087447,9.40610191373101,7.02991924020809,5.63090340281163e-07,9.89906120395101e-07,7.56212733736185e-07
"americas","a5_1",1804.20562019498,6832.28593138293,3916.83936655952,178.123585247269,674.530248609291,386.697315982102,101097.584439383,152980.557034603,124473.365232969,3296763.5408932,4748576.87440195,3602723.54711425,710.7482706013,3402.56332787903,1788.38550414158,70.1699566561141,335.924449080915,176.561714605188,96774.4655197145,367752.172189332,210792.919521682,38100.9887709384,183238.352865223,96234.1023643881,5215.73932104377,25099.1983864217,13179.7020868301,79788.1740812839,116980.369865402,96644.2851644372,62473.5000067002,91196.0963206549,75558.0431759743,0,0,0,968.90585808677,6681.09522149748,2014.51171392911,17.9916676249435,124.631329201197,37.4370774870702,6.07579093329152e-08,4.26449579409184e-07,1.85048241714314e-07
"americas","a5_2",1755.30158185354,6785.60975255231,3853.68544125324,173.295442298957,669.92205527152,380.462326204841,30281.1464921696,80735.5219985374,49843.3097553259,2000376.98849836,3487907.97655966,2348932.95888584,671.449606175551,3264.82041375893,1752.19478183103,66.2901222710581,322.325521424972,172.988717637167,94593.7965640354,365451.513929489,207363.891959214,36167.6523937091,175577.233269763,94250.5783931724,4952.6484116898,24050.4777332544,12907.4320680296,18581.5427035267,50486.3793654804,32358.9764762823,13924.299319545,38425.6620787896,24405.8863149623,0,0,0,612.706591783173,5194.59382279799,1340.56611927084,11.3931456330953,96.4372234778041,24.9222126689464,1.32996189192891e-07,1.75702333538716e-06,5.41486466086253e-07
"asia","a1",367043.436218677,577370.058307135,463985.038467718,36237.0519573497,57001.9423778189,45807.7935396465,52990921.8134877,66285140.5517522,59577419.1865462,785689278.991844,905708247.305754,818148457.797556,436972.311210914,691829.21987622,561163.76753861,43140.9113548053,68302.1378737616,55401.9459123731,18554936.3756391,29194119.4107602,23457766.6035781,22080414.4897271,34963143.236195,28356428.5583952,3105680.7027006,4917727.15402142,3988512.22395194,21371812.4658504,27063639.0420113,24210753.5787254,15911451.9724884,20439072.5300586,18193342.9173592,0,0,0,1135.66940571319,2072.69024619868,1457.94954187106,22.4719291879476,41.0186252494098,28.8523096663149,1.61461032839152e-07,3.23711066144569e-07,2.31782858684629e-07
"asia","a2",105110.825400984,214125.628676516,149689.634058795,10377.2634666217,21139.9544742935,14778.3899985982,37344888.7489747,51571742.3930635,44279802.5797681,541926155.595105,675538326.500617,576940265.113424,127073.839828526,260963.526915942,182397.327122999,12545.6032771631,25764.1138641482,18007.5183687524,5306434.2106294,10817602.37798,7560581.60016297,6414876.5944716,13180301.6594761,9210753.80158168,902620.640679958,1854337.29758696,1295920.06733274,15922808.3810666,22046612.2661719,18929259.4132933,11958409.2214617,16574252.6577075,14238594.2372352,0,0,0,2076.63562030897,5316.10855084093,3163.0960508778,41.1163696853236,105.308078269627,62.6376817296268,5.76387148711763e-08,1.63892901723447e-07,9.63573498257982e-08
"asia","a3_1",183256.108506398,291425.770665043,234576.983144102,18092.3031722373,28771.5560373301,23159.0528188245,54979277.2984127,68828441.543397,61849681.1391564,823065093.94597,950398962.854264,858011494.785587,611976.613709534,977738.112386512,782232.998075105,60418.5394953178,96529.0297634484,77227.4205091987,9264222.01154793,14735235.1798534,11859803.4421076,30927070.9466698,49419143.4459208,39534842.3878753,4349598.63653834,6949662.72755629,5559959.33201416,33476232.2821255,41931763.8201119,37688310.7940769,26657455.287558,33389295.402587,30014966.3376814,0,0,0,841.805268219515,1552.99882636587,1096.87458455084,16.6547826723595,30.7303256908201,21.7026663814076,1.45945831502564e-07,2.92069341659029e-07,2.0755321254622e-07
