"cluster","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"americas","a3_1",15115.5118404508,23346.0149479363,19068.4208609759,1492.3072690449,2304.87913196575,1882.56562929549,348737.304214078,396705.50990136,372405.128538252,7511830.55709941,8193658.04240854,7689191.01182404,18794.7867323155,29287.8567619815,23826.3687616242,1855.55058649914,2891.49861427037,2352.30296355322,814816.668795354,1258646.36408364,1028021.38372865,1012379.69930037,1578286.60171902,1283894.99255412,138770.099445336,216349.643130909,175993.230610908,294781.319539825,335766.173063283,314966.045052867,233648.299129538,266254.168650634,249667.787981731,0,0,0,256.482767521948,435.95376521727,322.717703597729,4.7594844617687,8.09346339922753,5.98895630594177,5.59758196034035e-07,9.93545208621156e-07,7.56474202088196e-07
"americas","a4",15075.3125845921,23362.3637213111,19040.1238492212,1488.33852208077,2306.49319529385,1879.77195371378,348466.002353735,396218.538511928,372728.81029794,8836190.16132127,9589908.24072894,9032822.78218246,18845.0818525923,29207.365989452,23796.6910854086,1860.51606662172,2883.55201172031,2349.37297928194,812682.365419564,1258897.73945835,1026172.8856207,1015262.90265525,1573024.83441045,1281912.06045713,139160.696091895,215618.072764362,175718.052784953,294621.819569539,335669.504252093,315271.605597273,233491.694432429,266171.669433826,249908.349451844,27716.5013346646,31643.7738318122,29703.2316323875,302.532935168217,508.881219818622,379.58314245299,5.61732400406316,9.44573884818219,7.0463669551259,5.6141775210057e-07,9.91351082962074e-07,7.54799692167852e-07
"americas","a2",1786.98711468801,7667.38378538995,4289.56181441202,176.42365598246,756.976851215459,423.495039019041,59826.4270914171,121228.724416214,86403.6656813418,4799032.66111925,7564958.0058448,5449349.621496,571.433640577857,2401.38674029191,1353.56675662271,56.4158583984607,237.081411873564,133.633417866805,95881.5446847777,412707.933828338,230863.734196228,30652.3516067488,129207.898921722,72848.6291587998,4196.34885846399,17698.4404770773,9976.8362313964,18070.954670212,36654.1524374639,26109.1366910953,11827.1255892475,23957.1788676048,17092.6961495756,0,0,0,1998.44222531848,13238.5590708219,4025.91862930551,37.1419448901235,246.798617701462,74.8037359717117,1.55898746138732e-07,1.32886545515514e-06,5.18426469874183e-07
"americas","a5_1",1755.35757423964,6861.80774318359,3856.64989257155,173.300970252339,677.444844873746,380.754997223707,100857.479108491,152253.507281602,123816.567458654,3264796.37253681,4818580.99938755,3590677.24274108,682.457641065786,3400.87369343229,1754.18262449648,67.376911170964,335.757636749747,173.184971134281,94137.4554400167,369863.299576109,207538.208109916,36579.2946123595,183180.229333423,94380.0568316235,5005.94351813482,25091.7035720041,12925.0256924781,79403.2777220888,115416.151724281,96133.195400224,62137.2985364428,90009.6750263439,75163.2639751742,0,0,0,959.987540508114,7060.63015407438,2046.92327503344,17.822864314654,131.729740839766,38.0448726487519,5.91301677338986e-08,4.28303942985242e-07,1.82474182533247e-07
"americas","a5_2",1877.70338236386,6677.28141578598,3886.37763089627,185.379789727863,659.227136958047,383.689923970648,31344.5858909984,81741.6747182991,50248.2889173124,2032609.71809678,3464335.36483492,2367882.84447525,731.067813370832,3362.03324139931,1768.3528977317,72.1760416434245,331.923040242953,174.583957948388,100882.169540831,359629.745515483,209129.951061716,39279.8046402787,180917.501983119,95134.5067207421,5377.36104532744,24777.3179582473,13027.8508766799,18968.8516609964,54703.0696983231,32581.7682467393,14189.9531780544,41909.0644359927,24572.6402992968,0,0,0,604.57751965914,4738.73326314483,1339.03297668275,11.2350087515935,88.1963491560363,24.8898420362439,1.33642923039334e-07,1.77239682268816e-06,5.42743071628309e-07
"asia","a3_1",182568.221839639,290659.905013451,235196.251814232,18024.3902703178,28695.9445138139,23220.1912802726,54738083.7085761,68827933.6457647,61812339.3196345,822687097.244169,950409011.122593,857678430.023479,611806.084397687,964501.291195264,783701.729675952,60401.7036690262,95222.1997539026,77372.4237924057,9229739.66108205,14695526.2835428,11890959.1806078,30920377.0447853,48748552.2442423,39608711.0525829,4348393.07128835,6855594.99329903,5570275.16032631,33326274.7372755,41945955.5788131,37661529.5045651,26537349.5617962,33404130.7472887,29993499.719338,0,0,0,852.96629953149,1553.44811919982,1094.39394803698,16.8761339438821,30.7373034211715,21.6537828985362,1.45855798480536e-07,2.8941167256131e-07,2.08090786536154e-07
"asia","a4",184220.567842597,291853.667905678,235060.735557932,18187.5212299055,28813.8009953139,23206.8121835881,54814116.0548968,68896330.1244798,61871060.3279122,900396598.594982,1039980559.8178,938551288.039212,615219.264404655,975783.584435815,783508.86083564,60738.6762696712,96336.0653240591,77353.3824542487,9313684.88468629,14756186.66137,11884108.6108297,31093084.3492716,49318898.8002801,39599091.0307701,4372845.46540272,6935602.2908648,5568951.62810976,33391935.2824782,41974497.1540675,37703188.4880268,26588170.7015539,33431070.8807562,30026752.1772367,1577559.77662333,1972469.8040413,1776517.109303,922.742104864962,1690.42261838824,1197.88216184079,18.2566241440466,33.4473270047963,23.7013341369356,1.46569775963364e-07,2.92221333139634e-07,2.07809708477163e-07
"asia","a2",101618.349920968,213123.528393713,150201.835099158,10032.4622716108,21041.0202435427,14828.958007397,37241312.4790855,51524409.8945371,44246122.8938574,540929207.688852,673361499.859485,576518767.11297,122208.976536221,257646.43322935,182623.888836569,12065.3105202491,25436.6275657778,18029.8860990427,5131117.35421104,10767828.2790601,7586788.78731915,6170614.43697676,13013342.3508723,9222558.08053879,868155.539556605,1830818.40775846,1297539.44942291,15900819.7933715,21937432.2903646,18914691.3958986,11931392.1584309,16627656.4630175,14215274.5977652,0,0,0,2099.50202263165,5509.91849326148,3156.86392829418,41.5672771148292,109.123897909491,62.5118066027175,5.57079675135447e-08,1.62033427570039e-07,9.6551344673891e-08
"asia","a5_1",80045.1494248881,149903.717676872,111579.856530306,7902.60757289601,14799.5258054973,11015.9307032899,42417577.6944527,57218573.8694896,49730203.7389116,631309133.076849,766491267.742151,666710721.783569,145017.923872612,319370.726054969,222581.853608926,14317.1666445167,31530.4741938374,21974.8111479223,4042993.91267189,7576818.75601901,5637998.86772627,7320332.66417833,16129362.6265063,11239066.3780026,1029957.1049926,2268887.14843797,1581107.80407722,25262261.7889744,34320123.0955592,29737997.8528792,20040190.4269107,27249508.4313924,23605581.2122308,0,0,0,1976.72823954501,5285.49331884972,2995.35074838118,39.1403645448074,104.707163308703,59.3208278481631,4.22544882688305e-08,1.26422063361863e-07,7.48476258254139e-08
"asia","a5_2",79490.1109343742,150604.867413446,111160.305532532,7847.8103564513,14868.7481288709,10974.5097437932,13807124.1969319,25031898.0467564,18142608.3673732,230732673.662134,353156037.052414,258449615.569157,147268.284177758,321883.466043297,221565.350112197,14539.337688196,31778.5491640655,21874.4549328505,4014939.27517813,7612178.2983609,5616841.26411528,7434530.82599825,16254628.220296,11187463.2892976,1045956.03465594,2286816.95583427,1573934.19174711,7515435.86791618,14489347.0701133,10186164.0207552,5858692.15546082,11434906.7146111,7993067.1135658,0,0,0,716.820520477115,2398.04543812123,1166.47127106419,14.1948908664693,47.5021282872945,23.1017174211781,1.01639006550905e-07,4.28296471023638e-07,2.17515985076166e-07
