"cluster","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"americas","a1",32575.5054022054,32575.5054022054,32575.5054022054,3216.07789518775,3216.07789518775,3216.07789518775,380340.846746142,380340.846746142,380340.846746142,22576611.2648038,22576611.2648038,22576611.2648038,10283.0443251516,10283.0443251516,10283.0443251516,1015.21284600291,1015.21284600291,1015.21284600291,1755651.03259461,1755651.03259461,1755651.03259461,554202.833225924,554202.833225924,554202.833225924,75970.8794417967,75970.8794417967,75970.8794417967,114913.543641955,114913.543641955,114913.543641955,75256.8797311162,75256.8797311162,75256.8797311162,0,0,0,2195.51822893372,2195.51822893372,2195.51822893372,40.7370910274657,40.7370910274657,40.7370910274657,8.9485051102343e-07,8.9485051102343e-07,8.9485051102343e-07
"americas","a2",4275.36809483944,4275.36809483944,4275.36809483944,422.093737421284,422.093737421284,422.093737421284,86158.4346087533,86158.4346087533,86158.4346087533,5438660.57282498,5438660.57282498,5438660.57282498,1349.59685453097,1349.59685453097,1349.59685453097,133.241481833714,133.241481833714,133.241481833714,230175.448381094,230175.448381094,230175.448381094,72659.0212197969,72659.0212197969,72659.0212197969,9950.89189083647,9950.89189083647,9950.89189083647,26031.3114414023,26031.3114414023,26031.3114414023,17047.9058629744,17047.9058629744,17047.9058629744,0,0,0,4029.84087771535,4029.84087771535,4029.84087771535,74.8518281903741,74.8518281903741,74.8518281903741,5.18451349471571e-07,5.18451349471571e-07,5.18451349471571e-07
"americas","a3_1",19050.6739349784,19050.6739349784,19050.6739349784,1880.81353072623,1880.81353072623,1880.81353072623,372618.30497045,372618.30497045,372618.30497045,7689250.45519426,7689250.45519426,7689250.45519426,23807.8757923786,23807.8757923786,23807.8757923786,2350.47721046442,2350.47721046442,2350.47721046442,1027005.71539372,1027005.71539372,1027005.71539372,1282848.15042681,1282848.15042681,1282848.15042681,175849.847134659,175849.847134659,175849.847134659,315221.339953687,315221.339953687,315221.339953687,249873.249935337,249873.249935337,249873.249935337,0,0,0,322.970874102751,322.970874102751,322.970874102751,5.99388980888816,5.99388980888816,5.99388980888816,7.55274874343106e-07,7.55274874343106e-07,7.55274874343106e-07
"americas","a3_2",22019.9078047603,22019.9078047603,22019.9078047603,2173.95671596142,2173.95671596142,2173.95671596142,297705.480339768,297705.480339768,297705.480339768,6495067.96801603,6495067.96801603,6495067.96801603,20838.6419225967,20838.6419225967,20838.6419225967,2057.33402522924,2057.33402522924,2057.33402522924,1187005.11583456,1187005.11583456,1187005.11583456,1122848.74998597,1122848.74998597,1122848.74998597,153917.373198006,153917.373198006,153917.373198006,253519.903373071,253519.903373071,253519.903373071,188491.270546742,188491.270546742,188491.270546742,0,0,0,311.683841593007,311.683841593007,311.683841593007,5.78445491264715,5.78445491264715,5.78445491264715,8.2197262011146e-07,8.2197262011146e-07,8.2197262011146e-07
"americas","a3_3",15876.9467100721,15876.9467100721,15876.9467100721,1567.4813552971,1567.4813552971,1567.4813552971,457245.37197799,457245.37197799,457245.37197799,9024799.26389406,9024799.26389406,9024799.26389406,26981.6030172849,26981.6030172849,26981.6030172849,2663.80938589356,2663.80938589356,2663.80938589356,855986.100317177,855986.100317177,855986.100317177,1453867.76550335,1453867.76550335,1453867.76550335,199292.971591427,199292.971591427,199292.971591427,383203.449801049,383203.449801049,383203.449801049,322722.097589327,322722.097589327,322722.097589327,0,0,0,334.479728951338,334.479728951338,334.479728951338,6.20744161059897,6.20744161059897,6.20744161059897,7.04106474805829e-07,7.04106474805829e-07,7.04106474805829e-07
"americas","a4",19046.8986754469,19046.8986754469,19046.8986754469,1880.44081114513,1880.44081114513,1880.44081114513,372618.30497045,372618.30497045,372618.30497045,9025784.34190313,9025784.34190313,9025784.34190313,23811.6510519101,23811.6510519101,23811.6510519101,2350.84993004553,2350.84993004553,2350.84993004553,1026801.37406226,1026801.37406226,1026801.37406226,1283052.49175827,1283052.49175827,1283052.49175827,175877.852711358,175877.852711358,175877.852711358,315221.339953687,315221.339953687,315221.339953687,249873.249935337,249873.249935337,249873.249935337,29700.7530379748,29700.7530379748,29700.7530379748,379.049076530924,379.049076530924,379.049076530924,7.03461814686502,7.03461814686502,7.03461814686502,7.55394639696937e-07,7.55394639696937e-07,7.55394639696937e-07
"americas","a5_1",3866.15511933666,3866.15511933666,3866.15511933666,381.693418571606,381.693418571606,381.693418571606,123922.653542552,123922.653542552,123922.653542552,3594538.40864451,3594538.40864451,3594538.40864451,1758.80983003376,1758.80983003376,1758.80983003376,173.641800683391,173.641800683391,173.641800683391,208153.696106461,208153.696106461,208153.696106461,94680.7734944302,94680.7734944302,94680.7734944302,12966.5588389131,12966.5588389131,12966.5588389131,96218.2195052396,96218.2195052396,96218.2195052396,75228.1688221058,75228.1688221058,75228.1688221058,0,0,0,2043.73340838988,2043.73340838988,2043.73340838988,37.964818790332,37.964818790332,37.964818790332,1.82793844978391e-07,1.82793844978391e-07,1.82793844978391e-07
"americas","a5_2",3866.15511933666,3866.15511933666,3866.15511933666,381.693418571606,381.693418571606,381.693418571606,61940.2468563545,61940.2468563545,61940.2468563545,2544519.15834946,2544519.15834946,2544519.15834946,1758.80983003376,1758.80983003376,1758.80983003376,173.641800683391,173.641800683391,173.641800683391,208153.696106461,208153.696106461,208153.696106461,94680.7734944302,94680.7734944302,94680.7734944302,12966.5588389131,12966.5588389131,12966.5588389131,42935.9554217039,42935.9554217039,42935.9554217039,32859.0759145292,32859.0759145292,32859.0759145292,0,0,0,1446.72784680799,1446.72784680799,1446.72784680799,26.8747187463477,26.8747187463477,26.8747187463477,4.09635656819386e-07,4.09635656819386e-07,4.09635656819386e-07
"asia","a1",461383.531583173,461383.531583173,461383.531583173,45550.9548910282,45550.9548910282,45550.9548910282,59636053.6424202,59636053.6424202,59636053.6424202,818876455.106778,818876455.106778,818876455.106778,558810.23392006,558810.23392006,558810.23392006,55169.5888897347,55169.5888897347,55169.5888897347,23326960.9545167,23326960.9545167,23326960.9545167,28237849.5009208,28237849.5009208,28237849.5009208,3971843.62210897,3971843.62210897,3971843.62210897,24233380.3787799,24233380.3787799,24233380.3787799,18210667.9927072,18210667.9927072,18210667.9927072,0,0,0,1465.39273155817,1465.39273155817,1465.39273155817,28.9992499280115,28.9992499280115,28.9992499280115,2.30595247210903e-07,2.30595247210903e-07,2.30595247210903e-07
"asia","a2",149617.011770548,149617.011770548,149617.011770548,14771.2202269233,14771.2202269233,14771.2202269233,44220378.1437507,44220378.1437507,44220378.1437507,575999999.340961,575999999.340961,575999999.340961,181976.559436248,181976.559436248,181976.559436248,17965.9772893536,17965.9772893536,17965.9772893536,7557181.36570775,7557181.36570775,7557181.36570775,9189793.43343647,9189793.43343647,9189793.43343647,1292948.21870486,1292948.21870486,1292948.21870486,18901333.1470738,18901333.1470738,18901333.1470738,14211188.525484,14211188.525484,14211188.525484,0,0,0,3165.24282646827,3165.24282646827,3165.24282646827,62.6782314001991,62.6782314001991,62.6782314001991,9.6277102794953e-08,9.6277102794953e-08,9.6277102794953e-08
