"cluster","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"americas","a1",25316.8934339258,40125.5233232331,32565.6346665496,2499.4578086319,3961.4675812199,3215.10338828878,342538.011590021,421089.290196774,380649.743911113,21827383.6649688,24883063.1724122,22592140.4046659,7974.14307314184,12846.3156433746,10285.967559352,787.262237498847,1268.27661659133,1015.50144778446,1365372.77130414,2162397.71647956,1755086.0569938,430205.52450333,692432.016124746,554328.069662142,58973.0048195762,94919.4674672422,75987.1026387879,103645.171501092,126793.582402942,114973.225901409,67529.3951555843,83883.1027846911,75351.6460541474,0,0,0,1699.11625020876,3120.46861263655,2196.40401102813,31.522782246736,57.8399433646037,40.7559018586874,6.28907466925296e-07,1.23945143389909e-06,8.94640250258987e-07
"americas","a3_1",14931.5405272278,23490.2505819943,19030.8489739861,1474.14435594502,2319.11906558044,1878.85627425291,347910.743691206,396166.780198617,372157.095529673,7502265.83542176,8195067.15101805,7681533.20421775,18618.7661049179,29266.875932457,23775.3307634277,1838.17261977595,2889.42724250734,2347.26414141408,804828.290409134,1266575.77255851,1025929.88184605,1003060.23016586,1577163.61192985,1281116.15844305,137495.737737015,216190.222045697,175614.111439736,294242.192862315,335047.392787569,314812.412841506,233256.456167044,265692.367111324,249547.877465209,0,0,0,256.339824337101,440.150926481289,323.08838436998,4.75680885526002,8.17006487203958,5.99596933782582,5.5570544662387e-07,9.9465259036293e-07,7.55222151148074e-07
"americas","a4",15053.4863077777,23436.2917037322,19025.6368085662,1486.18368194766,2313.79187407611,1878.34169344178,348133.000554573,396368.835307745,372467.549586556,8097700.67164157,8821240.76159357,8281948.8645368,18797.6889341097,29372.6565394487,23779.0573973416,1855.83711181692,2899.87063141828,2347.63206033984,811358.797332882,1263196.61906418,1025788.45274252,1012607.94991752,1582680.88995641,1281455.78458886,138807.5264766,216946.00303436,175661.988589078,294456.370322335,335459.416984866,315068.871155185,233352.467811839,266010.606184892,249751.297565561,27722.0794747374,31653.2739203121,29684.7913036469,275.688399541459,469.27262135862,348.287517295059,5.11644559748529,8.71140776873428,6.4629220642162,5.60356573175517e-07,9.97521517612103e-07,7.54725698865672e-07
"asia","a1",358869.450177344,574718.292893005,460716.704331485,35430.0598478328,56740.1418615626,45485.1211193772,52890592.0292535,66339506.8224708,59524282.2394281,785367479.526977,906523618.677257,817570899.33146,434569.437540152,692321.209835167,557989.424538409,42903.683142931,68350.7105056237,55088.5529433725,18143434.1310933,29058664.1315113,23293304.1455511,21958304.6219153,34987016.7841021,28196424.1585614,3088725.75537251,4921092.11903342,3966034.77334574,21282671.1854941,27094548.7754944,24184230.9079925,15904023.9616759,20487695.8408186,18170943.1319837,0,0,0,1134.39754317792,2086.02708880902,1465.20859245278,22.4473976839272,41.2838620415397,28.9955525826213,1.6038998882801e-07,3.2529808114831e-07,2.30724485993062e-07
"asia","a3_1",184577.229178719,292495.741658937,235747.551942244,18222.73328955,28877.1909313852,23274.6194198647,54699393.6432131,68991383.7809189,61848577.0208457,823050472.863686,952694444.455845,858208703.61358,617126.713016835,972952.065810088,785095.869832951,60926.9927130264,96056.5183347007,77510.0628953562,9331435.87885943,14788568.1488018,11918780.1124511,31188963.5186362,49174855.5862321,39679151.8185872,4386134.69682957,6915648.64903533,5580142.32404647,33309089.4042865,42042902.5515335,37679777.7456054,26522824.8730048,33482421.0722941,30007946.8981202,0,0,0,845.93116329776,1543.75823369982,1093.1259946587,16.7372219613416,30.5458834464501,21.6287058639082,1.46784992368308e-07,2.92098067888004e-07,2.08360005500435e-07
"asia","a4",183916.111364924,290492.654199306,235041.724947219,18157.4631928681,28679.4323633597,23204.9353253741,54822747.9014673,68904616.7110665,61862852.1446143,857386870.766044,990755148.469937,893971739.41378,611691.231177012,969547.732407704,783351.776095343,60390.3645693057,95720.4191316929,77337.8739685106,9297440.25521293,14687229.6741428,11882737.1643248,30913914.0163909,49003180.2949381,39590085.8509162,4347560.56519874,6891363.2097858,5567663.63314342,33401889.9192785,41989936.173941,37693555.229861,26604012.00798,33437391.0177507,30019107.7428815,1578038.29982927,1971731.7667075,1775583.79134152,884.316307601352,1619.69813849306,1141.21364972175,17.496555644055,32.0488420827148,22.5806971669674,1.4567567539115e-07,2.90267327612535e-07,2.0782114377865e-07
"east africa","a1",271868.925960478,427107.166655854,346302.384253619,26840.7698476025,42166.9564477476,34189.3526837953,8902409.62649946,10689526.62297,9771773.64306529,183875158.638084,207654701.384349,190044244.887061,156378.734034986,248400.852389326,200511.052233077,15438.7839451085,24523.8402490302,19795.8298686589,13042245.3115651,20490737.6654277,16613502.4099463,7548626.35724039,11989889.7700347,9678691.91056644,1050661.89036327,1668736.3462646,1347098.91548439,1959769.74233597,2360463.9262558,2158167.65302452,848019.356358439,1062096.73363226,952515.747610022,0,0,0,740.235618635845,1327.89603820358,947.799349564784,15.3358506345595,27.5089389190887,19.635323310538,6.62491522516236e-07,1.26750019159517e-06,9.29080055259259e-07
"east africa","a3_1",157307.862402037,243911.375797478,199105.050933637,15530.5138865528,24080.6082484907,19657.0197521648,6997051.12378953,8123851.82548466,7562223.96971927,134931492.494769,148127470.927429,138459942.518635,274863.690585671,427395.120334875,348747.322931549,27136.4336045714,42195.3852150225,34430.7338424326,7523862.07810492,11666826.7691302,9523805.20350218,13254128.6132222,20611065.8492173,16818652.656736,1845288.58787886,2869640.91507528,2341595.82680418,4076601.95354159,4749524.98591702,4411836.34580518,2730275.89395909,3181331.45464601,2953233.47234461,0,0,0,315.706675333696,538.912471893992,397.020803929758,6.5465557910433,11.1759494154643,8.23252286283352,5.78718274776275e-07,1.04841023284987e-06,7.90481095843779e-07
"east africa","a4",157240.81806397,243867.184845458,198922.353518447,15523.8948084759,24076.2454138331,19638.9826070385,6980200.21106565,8133754.59665434,7565936.96186775,138430230.775045,152112395.558061,141968216.342898,275865.606747058,426980.45702706,348386.979897797,27235.3496575898,42154.4468018883,34395.1583002814,7522651.95423752,11664042.4154093,9514883.82251675,13306435.4427291,20590307.6071767,16801233.7738558,1852607.44024984,2866686.04497689,2339149.57169533,4070265.1401861,4751595.09128639,4414039.26651068,2725943.21883022,3181197.30962235,2954932.79793679,158886.976354594,186695.114937055,172873.664213252,324.20741628058,551.400362487133,407.501498432994,6.72307735348233,11.4314908912122,8.44986851881155,5.80574736372105e-07,1.04902369334971e-06,7.89270232689159e-07
"west africa","a1",183052.73864818,282110.394956723,229978.808444762,18072.2251013836,27851.8780912476,22705.0893936628,3446341.72553079,4022885.4767498,3728507.42788997,110169588.758692,121861247.906561,113212988.579434,98685.6117032104,154564.041544028,125364.501642615,9742.92218810179,15259.6250238677,12376.8456573738,8149770.38498231,12564873.9359168,10241246.3295435,4395267.49019908,6883534.15607115,5583407.99333756,608559.958846387,953070.678363156,773046.323428329,1203422.20908519,1397429.40360424,1298585.80131086,510183.029794291,625883.698744609,565667.91263412,0,0,0,712.776320146298,1234.84311241896,903.070543064713,16.0048001885084,27.7255589513715,20.276682039809,7.06193897514113e-07,1.28437085818387e-06,9.65392517891889e-07
