"country","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","gavi_support","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Afghanistan","a1","asia",5848.43639864083,9046.19606782459,7389.68714657016,577.397857403829,893.102680988501,729.560729480758,502278.692529911,580128.770771713,538453.964745443,11802005.2988397,13064382.7052971,12130104.5352143,7504.30994641145,11859.3960625146,9798.86820518671,740.877080472174,1170.84112912482,967.411650056105,280691.262811596,434165.309296872,354662.421811656,360163.65602905,569182.706294574,470289.236842425,50824.804783221,80320.7082367962,66365.2710484434,143572.528339227,165402.571075684,153501.120760919,106737.143446772,125184.558021132,115725.861611802,0,0,0,TRUE,NA,995.160734714285,1740.91725936033,1237.90873407131,20.7350033096959,36.2734620403879,25.7928601910119,4.53699715645755e-07,8.26021259059651e-07,6.3835808863237e-07
"Afghanistan","a2","asia",1547.99311001112,3186.15537875193,2276.83953453829,152.828524424755,314.559168237615,224.785255286398,173569.07382131,269302.448932906,212557.588140926,4422753.71968979,6052486.66980904,4790354.72157581,2022.70907598449,4209.29274234416,3018.7937964715,199.695748917804,415.570324263052,298.036081991367,74294.753547059,152917.107379962,109275.184101762,97078.3857665802,202021.808028356,144884.715356795,13699.3000894535,28508.4815836232,20445.5314988465,49664.2119009879,76455.1488983153,60630.0375804479,37233.7546143227,57557.3027496859,45648.7564900153,0,0,0,TRUE,NA,1050.71183935445,2992.26751966947,1586.84396634676,21.8924568731164,62.3463876332052,33.063216570354,2.64561524649527e-07,8.475504958653e-07,4.97903995600524e-07
"Afghanistan","a3_1","asia",2862.27074816645,4381.02576526846,3594.31301503806,282.583050349157,432.524989189393,354.855296742901,433821.802717163,492978.634221729,462042.244106702,8461782.50618532,9220651.26321685,8664385.7352949,10792.7548224315,16462.1855008987,13483.467907903,1065.53497126258,1625.26015305771,1331.18066945309,137372.51053944,210264.004024927,172506.323120083,517990.070137084,790090.089371557,647128.800960969,73096.6152571508,111494.244022856,91320.1385755266,242657.924965915,275509.972741522,259256.423694604,192781.056131323,218791.172921682,205979.981401461,0,0,0,TRUE,NA,514.013312857116,854.337137729915,642.593270104976,10.7098957701341,17.8008262991927,13.3889663424476,3.91737355821855e-07,6.78411203887573e-07,5.20082307537581e-07
"Afghanistan","a3_2","asia",3896.04819358278,6081.74766478287,4922.11596638727,384.644668417622,600.431949936646,485.945134591131,357467.821677324,402013.214360525,380538.925666805,7073138.8906421,7645173.63417989,7237092.38421682,9571.84120824903,15017.6715758258,12100.2508149427,944.997983792228,1482.64780533329,1194.61996649575,186987.873833378,291888.859820055,236233.217246142,459393.248561254,720761.740708677,580742.347197728,64827.6742697554,101710.914339948,81951.956927307,200093.739907401,226020.154920671,213272.247397909,150657.608645223,170178.517637432,160580.170065446,0,0,0,TRUE,NA,470.987719696032,798.715050516223,598.094411008381,9.81342167758177,16.6418937546935,12.4617955262573,4.23495029087497e-07,7.50531804881835e-07,5.67361715486911e-07
"Afghanistan","a3_3","asia",1619.91479380924,2700.59717741923,2171.09447694457,159.929127610859,266.621523714454,214.345376056481,515291.826257824,590039.357343914,553465.332319892,9996359.3331206,10921393.2434188,10251959.0618897,11428.1469501704,18372.1274741378,14882.1961605868,1128.26525131709,1813.8227581619,1469.2727407591,77746.5801333109,129613.110309518,104200.03038051,548485.232700028,881756.303693378,714259.701053737,77399.9664091871,124429.800873567,100793.373409254,287526.254750161,330173.698948969,309240.686825934,241461.572570119,277351.800071419,259628.399362065,0,0,0,TRUE,NA,544.104614296431,955.657403692727,688.874071492243,11.3368731147702,19.9119184843977,14.3532654113974,3.46125296671094e-07,6.38972169345085e-07,4.81249615415701e-07
"Afghanistan","a4","asia",2736.82945997975,4510.65803133797,3569.53802995186,270.198623796136,445.323177897803,352.40933985273,432243.072575564,490822.080838153,461804.403386293,8889682.39813676,9672391.8911143,9105466.06201847,10256.8237479808,16913.9182000653,13374.6582941998,1012.62417032168,1669.85831140969,1320.43823617096,131352.05119102,216485.606173603,171317.266528547,492268.465281724,811770.657157476,641906.566196907,69466.8888158483,114553.716034713,90583.1984152063,241520.156140464,275903.823251498,259024.302194347,191871.426940241,219232.020760286,205784.619090624,9191.9387016594,10524.401884128,9866.61649414009,TRUE,NA,525.583858984397,943.020191120908,680.799902451879,10.9509777419957,19.6486116281668,14.1850333701452,3.71753592505721e-07,7.00310834108127e-07,5.16347623790327e-07
"Afghanistan","a5_1","asia",1137.15872751473,2199.60774403922,1624.88967591744,112.268129127242,217.160401852412,160.42028218181,203741.678748002,277181.733629577,236644.533124158,4394225.53765171,5350612.50372475,4617589.79702142,2365.6437821232,5471.70727964299,3694.73631299535,233.552621260627,540.204568239987,364.769775267013,54577.0694056822,105568.502977654,77985.3458214553,113537.276513921,262610.434887405,177326.063029691,16021.9106449018,37058.497890505,25023.5202402939,105526.542799693,147816.323373822,123966.952265316,83014.7579409698,116848.935247251,97745.9939004373,0,0,0,TRUE,NA,803.081252902552,2261.79974523573,1249.77519526364,16.7328672203591,47.1264827553682,26.0401077998797,1.60039414330485e-07,5.18514786372679e-07,2.98042038259342e-07
"Afghanistan","a5_2","asia",1164.12364519583,2252.48017185683,1638.81705925754,114.930291222012,222.380331498004,161.795289235265,114019.24343615,190742.74150009,150237.45269356,2810174.56523386,3790810.38798515,3059042.30825883,2412.2968393014,5631.50616501057,3736.47898576879,238.158531869878,555.981013042944,368.890898962108,55871.2301487614,108106.074991858,78653.7800064114,115776.354558167,270279.861016435,179329.470904081,16337.880073211,38140.7755697828,25306.2328694351,50921.1717535097,97583.3158498473,72535.076348254,39429.4642941832,76724.2577153601,56718.9619709496,0,0,0,TRUE,NA,499.009409364393,1571.4527027623,818.696510781908,10.3972769360829,32.7425267659521,17.0582241325801,2.47203819453444e-07,1.10592627213501e-06,5.1512718726996e-07
"Angola","a1","west africa",13067.0033862663,20146.9756394006,16503.1765509666,1290.0644281046,1989.04797358495,1629.30707139087,270908.689981453,314187.232414073,291181.524184317,14611323.2119642,16115890.1696712,14993749.4741038,7248.81660646208,11054.3596604119,9125.52294673578,715.653021080505,1091.36239976492,900.934375957176,625440.489380191,964317.06114664,789909.860221868,346958.156491942,529107.088397888,436785.035477627,47520.2836596245,72467.8709997978,59823.2046020745,95217.5569166917,109633.974021252,102326.133712251,39160.5392374147,48458.3842867057,43264.6283799075,0,0,0,FALSE,NA,1321.7702029626,2223.24429553155,1643.05646499602,27.6150585247433,46.4490886526991,34.3275255703484,6.61183421578508e-07,1.16095812772047e-06,8.91807656135768e-07
"Angola","a2","west africa",3260.49821967514,6827.47461964324,4835.88802774108,321.898804703927,674.055242829893,477.432119551037,92753.4963601989,139802.253707533,113926.756656271,5381784.33961778,7159497.92818886,5868976.68331032,1802.58485363044,3766.7954467157,2674.2153907819,177.963572026994,371.883948454598,264.016932326161,156060.845922804,326790.997225008,231465.477221585,86279.1199846841,180294.312165332,127998.940022972,11817.0107226466,24693.5738388167,17531.0648394115,32678.6319553732,48785.2600659275,40072.787436422,13530.5598629994,21034.7498294324,16890.5908917137,0,0,0,FALSE,NA,1428.74345468114,3971.79523270125,2194.65369301996,29.8499951273151,82.9806554524407,45.8517600400207,3.69493746921602e-07,1.15267843888316e-06,6.67339499410843e-07
