"country","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","gavi_support","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Afghanistan","a3_1","asia",2795.56248701622,4422.71393143192,3600.40489141633,275.997152096381,436.640731617142,355.456728669082,432462.839415689,492626.450862874,461869.511147133,8478914.02394565,9227204.55668572,8661019.61508437,10463.5464714153,16579.6369241265,13498.9032272931,1033.03325908523,1636.85576520056,1332.70455032255,134170.898213353,212264.795895971,172798.698099814,502189.965378089,795727.081219924,647869.607391302,70866.9698543242,112289.712986651,91424.6781135215,243013.417038917,275945.281138427,259170.579867715,193109.626611993,219313.35713744,205912.665195466,0,0,0,TRUE,NA,511.405289678402,881.842937467989,641.609134405294,10.6555554335875,18.3739325610354,13.3684610549315,3.79189179399896e-07,6.82251915394096e-07,5.20850137935532e-07
"Afghanistan","a4","asia",2761.66063594743,4418.86922946262,3568.2787943586,272.650128236518,436.261156201062,352.285019455967,431559.032768169,490352.956825297,461729.461027403,8903932.51499694,9655492.3527772,9103294.67507552,10316.7157078635,16620.4181966508,13380.3821189647,1018.53711644178,1640.8819728521,1321.003331511,132543.804621233,212080.272345172,171256.830472692,495142.934405751,797684.347419583,642181.276819003,69872.5220040906,112565.914293588,90621.9644414451,241859.081649299,275363.590986912,259041.722213707,192135.101373005,218808.152980479,205807.558101357,9211.66833170939,10518.3252382007,9869.7078418219,TRUE,NA,535.722531746595,935.907572350542,680.346390270347,11.1622254389222,19.5004142881798,14.17558406587,3.74657944824441e-07,6.87194298568899e-07,5.16533861982512e-07
"Afghanistan","a2","asia",1556.49183866822,3228.12180622088,2268.15348168687,153.667577358358,318.702382534875,223.927708420218,170800.866219301,263726.954345523,211192.781880101,4401107.96962859,5948484.05359482,4759439.35815655,2084.66912449151,4283.88405888557,3008.02214054009,205.812870967879,422.934491951008,296.972630047711,74702.6435738037,154931.254191012,108858.303592592,100052.11123333,205601.76161042,144367.737911907,14118.9399220585,29013.6698192921,20372.5777810743,48817.6406227987,75308.7706044033,60237.9209669199,36516.119778445,56907.3597102831,45358.4699731306,0,0,0,TRUE,NA,1027.36393168715,2853.44277598287,1582.24877869482,21.4059837579015,59.4538583970755,32.9674720058351,2.76816247000269e-07,8.77527878085309e-07,4.99356898819926e-07
"Afghanistan","a5_1","asia",1166.43944780287,2199.22669552735,1615.15063920024,115.158923179741,217.122782123082,159.458777507673,203841.620597395,274542.670693481,235576.334729684,4370654.73315881,5313030.47569408,4598778.13789605,2405.60953645752,5447.7266211395,3664.12754659692,237.498315348627,537.83703273216,361.747867370343,55982.3753359338,105550.21484375,77517.9281514341,115455.402537472,261459.50139688,175857.018535085,16292.5886521485,36896.0829188798,24816.2147601146,104985.012398411,145466.797169848,123299.407232954,82505.7714555014,115054.735640798,97212.7127424129,0,0,0,TRUE,NA,802.28965899258,2208.60052106295,1255.08134730932,16.7163737015027,46.0180325816257,26.150665900085,1.65371726281202e-07,5.18905174813501e-07,2.97173168048907e-07
"Afghanistan","a5_2","asia",1161.25882823713,2218.15468778991,1603.76264242948,114.64745679225,218.9914836755,158.334476158156,115612.438809238,192286.014464337,148554.900715283,2796692.47506015,3794368.42672251,3028636.0026317,2394.58216889724,5324.96287506076,3629.45420291788,236.409617794596,525.716951547862,358.324676454911,55733.7354347813,106458.64945576,76971.3698960992,114926.15240718,255567.548648222,174192.897741118,16217.9030637964,36064.6349278633,24581.3809197944,52444.7358102197,96457.3540550591,71541.1762119475,40761.1769554677,75749.9323939481,55920.6013934983,0,0,0,TRUE,NA,525.204126428438,1584.56388592833,834.460454190838,10.9430656977099,33.015709194537,17.3866790317295,2.48252939587207e-07,1.0153474496144e-06,5.07323809181621e-07
"Angola","a3_1","west africa",6538.7470189821,10350.4935366753,8352.50625351161,645.550068689017,1021.87189597161,824.616852437769,306995.179270892,347815.432709583,326258.255294859,20834284.4110514,22745899.3425398,21316537.6417359,13538.2659591172,21167.3734092844,17263.9644981641,1336.59070988172,2089.78865808099,1704.41728901289,312971.307544291,495417.162722144,399785.27932716,647997.053075599,1013157.4923988,826324.298325544,88751.347090664,138764.662336978,113175.50637315,214151.746314666,243684.594719347,227835.614574561,147668.523885624,168901.476792428,157503.182575091,0,0,0,FALSE,NA,984.264037309091,1680.11910914055,1234.74174451661,20.5637174549469,35.101856149778,25.7968181317329,5.55565113777883e-07,9.88428708780267e-07,7.57737745716409e-07
"Angola","a4","west africa",6627.26075620707,10258.0070378335,8389.77201910029,654.288753482851,1012.74099283271,828.295985070624,305437.967557493,348458.766349945,326445.642482453,21474321.9802335,23463579.3149933,21988693.7808581,13671.667971197,21201.0962187253,17362.1973961362,1349.76107383852,2093.11800572018,1714.11551618842,317207.938812409,490990.378754411,401568.972036034,654382.22167571,1014771.60466436,831026.128574209,89625.876244726,138985.735314462,113819.481166523,213156.848404239,243393.786504404,227990.327089294,146865.438711345,168507.455820979,157631.931739783,13671.3251819799,15676.9207336505,14642.822009776,FALSE,NA,1012.88734123412,1716.21921805192,1266.46951875754,21.1617292812762,35.8560769803753,26.4596900443842,5.61709818789876e-07,9.9462421111231e-07,7.6153219383453e-07
"Angola","a2","west africa",3267.44394229312,6938.57833349244,4812.49349343235,322.584534202273,685.024165453561,475.122450254136,92794.6432535667,141912.001785593,114030.569843166,5454823.17840948,7304530.37877037,5874146.42624956,1797.60042307144,3841.33439256978,2661.32194405571,177.47147476732,379.242945748181,262.744002604982,156393.296755247,332108.8776225,230345.718654578,86040.5446513847,183862.052479983,127381.806668687,11784.3348298899,25182.2207508544,17446.5406640816,32683.3957516223,49710.9957771003,40106.7375768022,13726.9955983098,21205.902012224,16908.547344781,0,0,0,FALSE,NA,1420.03341051501,4063.48946352027,2207.22879446058,29.66802069722,84.8963754049506,46.1144851048305,3.61610222239706e-07,1.17531679442431e-06,6.63559816841105e-07
"Angola","a5_1","west africa",2868.55624803208,5547.98541004474,3995.34148484888,283.20359811744,547.735269791427,394.447584910814,123011.534024928,167111.042528527,143327.869332091,8686974.29753784,10785069.3980985,9206153.54194894,2321.79228873315,5214.84278911606,3498.03862561648,229.223300293187,514.845139434735,345.350426998946,137300.892220587,265549.384764033,191233.464908352,111130.521847928,249603.80966102,167430.506077302,15220.7227950795,34186.3813133618,22931.7137908319,80666.0139748014,113176.268933677,95490.3981828698,50610.1311367232,71044.9505335227,60021.5919960106,0,0,0,FALSE,NA,1665.81710107705,4645.14825483516,2631.80442735291,34.8030517215878,97.0486705070717,54.9849233430525,2.05148332827066e-07,6.4647334511224e-07,3.66323598202777e-07
"Angola","a5_2","west africa",2891.45875665321,5427.94217839261,3972.14301432767,285.464691255102,535.883776498642,392.157272379228,62655.9982918627,107080.003529067,81085.7444267679,4548912.89086553,6845335.71982754,5098686.3714052,2334.85165652291,5296.0125746173,3481.56757633621,230.512610882699,522.858778814525,343.724291752638,138397.100415887,259803.622301753,190123.090760067,111755.596866276,253488.929214914,166642.133960304,15306.334681195,34718.4973042908,22823.7363130637,36847.5847480025,69518.983915689,50601.3118455274,19551.8459376064,42233.3887845088,28012.4541893225,0,0,0,FALSE,NA,858.931663543916,2931.80755218587,1464.48008249512,17.9452132483816,61.252732854342,30.5966219360811,3.35858139030709e-07,1.43727536304924e-06,6.88038995305997e-07
