"country","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","gavi_support","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Afghanistan","a1","asia",7344.54198659089,7344.54198659089,7344.54198659089,725.103688851874,725.103688851874,725.103688851874,537370.787808548,537370.787808548,537370.787808548,12110445.7613457,12110445.7613457,12110445.7613457,9727.03100182604,9727.03100182604,9727.03100182604,960.319387359707,960.319387359707,960.319387359707,352495.714148158,352495.714148158,352495.714148158,466841.464830602,466841.464830602,466841.464830602,65878.7357290001,65878.7357290001,65878.7357290001,153277.430141465,153277.430141465,153277.430141465,115407.963762809,115407.963762809,115407.963762809,0,0,0,TRUE,NA,1245.03003630524,1245.03003630524,1245.03003630524,25.9412384581992,25.9412384581992,25.9412384581992,6.34602954449893e-07,6.34602954449893e-07,6.34602954449893e-07
"Afghanistan","a2","asia",2269.32588636903,2269.32588636903,2269.32588636903,224.043456272353,224.043456272353,224.043456272353,211155.631941331,211155.631941331,211155.631941331,4758704.57762812,4758704.57762812,4758704.57762812,3005.47036020199,3005.47036020199,3005.47036020199,296.720700745696,296.720700745696,296.720700745696,108914.57226482,108914.57226482,108914.57226482,144245.267152768,144245.267152768,144245.267152768,20355.295214328,20355.295214328,20355.295214328,60229.1627273852,60229.1627273852,60229.1627273852,45348.6532432804,45348.6532432804,45348.6532432804,0,0,0,TRUE,NA,1583.34769846418,1583.34769846418,1583.34769846418,32.9903689151079,32.9903689151079,32.9903689151079,4.99005834400459e-07,4.99005834400459e-07,4.99005834400459e-07
"Afghanistan","a3_1","asia",3595.79129143108,3595.79129143108,3595.79129143108,355.001242353624,355.001242353624,355.001242353624,462377.478558625,462377.478558625,462377.478558625,8671274.41849549,8671274.41849549,8671274.41849549,13475.7816969859,13475.7816969859,13475.7816969859,1330.42183385796,1330.42183385796,1330.42183385796,172577.271872751,172577.271872751,172577.271872751,646759.90710601,646759.90710601,646759.90710601,91268.0818011959,91268.0818011959,91268.0818011959,259397.840914825,259397.840914825,259397.840914825,206090.576842345,206090.576842345,206090.576842345,0,0,0,TRUE,NA,643.470977304048,643.470977304048,643.470977304048,13.4072541034523,13.4072541034523,13.4072541034523,5.19502461911806e-07,5.19502461911806e-07,5.19502461911806e-07
"Afghanistan","a3_2","asia",4935.93959313592,4935.93959313592,4935.93959313592,487.309898080407,487.309898080407,487.309898080407,380106.015593579,380106.015593579,380106.015593579,7228211.48385083,7228211.48385083,7228211.48385083,12135.633395281,12135.633395281,12135.633395281,1198.11317813117,1198.11317813117,1198.11317813117,236896.671712299,236896.671712299,236896.671712299,582440.507266461,582440.507266461,582440.507266461,82191.5942492278,82191.5942492278,82191.5942492278,213085.05376293,213085.05376293,213085.05376293,160439.225399147,160439.225399147,160439.225399147,0,0,0,TRUE,NA,595.618806898167,595.618806898167,595.618806898167,12.4102142513656,12.4102142513656,12.4102142513656,5.69520629484536e-07,5.69520629484536e-07,5.69520629484536e-07
"Afghanistan","a3_3","asia",2177.9529342395,2177.9529342395,2177.9529342395,215.022490122064,215.022490122064,215.022490122064,554010.480611794,554010.480611794,554010.480611794,10262239.8825033,10262239.8825033,10262239.8825033,14893.6200541774,14893.6200541774,14893.6200541774,1470.40058608952,1470.40058608952,1470.40058608952,104529.196829084,104529.196829084,104529.196829084,714807.982149677,714807.982149677,714807.982149677,100870.744568728,100870.744568728,100870.744568728,309527.850151116,309527.850151116,309527.850151116,259866.349109474,259866.349109474,259866.349109474,0,0,0,TRUE,NA,689.035966082999,689.035966082999,689.035966082999,14.3566386201244,14.3566386201244,14.3566386201244,4.81172212675084e-07,4.81172212675084e-07,4.81172212675084e-07
"Afghanistan","a4","asia",3594.93681190143,3594.93681190143,3594.93681190143,354.916882258723,354.916882258723,354.916882258723,462377.478558625,462377.478558625,462377.478558625,9116008.89984296,9116008.89984296,9116008.89984296,13476.6361765155,13476.6361765155,13476.6361765155,1330.50619395286,1330.50619395286,1330.50619395286,172536.261776739,172536.261776739,172536.261776739,646800.917202021,646800.917202021,646800.917202021,91273.8689762454,91273.8689762454,91273.8689762454,259397.840914825,259397.840914825,259397.840914825,206090.576842345,206090.576842345,206090.576842345,9882.98847438815,9882.98847438815,9882.98847438815,TRUE,NA,676.430585529095,676.430585529095,676.430585529095,14.0939950105168,14.0939950105168,14.0939950105168,5.19535402800082e-07,5.19535402800082e-07,5.19535402800082e-07
"Afghanistan","a5_1","asia",1612.93947109793,1612.93947109793,1612.93947109793,159.240475787758,159.240475787758,159.240475787758,236091.42178758,236091.42178758,236091.42178758,4607913.11263209,4607913.11263209,4607913.11263209,3661.85677547309,3661.85677547309,3661.85677547309,361.523681230291,361.523681230291,361.523681230291,77411.8048178417,77411.8048178417,77411.8048178417,175748.034599746,175748.034599746,175748.034599746,24800.8353981347,24800.8353981347,24800.8353981347,123617.112802151,123617.112802151,123617.112802151,97465.9943522067,97465.9943522067,97465.9943522067,0,0,0,TRUE,NA,1258.35427084304,1258.35427084304,1258.35427084304,26.2188599896795,26.2188599896795,26.2188599896795,2.9622571604094e-07,2.9622571604094e-07,2.9622571604094e-07
"Afghanistan","a5_2","asia",1612.93947109793,1612.93947109793,1612.93947109793,159.240475787758,159.240475787758,159.240475787758,167679.742037969,167679.742037969,167679.742037969,3371110.40522057,3371110.40522057,3371110.40522057,3661.85677547309,3661.85677547309,3661.85677547309,361.523681230291,361.523681230291,361.523681230291,77411.8048178417,77411.8048178417,77411.8048178417,175748.034599746,175748.034599746,175748.034599746,24800.8353981347,24800.8353981347,24800.8353981347,83080.215232107,83080.215232107,83080.215232107,65157.1630322895,65157.1630322895,65157.1630322895,0,0,0,TRUE,NA,920.601381190023,920.601381190023,920.601381190023,19.1814970386329,19.1814970386329,19.1814970386329,4.40761589897511e-07,4.40761589897511e-07,4.40761589897511e-07
"Angola","a1","west africa",16505.6318032326,16505.6318032326,16505.6318032326,1629.54947077783,1629.54947077783,1629.54947077783,290772.973539878,290772.973539878,290772.973539878,14978925.7134383,14978925.7134383,14978925.7134383,9126.98714995113,9126.98714995113,9126.98714995113,901.078932167028,901.078932167028,901.078932167028,790027.378686765,790027.378686765,790027.378686765,436855.118261605,436855.118261605,436855.118261605,59832.8033208594,59832.8033208594,59832.8033208594,102271.995998617,102271.995998617,102271.995998617,43114.4907713219,43114.4907713219,43114.4907713219,0,0,0,FALSE,NA,1641.16870850624,1641.16870850624,1641.16870850624,34.28808565422,34.28808565422,34.28808565422,8.92422902362687e-07,8.92422902362687e-07,8.92422902362687e-07
"Angola","a2","west africa",4806.95097506691,4806.95097506691,4806.95097506691,474.575254728581,474.575254728581,474.575254728581,113530.002133423,113530.002133423,113530.002133423,5848402.78482697,5848402.78482697,5848402.78482697,2658.06121831025,2658.06121831025,2658.06121831025,262.422081337368,262.422081337368,262.422081337368,230080.430945039,230080.430945039,230080.430945039,127225.734932445,127225.734932445,127225.734932445,17425.1646766932,17425.1646766932,17425.1646766932,39931.2899770586,39931.2899770586,39931.2899770586,16833.711089653,16833.711089653,16833.711089653,0,0,0,FALSE,NA,2200.25135032249,2200.25135032249,2200.25135032249,45.9687089874734,45.9687089874734,45.9687089874734,6.65658740260422e-07,6.65658740260422e-07,6.65658740260422e-07
"Angola","a3_1","west africa",8355.65813061544,8355.65813061544,8355.65813061544,824.928027418996,824.928027418996,824.928027418996,326503.719393294,326503.719393294,326503.719393294,21332577.1946407,21332577.1946407,21332577.1946407,17276.9608225683,17276.9608225683,17276.9608225683,1705.70037552586,1705.70037552586,1705.70037552586,399936.14112003,399936.14112003,399936.14112003,826946.355828341,826946.355828341,826946.355828341,113260.704972556,113260.704972556,113260.704972556,228007.504851143,228007.504851143,228007.504851143,157630.032613417,157630.032613417,157630.032613417,0,0,0,FALSE,NA,1234.7413074396,1234.7413074396,1234.7413074396,25.79680900011,25.79680900011,25.79680900011,7.57736497921314e-07,7.57736497921314e-07,7.57736497921314e-07
"Angola","a3_2","west africa",10241.818665988,10241.818665988,10241.818665988,1011.14276544656,1011.14276544656,1011.14276544656,264756.704145513,264756.704145513,264756.704145513,17288167.1547906,17288167.1547906,17288167.1547906,15390.8002871957,15390.8002871957,15390.8002871957,1519.4856374983,1519.4856374983,1519.4856374983,490215.536741287,490215.536741287,490215.536741287,736666.960207083,736666.960207083,736666.960207083,100895.806184995,100895.806184995,100895.806184995,185908.605434583,185908.605434583,185908.605434583,119523.880444648,119523.880444648,119523.880444648,0,0,0,FALSE,NA,1123.27928581943,1123.27928581943,1123.27928581943,23.4680908587658,23.4680908587658,23.4680908587658,8.27869169972948e-07,8.27869169972948e-07,8.27869169972948e-07
"Angola","a3_3","west africa",6352.49454540011,6352.49454540011,6352.49454540011,627.161943752343,627.161943752343,627.161943752343,395270.840390812,395270.840390812,395270.840390812,25815910.5237655,25815910.5237655,25815910.5237655,19280.1244077836,19280.1244077836,19280.1244077836,1903.46645919252,1903.46645919252,1903.46645919252,304056.498633487,304056.498633487,304056.498633487,922825.998314883,922825.998314883,922825.998314883,126392.628009649,126392.628009649,126392.628009649,273653.997674906,273653.997674906,273653.997674906,202570.611134116,202570.611134116,202570.611134116,0,0,0,FALSE,NA,1338.99086840661,1338.99086840661,1338.99086840661,27.9748409460791,27.9748409460791,27.9748409460791,7.0454386091914e-07,7.0454386091914e-07,7.0454386091914e-07
"Angola","a4","west africa",8354.00690855578,8354.00690855578,8354.00690855578,824.76500742282,824.76500742282,824.76500742282,326503.719393294,326503.719393294,326503.719393294,21991478.3563594,21991478.3563594,21991478.3563594,17278.6120446279,17278.6120446279,17278.6120446279,1705.86339552204,1705.86339552204,1705.86339552204,399857.106845488,399857.106845488,399857.106845488,827025.390102883,827025.390102883,827025.390102883,113271.529710567,113271.529710567,113271.529710567,228007.504851143,228007.504851143,228007.504851143,157630.032613417,157630.032613417,157630.032613417,14642.2480381912,14642.2480381912,14642.2480381912,FALSE,NA,1272.75722723323,1272.75722723323,1272.75722723323,26.5910558726904,26.5910558726904,26.5910558726904,7.57808917557709e-07,7.57808917557709e-07,7.57808917557709e-07
"Angola","a5_1","west africa",3981.48054362749,3981.48054362749,3981.48054362749,393.0791374802,393.0791374802,393.0791374802,143475.417298002,143475.417298002,143475.417298002,9215405.66926642,9215405.66926642,9215405.66926642,3483.53164974966,3483.53164974966,3483.53164974966,343.918198585749,343.918198585749,343.918198585749,190570.023290981,190570.023290981,190570.023290981,166736.142586503,166736.142586503,166736.142586503,22836.6119768862,22836.6119768862,22836.6119768862,95578.1920860295,95578.1920860295,95578.1920860295,60112.0365487462,60112.0365487462,60112.0365487462,0,0,0,FALSE,NA,2645.42039396388,2645.42039396388,2645.42039396388,55.2693946634002,55.2693946634002,55.2693946634002,3.64469297202666e-07,3.64469297202666e-07,3.64469297202666e-07
"Angola","a5_2","west africa",3981.48054362749,3981.48054362749,3981.48054362749,393.0791374802,393.0791374802,393.0791374802,94910.9311348711,94910.9311348711,94910.9311348711,6012968.21401039,6012968.21401039,6012968.21401039,3483.53164974966,3483.53164974966,3483.53164974966,343.918198585749,343.918198585749,343.918198585749,190570.023290981,190570.023290981,190570.023290981,166736.142586503,166736.142586503,166736.142586503,22836.6119768862,22836.6119768862,22836.6119768862,60557.8308492159,60557.8308492159,60557.8308492159,35444.1888377679,35444.1888377679,35444.1888377679,0,0,0,FALSE,NA,1726.11269785435,1726.11269785435,1726.11269785435,36.0627763167235,36.0627763167235,36.0627763167235,5.75240493409246e-07,5.75240493409246e-07,5.75240493409246e-07
