"country","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","gavi_support","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Afghanistan","a1","asia",5650.2723623277,9191.13330637145,7322.36754256482,557.833741085784,907.411881822836,722.914475257494,498259.562948546,575915.169696247,537574.686313002,11806211.9588099,12971669.4340833,12115435.3022712,7468.19385188678,12181.5746550686,9702.91530169015,737.311451272344,1202.64881520743,957.938519613331,271180.53040293,441121.461974808,351431.46854958,358430.291504079,584645.423135589,465684.0501195,50580.1995541117,82502.7428527471,65715.4061543464,142780.4010804,164038.734657551,153342.665887344,106060.136255867,124948.637845661,115444.677269157,0,0,0,TRUE,NA,969.186028334808,1736.92189722768,1248.63867462193,20.1937986540466,36.1902153404791,26.0164274450934,4.55270145034798e-07,8.53168541542982e-07,6.3276031139426e-07
"Afghanistan","a3_1","asia",2839.56322071435,4402.50436565373,3591.31691761052,280.341207093269,434.645504314662,354.559501402519,432189.639238001,490894.668276762,461786.155618619,8453547.01324164,9204085.88438016,8660157.34120124,10561.4593434702,16444.6486109038,13454.9820396232,1042.69989110159,1623.52879068692,1328.36834865656,136282.680006729,211294.853136489,172362.527699714,506889.219303288,789248.419656281,645761.643349133,71530.1091227566,111375.471075462,91127.2109506365,242857.947941377,275536.823851742,259077.883357613,192926.997269638,218895.527517755,205835.176677269,0,0,0,TRUE,NA,514.060665767977,871.478607742852,643.639457540572,10.7108824074975,18.1579831132156,13.4107645295976,3.83304822775812e-07,6.77130345137947e-07,5.19341206020699e-07
"Afghanistan","a4","asia",2806.56578380604,4448.023355093,3596.12492986669,277.083473218433,439.139451958433,355.034181434216,432593.825204064,492432.828638501,462784.249066845,8689061.05131823,9447081.92864004,8877318.21760854,10401.4790610016,16694.2656323067,13474.6031378448,1026.90553752946,1648.17269950382,1330.30547839532,134698.993085299,213479.502460979,172593.284596055,499211.087158172,801228.599003556,646703.343055202,70446.6028865143,113066.064411021,91260.0997164077,242322.907199168,276706.612412799,259575.186211697,192530.234229861,219741.800921894,206228.031903666,9210.8627268,10551.2856685486,9887.72493971654,TRUE,NA,520.481777557389,908.244094251952,658.818528961026,10.8446716232101,18.924022666281,13.7270331334143,3.75902800815051e-07,6.88926433958035e-07,5.19102127383453e-07
"Angola","a1","west africa",12936.798131212,20210.1786182744,16460.8356589834,1277.20966998352,1995.28780626772,1625.1268873818,268452.707982612,313580.140103797,290876.067735218,14580201.5011817,16116238.6464713,14982864.515183,7081.76546254629,11135.4956323713,9099.09958343316,699.16058344431,1099.37270083934,898.325679834588,619208.330710468,967342.215489119,787883.251104234,338962.402139262,532990.589496687,435520.304706039,46425.1645283906,72999.7653229441,59649.9838147997,94616.6906559864,109792.403788771,102288.509248713,38816.8122655389,47736.777242928,43149.5246188959,0,0,0,FALSE,NA,1309.34463831107,2275.73741769705,1646.63155708973,27.3554576544214,47.5458001971851,34.4022181131048,6.45014155639662e-07,1.17690605697238e-06,8.89552467844539e-07
"Angola","a3_1","west africa",6704.98904469134,10286.508281369,8393.82688601048,661.962624612049,1015.5548315802,828.696309414844,307912.994219087,347738.290328385,326754.559583365,20872137.7767985,22719045.8964262,21348632.2634298,13818.8175801211,21249.6146328636,17357.2246386496,1364.28869508961,2097.90807719546,1713.62457137472,320928.334174009,492354.565414336,401763.054632457,661425.406765439,1017093.89538287,830788.111962129,90590.5290337401,139303.802238726,113786.881797665,215093.048578649,242717.234880606,228175.990925136,148175.845772524,168043.86198035,157745.157976372,0,0,0,FALSE,NA,982.23606109631,1644.06583737732,1229.95655744943,20.5213480009547,34.3486138633968,25.6968437030343,5.69338126603109e-07,9.87926610054703e-07,7.60694609817403e-07
"Angola","a4","west africa",6641.88887515066,10159.9528067194,8317.60695551576,655.732941973614,1003.06040487798,821.171353758433,306250.378879064,346983.780171896,326335.82615874,21135714.4289387,22981733.6316344,21615646.1489891,13565.3532423042,21036.0025452168,17181.7609312304,1339.26495274067,2076.81882302292,1696.3015876214,317908.100708778,486297.100235919,398114.855483811,649293.561781663,1006869.54289087,822389.697743299,88928.9202657761,137903.448560437,112636.613333003,213568.694471431,242590.380833611,227929.464724985,147221.937867314,168153.495917435,157543.70233131,13663.2012671411,15616.5916594147,14638.893602716,FALSE,NA,1004.74005854999,1694.14929498222,1258.05767147531,20.991512334612,35.3949815374304,26.2839456869464,5.59187598275317e-07,9.84975939347268e-07,7.5381921121789e-07
"Armenia","a1","asia",653.149433562332,1057.77490295222,851.265768185793,64.4834033915559,104.430812092287,84.042810270781,58058.5506651789,67115.9931077315,62501.0371751625,1217301.58383212,1333741.98490312,1247580.90574225,859.354296625198,1393.37031970242,1128.5442519661,84.8413654181957,137.56309931886,111.417648864587,35182.5404800159,56978.0917345155,45854.2728653999,46289.9694527658,75055.2709036448,60790.1527399818,6464.87556831611,10482.2490244553,8489.97694076963,16618.3353919843,19052.0212888307,17822.2583849478,12390.6470402712,14476.5472540598,13428.2602026334,0,0,0,FALSE,NA,873.638232865549,1552.02806355995,1105.47805597234,16.2187354622287,28.8127644211144,20.522746686927,4.51056758544037e-07,8.38453603707198e-07,6.33221799162803e-07
"Armenia","a3_1","asia",433.559272622013,681.760210884746,558.283204098456,42.8039527159243,67.3080560676898,55.1175568816833,43543.7023911177,49392.205022102,46404.0920308455,941421.234687151,1017138.90533981,961256.77294848,1104.69511384281,1722.85391817021,1414.12075141069,109.063097953079,170.091985817347,139.611724625163,23354.0991933732,36723.6883086537,30072.4771670991,59505.4953180807,92803.2309338178,76173.0134385688,8310.56117362426,12960.9361902266,10638.3533920132,24780.9185070395,28082.9361679352,26435.4439228533,19427.3552111966,22032.5046400535,20746.4687890686,0,0,0,FALSE,NA,546.431258482441,920.741743666791,679.755793124142,10.1442721898176,17.0931928203067,12.6193874911317,3.93368808459614e-07,6.95234084112257e-07,5.34933612439996e-07
"Armenia","a4","asia",443.998321805733,692.532488870813,559.22522285585,43.8345674343153,68.3715694248598,55.2105594511016,43624.0131308204,49334.9563066738,46338.5137216757,978123.299816615,1055550.04144811,997040.690600197,1120.56439885177,1745.26775054401,1414.55199480724,110.629822892557,172.304833475543,139.654299938668,23916.4089062914,37303.9477207146,30123.2199395213,60360.3100565265,94010.5741913976,76196.2427908062,8429.94494041749,13129.5542303932,10641.5976125975,24820.822960385,27936.1093489397,26375.5304895517,19492.4842472086,21945.8172974089,20698.3150317763,1714.5871320601,1982.51935844607,1844.38744604246,FALSE,NA,560.443117975296,941.980704125284,704.845558353663,10.4043966142068,17.4874854098597,13.0851686918151,4.01116843027499e-07,7.03146609332626e-07,5.3631224417177e-07
"Azerbaijan","a1","asia",2423.39473087146,3887.96505743043,3088.29311297972,239.254192039106,383.846645633865,304.897532421469,241029.246275495,277187.963549071,259839.083916001,6088642.71311194,6664108.20330912,6236474.83213701,3198.54279269832,5124.61833045972,4090.0386260563,315.782138923092,505.937560457609,403.796737865293,126427.011283736,202832.743640476,161114.350571262,166866.008493205,267348.183618807,213374.79732053,23620.6397582758,37844.3470441518,30204.1695999973,68915.8643499057,79212.6222433839,74118.9808698807,51513.6251649357,60205.2132423938,55800.5610881198,0,0,0,FALSE,NA,1188.1163279853,2083.4825841699,1524.79607219513,22.7742063951828,39.9368826730251,29.2277949900926,4.03792060168223e-07,7.43605028943779e-07,5.5182067778786e-07
