"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a1",21102.1282933905,40905.8102893682,30392.4362036504,2083.34721158907,4038.50287607431,3000.55029227104,1560364.60166648,2255103.98330176,1908780.56224624,27071241.8856863,34583890.0171669,29089607.1500994,13235.0671251504,26043.7458517158,19242.3981003502,1306.65683607907,2571.21767743688,1899.74185870188,1013242.95923585,1963796.49012069,1459357.41976349,640844.252456305,1261229.86292396,931968.112040289,89404.2424500519,175965.328824747,130027.008397987,626610.33893405,882863.19928613,756177.850375734,439908.527827729,620642.936918445,531857.132241227,0,0,0,1039.45269777323,2613.04983874602,1511.74541750958,21.4641618324243,53.966139018349,31.2130927810563,1.49910735160918e-07,4.15629047806964e-07,2.54469211056485e-07
2020,"a2",19501.47817476,49008.7792984351,31584.2585568412,1925.32002518327,4838.48369582507,3118.21519041343,1493406.65361424,2536830.74195717,1952530.25687955,27062198.4820761,37840341.83874,29537396.2311525,12269.5181135222,31388.6810382457,20041.7684895104,1211.33119815949,3098.90643291038,1978.66120030239,935991.015819781,2355898.76277938,1517098.54514439,593991.973688935,1521366.18112632,970938.610904663,82862.5006088072,212291.280165265,135471.964814921,612534.94859648,937342.194597856,763670.656221791,433864.262898946,652484.80848506,536814.316457021,0,0,0,862.164244783079,3084.09356330273,1473.79190846417,17.7880899534924,63.7051399932829,30.4214868987766,1.30896893196898e-07,5.12439022625037e-07,2.62439944840433e-07
2020,"a3_1",21068.1084696255,40878.3234813516,30363.2179661133,2079.98854065341,4035.7891893769,2997.66566694537,1579203.24189644,2241955.4715966,1912561.03662144,27242358.7578496,34366164.5787533,29126433.3872459,13341.9030253164,25913.809217107,19217.3010294069,1317.20441078878,2558.38943937331,1897.26410328112,1011565.2500662,1962459.97297508,1457929.86875798,646216.07443208,1254997.19498594,930768.836756031,90164.8065676072,175093.44873877,129861.804014394,633317.413380508,878665.164551414,757187.145640737,447302.002842298,616353.3913762,532691.906843647,0,0,0,1051.26801427038,2575.80680308822,1515.63600646499,21.7071072881201,53.1806093015493,31.2928755637749,1.51842858503761e-07,4.091756940455e-07,2.53798564067607e-07
2020,"a3_2",20846.7633954849,40928.0590084145,30289.065241215,2058.13583287918,4040.69942260943,2990.34480004035,1587218.60520886,2250876.34675384,1907977.23684166,27150515.5838001,34448165.9155751,29027536.5234367,13215.7884131584,25853.94038662,19179.9576866503,1304.75350906328,2552.4787767462,1893.57731169679,1000523.14537746,1965466.709481,1454298.93741703,639958.313627841,1252362.94324853,928950.966327187,89296.0228877687,174727.397749988,129607.334516014,636837.074349783,883827.473670177,754632.220582144,450102.891676942,620205.383178305,530867.646384528,0,0,0,1050.15000335698,2606.59181568589,1513.43068622307,21.6794306556004,53.8287653773773,31.2476520027784,1.49529051844005e-07,4.05974171855763e-07,2.54162983815538e-07
2020,"a3_3",21074.051324536,40887.7304857892,30416.6171957788,2080.57526015557,4036.71791354122,3002.93760609188,1581593.81703327,2246374.81495316,1906377.5606703,27086257.7263572,34409553.735421,29047852.3757704,13330.76711184,25932.320344133,19265.8633536602,1316.1049968355,2560.21698512304,1902.05850986489,1011788.22144382,1963581.91834682,1460608.48740957,645576.591861034,1256183.16934851,933162.609628433,90067.9342257109,175267.381468309,130196.01558085,631966.023507402,880180.53139181,752884.912910696,446095.793871005,617426.062398196,529436.459879247,0,0,0,1044.49803823611,2581.21332754058,1507.73686299668,21.5623472653314,53.3004978328395,31.1283929253623,1.51454919035306e-07,4.10343584615656e-07,2.55893869345545e-07
2020,"a4",21341.5897512323,41095.6454702382,30475.9433466934,2106.98849333761,4057.24471051055,3008.79469165993,1573550.01896823,2244172.75573932,1909474.81333298,27206532.0558052,34428744.8902968,29100382.777362,13484.3473466665,26021.2313631272,19273.2533182924,1331.26749369518,2568.994892305,1902.78809798965,1025232.64931551,1973614.10390023,1463501.73115956,653320.966899864,1260532.18120517,933547.380270483,91149.3798554451,175874.063277036,130248.68449997,631092.984204298,881823.289289556,756474.803797062,445683.501753473,618661.638682261,532217.755441056,0,0,0,1045.55129141035,2553.23776562372,1509.88430945089,21.5833696762852,52.6980559856634,31.1718327236166,1.52914393512221e-07,4.12320086174552e-07,2.54777201058804e-07
2020,"a5_1",19501.0785845809,51064.0618756801,31881.8818320833,1925.28057489306,5041.39532477541,3147.59860671907,1512623.82631302,2579505.76961564,1952177.55715318,27082515.1394907,38133155.8236097,29553304.2462798,12270.8748189306,32618.8400300789,20233.6996196505,1211.46514144664,3220.35618763723,1997.60996126315,935396.89852597,2457993.41183419,1531801.80162688,593717.091369577,1583005.15601551,980461.575415728,82814.2290438326,220947.188250351,136804.309851824,623457.18211754,941501.353072139,762675.425529503,441586.57311367,654349.614488387,535588.830503665,0,0,0,830.272171374488,3107.61509560678,1460.59815069995,17.1082924376939,64.2278222707801,30.1422360521868,1.30333055591375e-07,5.23192946776084e-07,2.65298958670431e-07
2020,"a5_2",19480.2202424697,50530.7920581917,31786.29062799,1923.22129592974,4988.74726142167,3138.16118572857,1210174.14200676,2224962.11081047,1626025.08080257,22752499.0256597,32603974.186885,25008618.9915882,12314.8482626397,32100.7655145009,20148.405771537,1215.80650218816,3169.20830897691,1989.18916606361,934594.529274956,2430929.6203022,1526949.20413502,595997.635421413,1557061.34753123,976183.412847823,83137.6621590086,217286.935854824,136202.892383871,482362.098964084,758929.153615505,607013.320916352,338640.078935586,520808.861778547,421923.645787311,0,0,0,708.783689765332,2647.53357016973,1241.2207335489,14.6124615203726,54.7048717128411,25.6187706761278,1.62266111454176e-07,6.65491040515833e-07,3.3192691292377e-07
2021,"a1",21676.3513935016,41896.8774577784,31139.5645890118,2140.03846461406,4136.34784190421,3074.31194402012,1589147.51239603,2286905.91448995,1939487.91992829,27554591.8264019,35217808.6208729,29621502.4828106,13683.0466778276,26625.9316086097,19684.9388802341,1350.88445800151,2628.6950586938,1943.43252757506,1040704.4617019,2011251.64179324,1495036.20277283,662704.90901587,1289179.29478234,953270.840239789,92454.9242967815,179843.317407709,132991.359500469,634451.719250138,894367.32275749,767046.343032111,445071.927014317,629102.00168309,538928.695887956,0,0,0,1034.87803662396,2573.82799679701,1504.78000785432,21.3737467999392,53.1425196067614,31.0735430398348,1.52991352989512e-07,4.19668365625663e-07,2.56632979989451e-07
2021,"a2",16851.7965393602,39781.0693194839,27417.3118080914,1663.72523389211,3927.46071336969,2706.82555382558,1405300.32551075,2241767.24553236,1812236.90649277,25984226.4497404,34742082.4188771,28327975.8794093,10464.3491256517,25247.5039543571,17250.9924792062,1033.1125026308,2492.60720205974,1703.1366021007,806947.787163903,1909190.02298483,1314844.02828213,505648.620708226,1222347.95530325,834595.652169644,70514.2742580169,170523.434330649,116412.685309072,601476.544843916,889769.507140474,744964.176848797,427946.350221123,625983.714112698,526373.318829273,0,0,0,1029.18001307041,3320.04236495822,1642.1070215847,21.2576348142162,68.7079544886651,33.942156067752,1.17607414523361e-07,4.19758744888529e-07,2.31568080926763e-07
