"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a3_1",21182.2177233109,40869.3424449683,30409.3054513278,2091.25419083697,4034.90251970804,3002.21574040128,1574054.64310175,2236549.31927669,1908759.9652925,27231396.2055167,34335928.4936491,29093183.9716067,13401.8262786259,25867.8016332692,19263.2286569666,1323.12044641116,2553.84725433075,1901.79839449009,1017201.87542833,1962500.47819129,1460196.6776924,649150.928448282,1252960.42817569,933024.61267633,90569.4893859774,174818.574914942,130178.31656114,630222.670536495,878632.281556552,755507.097313263,445238.728154938,616425.66485849,531531.102212479,0,0,0,1052.71397204831,2562.03354526466,1510.29635216862,21.7336442501745,52.8935983743027,31.1815825395586,1.5253054730568e-07,4.104549525527e-07,2.54970849717634e-07
2020,"a4",21073.8733443209,41012.5142418603,30372.8573544723,2080.55768872486,4049.03742400233,2998.61733364837,1571907.346908,2238638.01081755,1911473.49545057,27206139.8666239,34334202.0579851,29102603.3845509,13328.9092042912,26011.6595595814,19232.6861372111,1315.92157142659,2568.04989803951,1898.78302691755,1011795.7822552,1969386.62849287,1458475.16314496,645514.768524628,1259922.6933165,931551.182165528,90061.0951366013,175781.893769674,129969.881944576,630451.326778412,877611.064342301,756663.395773931,445353.460840547,615439.981109185,532318.722377013,0,0,0,1045.92095726559,2575.91986949175,1513.18454307033,21.5934993559081,53.1888714745575,31.241013850573,1.51877178238177e-07,4.12587910513255e-07,2.54177567523794e-07
2020,"a2",19422.7155215425,49670.359730395,31654.8601047286,1917.54403445492,4903.79946535327,3125.18546070466,1479354.59117141,2584155.6633091,1952693.69026105,26971695.3263706,37947740.5598769,29522857.1421416,12150.5393512983,31832.9005391211,20067.7603022974,1199.58479660837,3142.76283666336,1981.22729079057,931598.389207501,2389191.48020724,1520617.3540579,587984.777041316,1544154.45099273,972285.255090629,82018.6942804424,215504.293370739,135661.73877111,611307.693934327,939673.453488136,763121.1844809,432188.198881715,657655.727383606,535875.595074888,0,0,0,847.289906655653,3123.13218884576,1471.15854970432,17.466967316016,64.5386446071383,30.3643987066221,1.29305976519765e-07,5.20734498436411e-07,2.6296950878055e-07
2020,"a5_1",19458.41646021,50147.8964461816,31707.166903384,1921.06867661376,4950.94517366445,3130.34954754987,1491277.75284802,2555653.63296483,1956386.95571809,27135646.0077281,37455212.1902085,29550117.0735333,12226.3737173332,32068.9745795473,20094.7143865922,1207.07168669002,3166.06968927143,1983.88838333895,933468.556105073,2412676.95375828,1523141.64375922,591655.648493292,1555722.84234743,973582.7037356,82536.5197693309,217135.174572124,135844.60597643,617415.888559497,933494.759994372,764205.177401449,437470.768921134,649689.169474885,536797.004863757,0,0,0,846.165066501204,3063.47679664892,1470.54178054155,17.4424680727726,63.3057628801344,30.3519330819566,1.3097420833307e-07,5.19406370548189e-07,2.62949205014822e-07
2020,"a5_2",19412.453948926,49625.8937050621,31589.0484617713,1916.53094144364,4899.40947356667,3118.68808276539,1205881.985519,2183735.67297257,1614733.60492175,22665002.2532638,32506797.5450736,24880821.9247075,12231.8013930907,31441.2084076386,20001.4460308549,1207.60754416361,3104.09229601552,1974.68028991097,931238.506243889,2386711.43378971,1517302.42371889,591963.671058975,1524471.67666387,968982.736231362,82578.840446233,212736.229351001,135199.255543864,482850.707306186,755229.60961097,603878.249649287,339414.530787529,518721.530080761,419713.812824596,0,0,0,720.869311363917,2657.56420501036,1243.95115664765,14.8674472607215,54.9135008351468,25.6772602796576,1.61961359001688e-07,6.51157965223835e-07,3.31216533174876e-07
2021,"a3_1",19828.7402266502,38513.6084011838,28588.0819806821,1957.6295853274,3802.32825595943,2822.41203593613,1414879.57453228,1975247.19398101,1697259.1256531,26092180.2661596,32400680.1661276,27744741.8096328,15353.327488471,29777.1838649394,22137.1640791504,1515.78606513061,2939.8083506784,2185.53306166909,950495.681337841,1846443.61438057,1370614.43956119,743993.368315589,1443138.45220087,1072923.3186979,103819.976390204,201378.287909766,149719.435315486,775163.567239531,1076011.02764908,926921.037174743,551563.058162997,762518.527182456,657952.564334166,0,0,0,876.247410920595,2110.33602914142,1253.31057358715,18.0801642603089,43.5496894810812,25.8590165076325,1.42687454811831e-07,3.84140652675153e-07,2.38824702335213e-07
2021,"a4",19979.7631328196,38480.744183039,28621.9437148989,1972.53960511686,3799.08367435698,2825.7550991845,1420182.05315994,1973468.6373841,1700933.77586723,27573652.7405525,34206794.2115667,29359089.1377995,15484.9481669063,29763.4954832249,22146.2684209414,1528.78056358088,2938.4569395089,2186.4319048957,958114.911530606,1844819.38119988,1372276.6446993,750583.976496361,1442395.8182525,1073345.01721742,104740.108419322,201275.538354247,149775.94240425,778645.647473453,1074842.55270321,929139.064629463,553977.88141078,761523.16187196,659489.104875148,29224.5495213939,40029.4471523884,34743.3843328463,926.425216288637,2209.03511221767,1325.69011536218,19.1165645321676,45.5735737541854,27.3528908849003,1.44067129906254e-07,3.822469897546e-07,2.38352570287993e-07
2021,"a2",16902.5612773838,40177.9128339438,27414.9226127288,1668.73707790794,3966.63983396797,2706.58967603035,1401767.340292,2242775.60301996,1812776.59263446,25845525.6276151,34767439.9514363,28274240.652256,10491.5561584214,25521.9776842497,17234.6797620299,1035.798567992,2519.70513606317,1701.52609848846,809377.360454676,1928356.91998711,1314676.9430808,506943.076559635,1235463.49779888,833780.649058552,70693.1162552541,172343.109169578,116298.071590311,601003.815923085,887716.698250847,743815.240536243,426697.945371032,627212.216674453,524950.02574126,0,0,0,1012.67722851921,3313.84967362816,1640.54343002923,20.9196999131597,68.5825323572525,33.9108861355577,1.18185860185957e-07,4.24655834257065e-07,2.31706461803671e-07
2021,"a5_1",16395.8661420617,36950.4717867443,25763.7493357307,1618.71264991555,3648.00466064486,2543.57449601356,1350745.2058921,1961012.35647215,1652724.24690067,25345933.3967712,32269655.3422107,27182827.0096508,11270.6519744716,27936.109515787,18832.1530788363,1112.71626431921,2758.04483098471,1859.23964917325,784654.884347092,1770827.44179978,1233953.57572447,544849.89735553,1353261.85169303,911599.998747862,75985.0688674146,188812.540893051,127173.468504011,735105.188116941,1066254.5653892,898573.211761553,524456.736380126,756068.107565476,639012.563120199,0,0,0,907.282146157392,2863.15782044397,1443.42640461005,18.7295114874196,59.2266888529004,29.818809836538,1.05703200158e-07,3.80028735579308e-07,2.09578394195816e-07
2021,"a5_2",16151.0332014503,37031.2513300241,25770.9463827021,1594.54105845158,3655.97977262909,2544.28503798028,872011.268211009,1320779.43372063,1090521.30896183,18967661.9165156,24720746.15631,20491126.3445214,11117.7539285009,27938.8652120795,18823.3678487642,1097.62111783438,2758.31689227194,1858.37231084986,772760.492855896,1774793.08085227,1234337.25616957,537476.157603511,1353477.02343943,911202.459734472,74958.635859197,188850.371646926,127116.070814444,441626.084038972,671489.598667,552861.710025773,308920.344299733,464697.36717243,384199.557036805,0,0,0,678.898794655228,2223.53780406465,1088.60043054765,14.0140257928542,45.9941260772096,22.4880059591725,1.65568520354913e-07,6.32636210174895e-07,3.40471541208501e-07
