"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a1",20966.7984549714,41215.6721124324,30406.2491560204,2069.98651935958,4069.09456597797,3001.91400191225,1557790.37300713,2256056.99123086,1906214.09493707,27112433.6044852,34646029.3149704,29049797.2313443,13212.0116636091,26137.7682580009,19247.4119248632,1304.38064237737,2580.50021592008,1900.23685793482,1006319.87313217,1979349.97972856,1459995.74580251,639789.683977286,1266022.8014167,932237.967566269,89261.5946457245,176631.677078307,130066.240258653,624233.774740674,884838.436000003,753998.444610306,438832.10325652,623357.809408886,530360.23707939,0,0,0,1037.28953967544,2622.31295256866,1509.2832919432,21.415438627287,54.1522162401738,31.1613539053582,1.4931552615792e-07,4.18717623359283e-07,2.55271241770412e-07
2020,"a3_1",21052.956797599,40977.6624539579,30414.9702943723,2078.49266340215,4045.59661584612,3002.7750126603,1575381.14271387,2246919.8726699,1908419.47368907,27196626.5762392,34499852.9518514,29087644.9620907,13335.8214059758,25972.7898046779,19255.0832931645,1316.60399150789,2564.21240855183,1900.99422816485,1010570.44081473,1967735.18836978,1460406.9883549,645748.976022254,1257993.39756167,932565.797905999,90091.0365945428,175520.758744007,130110.507948223,630321.84907134,882796.825832993,755241.502926905,444870.899755498,619359.182303329,531241.729164779,0,0,0,1047.11995826266,2587.00622193336,1510.64757909496,21.6190535093059,53.4261055501271,31.1909840864898,1.51063313955533e-07,4.12055997153579e-07,2.549526637313e-07
2020,"a4",21094.4291143984,41024.2138833213,30391.532971696,2082.58709569641,4050.19249305866,3000.46111900152,1569825.57989995,2242407.49015459,1911750.52228962,27193039.0331005,34380692.1465922,29101583.8487587,13350.708985064,26031.7971091514,19241.9137815915,1318.07379568828,2570.0380154067,1899.69404342366,1012966.16713933,1970108.33232746,1459336.43954252,646675.859996555,1260973.39516947,931972.394462808,90228.7282079674,175932.571065358,130029.013899564,630398.921115412,880006.099734175,756650.066470308,445367.168276589,617223.499571529,532332.934924645,0,0,0,1044.60859613649,2575.19598285419,1512.40589574826,21.5651171842891,53.1652629599864,31.2258002722633,1.51711550511944e-07,4.12941650710496e-07,2.54303999091059e-07
2021,"a1",21445.1863796682,42337.0649570522,31122.993368881,2117.21626486763,4179.80617873347,3072.67591921864,1581950.28987541,2296508.81230062,1935276.72529551,27560650.5540629,35352620.712716,29577367.7971275,13536.4362103978,26847.097654066,19678.7752527967,1336.41006450608,2650.53009152525,1942.82401189093,1029280.00595615,2033406.98006343,1494309.02989057,655416.17343315,1300359.79609447,953005.070205548,91439.9960288661,181422.649062612,132957.482308799,633296.491569429,898109.931428928,764631.278675467,444657.652514001,632196.203331227,537278.131059451,0,0,0,1026.57839998913,2611.66382075959,1503.00856720867,21.1946344671984,53.9391948897671,31.0358976272268,1.50721373149285e-07,4.23926202204812e-07,2.5736293821102e-07
2021,"a3_1",20012.2007984192,38668.1838423537,28669.0265760509,1975.74207451889,3817.58900643275,2830.40344299755,1416899.41407491,1982788.58503777,1698395.91729334,26102338.6895514,32557514.0244161,27788040.4267764,15478.564441811,29956.2943530259,22192.3303530185,1528.15031834249,2957.49136969589,2190.97945557017,959396.519844502,1853953.82731081,1374537.20152372,750086.471042012,1451868.88436416,1075563.86439855,104663.79693566,202600.213447872,150086.074902127,776577.266865437,1079748.91676455,927302.582282663,552334.988577403,765165.028076692,658100.552963856,0,0,0,871.347383022187,2103.39364136839,1252.14612367181,17.9784407329474,43.4050143301312,25.8357884144011,1.43353368560834e-07,3.85747763051846e-07,2.39321347497917e-07
2021,"a4",19975.0276972561,38555.4790214093,28651.2672456271,1972.07209035533,3806.46201150681,2828.65011977804,1421524.44972812,1981577.41484113,1701976.66074148,26748742.7748526,33371962.6466073,28508768.9962574,15454.8597929541,29882.775068986,22179.5435877234,1525.81003240492,2950.23304042819,2189.71705817345,957670.319641463,1848299.26481942,1373711.57779511,748978.934781006,1448148.82333266,1074972.15775238,104515.413703046,202079.290138019,150006.255741788,778792.239704529,1078712.01287939,929418.508770058,554185.431966196,764200.441516605,659761.277462885,29213.866884054,40119.3825718331,34729.2837187857,895.122448069221,2159.31836934694,1285.36319440033,18.4709902351714,44.5566104691114,26.5204719867957,1.43271416359781e-07,3.83706636320919e-07,2.38638927226386e-07
2022,"a1",22033.9812886646,43095.76102688,31826.7665309443,2175.34614706722,4254.70987183699,3142.15724519631,1601359.98508753,2328455.81576826,1965316.30034763,28059766.5645855,35901001.8610119,30085129.3658328,13791.4632446034,27335.2430384742,20102.105055926,1361.58808698822,2698.7231605521,1984.61804103671,1057685.10580193,2068954.21762493,1527855.15640968,667651.549981811,1323456.10641502,973357.723550506,93141.9141376116,184631.291302587,135792.757239544,641326.446871682,909440.664950526,775323.50126512,450388.974926852,638739.380173184,544285.627906224,0,0,0,1026.50510643317,2603.13218577877,1496.61586595697,21.2018868087691,53.7720639785678,30.9086049639506,1.51647752031779e-07,4.26229780041232e-07,2.59273774406745e-07
2022,"a3_1",18541.5347376868,35661.2331125524,26543.6323229133,1830.54780812988,3520.72215342061,2620.56990728786,1446251.58419869,2007176.69126316,1724899.13648385,25201032.751312,30984397.8153003,26722704.5331895,17731.0107789779,34125.8334220388,25446.6176277035,1750.52730944724,3369.13693796591,2512.26507307578,888253.781124673,1708315.78307844,1271626.90061308,858766.746440348,1652912.90230558,1232575.63131693,119845.764676164,230683.27161323,172019.678090806,897739.053950379,1241233.24634056,1068523.01293203,666513.516492182,918612.290386951,791869.153318168,0,0,0,738.473766769221,1747.46934630686,1050.14760406101,15.2464371934904,36.0801089978541,21.6803771340489,1.4284995049281e-07,3.8013087736211e-07,2.38147586151447e-07
2022,"a4",18463.459362283,35884.877859083,26569.4583115261,1822.83967019329,3542.80190066663,2623.11962647329,1453288.60297302,2004366.24011169,1728880.69059848,26213422.9432891,32119676.0528186,27799991.6796511,17692.2435608166,34338.3204156371,25477.1412989367,1746.69994309184,3390.1151151174,2515.2785797926,884486.081509725,1718995.18067876,1272833.25941329,856946.905001212,1663144.14312237,1234031.37687228,119591.913147978,232108.088482749,172220.961659571,901964.252362372,1239524.52053075,1070921.15863663,669848.931876914,917389.002493515,793751.962386986,43504.7491460238,59442.1149649474,51491.1104881098,763.386870004041,1815.46653155707,1091.17390186988,15.7613656348969,37.481524077356,22.5277834913013,1.42734115120538e-07,3.80706001659159e-07,2.37899317736622e-07
2023,"a1",22516.2145728779,44077.3029405411,32582.0180845614,2222.95553290892,4351.61443901869,3216.72087197368,1628055.66489799,2368390.22294708,1996409.10391361,28555091.0832198,36574248.3020626,30621858.8301266,14112.2605238677,27866.0808754667,20549.6468943622,1393.25940032442,2751.13112206804,2028.80244879938,1080609.62963092,2115330.81305724,1563747.85054035,683185.458304878,1348747.21625872,994799.483668845,95306.1000976006,188144.026856778,138774.593516003,651054.903982313,922857.063201902,786092.726561213,456274.231440323,648248.429839768,551220.475744351,0,0,0,1024.72576645536,2591.66476130493,1490.14038963987,21.1715662794312,53.5348752779526,30.7819408160451,1.52919244881807e-07,4.28014299639217e-07,2.61415049395728e-07
