"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a1",40550.0449958327,79610.1680574336,58586.6468394679,4003.37927991555,7859.66322119935,5784.07664062912,3471658.22033736,5023620.00372524,4229418.67488439,60578585.7551101,77848385.8953119,65115546.7573062,34608.6694731723,68004.2137233901,50184.577779454,3416.80583310284,6713.84360227338,4954.56660712026,1973448.44943699,3875195.70519182,2851314.6187209,1707483.1120844,3355064.50233575,2476108.81229026,239150.099987454,469940.246236746,346816.598983269,1331410.53314625,1899149.44624053,1609803.28561344,952342.659743521,1361439.25160239,1153444.8025771,0,0,0,890.806355051996,2249.3897361659,1297.52106401033,18.0558632219846,45.5924778080405,26.2975303969288,1.82232470128573e-07,5.10768181792054e-07,3.11743541760325e-07
2020,"a2",37737.0810091188,88475.2996246237,59673.0521308334,3725.66413210951,8734.88996961508,5891.33404153929,3381608.98259571,5320653.38393604,4282838.07704423,60625512.3980651,82408659.9987878,65816211.8702695,32755.777909264,74382.6911869416,50950.3951385813,3233.87563670866,7343.5707583743,5030.17336287219,1831549.59117056,4312701.19256102,2903866.34866037,1614578.11958528,3671959.88109239,2513708.75248141,226195.404435364,514143.143583648,352062.994125563,1308998.25461087,1963974.71504358,1621856.29940763,940417.171066713,1402394.40279964,1161781.76249884,0,0,0,815.04865487723,2515.85110349283,1291.77039140235,16.510396181134,51.0403671393461,26.1829107311254,1.66783093786099e-07,5.68241332063911e-07,3.14148640401683e-07
2020,"a3_1",40201.5075451379,79147.3513536985,58250.4626442349,3968.9692661035,7813.97077369843,5750.88622514206,3463676.44195138,4978175.39497437,4228034.81600058,60906564.2491528,77122891.684274,65145098.6120094,34289.8766502332,67722.604503348,49778.3232144929,3385.3324134785,6686.04120361598,4914.45836290244,1955510.73256333,3849134.83807873,2834036.10229013,1691227.54038687,3340029.45908223,2455553.62709663,236882.65225475,467800.280898928,343936.154593308,1329875.90187519,1883035.56642272,1609348.65539224,955218.861701816,1347105.12367248,1153065.6694319,0,0,0,899.353542230376,2249.14462279786,1308.70415886252,18.2353374409723,45.6017240983623,26.5296990027601,1.82098932498525e-07,5.09240030651398e-07,3.09307265692285e-07
2020,"a3_2",40397.0511819999,78348.8843556236,58405.1763975173,3988.27467856884,7735.14062107793,5766.16063073822,3523424.27565015,4965297.63009558,4243130.12419275,60987211.1058227,77009359.0853413,65281896.1920425,34740.5628190587,67122.5235120461,50123.0918868881,3429.82725115884,6626.79708176367,4948.49629700518,1965367.95608006,3814772.67078732,2842789.59027962,1713970.28230435,3313161.6034773,2473463.1472745,240093.536121256,464047.224700857,346458.785555284,1351596.89710511,1881058.16790367,1613842.80893458,971179.091277129,1345665.03302692,1156512.29245502,0,0,0,908.595325604492,2216.69866105606,1302.4315487034,18.4075570119532,44.9303934148763,26.3929124086511,1.84686276117527e-07,4.96616436866723e-07,3.10582242640957e-07
2020,"a3_3",40804.4757900366,77835.5032363221,58437.3670449409,4028.49843748475,7684.45610677165,5769.33871280732,3515295.1881548,4966902.0467721,4233127.24685605,60886444.2504205,77142425.1787276,65199256.4977597,34957.3235164544,66602.499806353,50076.3013078108,3451.22735773685,6575.45676565181,4943.87680928839,1985128.57628352,3788012.10706669,2844255.50178815,1724477.55715293,3285998.27848483,2470988.47366716,241545.339940731,460273.508938525,346103.406425882,1345268.55897271,1878519.3759921,1608964.71004114,966033.719487511,1343970.03627203,1152782.38868,0,0,0,914.176561352022,2206.76005536913,1301.99824657557,18.5290554316709,44.733794799909,26.3859007002968,1.86089768161122e-07,4.95087017102466e-07,3.11233061827256e-07
2020,"a4",40706.0617178795,79169.9235892599,58703.0901643198,4018.78232354785,7816.19926000854,5795.57272636823,3505071.35467346,4981483.71278616,4246932.91723658,61101083.6220213,77206619.4929738,65361084.587081,34739.980664496,67861.5462245956,50308.9423396837,3429.76977685729,6699.75848575501,4966.84473168537,1981056.10546391,3852440.75861076,2856976.63929266,1713995.01709347,3348267.57492069,2482374.0988376,240067.572357881,468969.310348105,347700.455481535,1343977.49117352,1885966.32651653,1616265.65473791,965238.336276382,1349182.68951327,1158212.77923277,0,0,0,900.37859467275,2222.41400300716,1299.19417000989,18.2485665362239,45.0448331080321,26.3300703216678,1.84202550045856e-07,5.04930675329546e-07,3.11266543295086e-07
2020,"a5_1",38533.2399206622,90204.237592619,59868.4951092888,3804.26641455632,8905.58261466745,5910.62951631456,3420509.94049861,5346418.49550432,4280433.97806586,60661870.7385285,82526891.727631,65831395.4002403,33573.4763787558,74974.9212585744,51027.637948718,3314.60445243053,7402.03978345088,5037.79930424058,1872883.66037377,4398642.67205848,2914390.1301097,1656024.72039736,3701427.64518846,2517996.25219854,231984.749723613,518285.187410992,352666.967535733,1327316.48542713,1960730.96526535,1620136.002075,954660.568247111,1395820.83629079,1160017.91966461,0,0,0,809.095491135191,2458.09789837109,1290.11253600255,16.3887765893206,49.8343356298622,26.1443579762126,1.71229388291995e-07,5.64860921127245e-07,3.14958978032485e-07
2020,"a5_2",38471.6096256043,89613.7436178137,59999.4853000463,3798.18184803425,8847.28498900777,5923.56176868579,2884692.9954384,4704198.04668176,3697164.29086861,53056928.1100099,72871853.4933674,57741281.9986131,33542.7384050387,74277.2179352569,51198.7527595986,3311.56978829888,7333.15771369277,5054.6929350229,1869153.25447006,4369040.05568712,2919968.14420405,1654160.59306758,3666203.08444787,2526133.87367898,231721.534386854,513323.81243503,353802.567443811,1092641.12408257,1658346.51237641,1359833.60186951,782413.108842578,1173198.59334109,968529.982318502,0,0,0,714.309576810705,2172.50758162371,1127.78688710904,14.4719010070879,44.0536751986272,22.8575700600224,2.0226616183473e-07,6.7979518890636e-07,3.76507483630423e-07
2021,"a1",41726.4521015972,80853.5213697636,59605.0299664516,4119.52227883077,7982.41560997494,5884.61842572459,3505273.32104527,5054269.89503861,4278015.33458197,61538892.405394,78628567.3608262,66002545.760024,35460.8089511392,69100.7728897251,50880.7054716786,3500.93490201118,6822.10346354254,5023.29311974223,2029067.31491128,3933644.45386387,2899408.36738681,1748690.64325531,3407972.26276555,2509564.72887357,244906.169870204,477303.460143173,351488.458237069,1342685.25385434,1912714.57913377,1626916.31936438,958338.19999894,1368711.22549904,1164833.75855906,0,0,0,890.567353039614,2217.33710218419,1297.20185968653,18.0573337047806,44.9642523473756,26.3003958418118,1.85395193501367e-07,5.14646099607953e-07,3.12743223889704e-07
2021,"a2",35643.7402088403,77733.3360829249,54956.3606741038,3518.99513367812,7674.36946284708,5425.66982712062,3307949.93740608,5005494.49244819,4138969.41673599,59026420.9275067,77754652.8411583,64014670.2722281,31359.1415739467,66578.1455539723,47995.4583241568,3095.99009386989,6573.05234638744,4738.44168125402,1727678.54249492,3777872.08941029,2667928.86207874,1545119.60404218,3282162.4565655,2365773.61251341,216542.631820957,459732.269001219,331438.441027361,1301939.46643871,1901417.67407507,1599479.31244191,936115.942608751,1363854.60342062,1148448.25068595,0,0,0,886.573521031107,2479.48919959458,1333.76516252598,17.9840034454823,50.3227404776594,27.0586627281799,1.64925055665116e-07,5.11376659746619e-07,3.00069265984333e-07
