"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"a1",40428.3086134938,79300.0418579361,58431.8013763392,3991.3606271442,7829.04543023623,5768.78923173125,3440993.8707232,5006348.9296527,4231988.82481202,60793203.9458031,77655470.3292489,65170341.7736951,34803.1040258395,67910.233845411,50032.1110983623,3436.00174914997,6704.56526247698,4939.51404794252,1966339.67562071,3860874.6390289,2843874.89120365,1717473.83877724,3351104.57313919,2468738.03200861,240571.071309691,469353.515818402,345787.438465846,1320498.62549483,1892581.60955621,1609666.82023785,944105.37940435,1359689.64926902,1153201.54960339,0,0,0,895.199449381829,2231.28001087472,1302.57029621579,18.1412434673306,45.2149363652234,26.3982410967563,1.8389222345873e-07,5.14277202067992e-07,3.10822776920813e-07
2020,"a3_1",40502.9369411359,78872.0534595519,58580.7410748653,3998.72844882253,7786.79147253257,5783.49358293722,3484493.24050732,4999935.6707508,4240740.59781544,60993787.2757552,77466066.2707926,65246181.2187128,34708.2152232534,67668.1661970712,50243.1183869439,3426.63367406626,6680.6666796813,4960.34613843971,1971123.55447266,3838521.15585333,2851257.16053275,1712559.97595367,3338894.37293995,2479268.22151476,239865.964242735,467660.456140707,347261.556283058,1335431.49702271,1893281.16375911,1613372.87128065,959014.755023068,1354426.78898489,1156150.06323499,0,0,0,901.366044088174,2231.92306987001,1298.60930836784,18.267660028445,45.2340749278894,26.3167093630754,1.83323089500031e-07,5.06713869995838e-07,3.11416655636847e-07
2020,"a4",40345.3187544155,78702.7881177025,58394.0540589111,3983.16729758536,7770.08043405068,5765.06255698948,3491489.51951588,4975058.15790445,4234819.17431056,60991211.5148707,77167725.2966979,65212229.3104622,34476.2731760871,67509.7786034436,49973.1875567108,3403.73476024601,6665.02956730351,4933.69671072942,1963034.53808873,3829652.39679873,2841371.00881713,1700845.70366434,3330798.94597894,2465376.56936064,238232.795003867,466527.593373174,345316.527385429,1339870.66469076,1882951.13697704,1611193.86655226,962555.551588952,1346842.68443556,1154461.56584803,0,0,0,903.44262381805,2238.28500553307,1304.94436114282,18.3112858218301,45.3702091438664,26.4512245800137,1.83097014569569e-07,5.0385294926227e-07,3.10162473890537e-07
2021,"a1",40867.6808480455,80852.5922679253,59446.4482955991,4034.73847543403,7982.3238826526,5868.96215270859,3493736.97855728,5065918.75574206,4277938.80359698,61488347.2544502,78813615.0481641,66010219.3235673,35057.0320320499,69510.3573909166,50742.7186985533,3461.07126803109,6862.54046196296,5009.67011664842,1987429.08194832,3933909.13397572,2892003.51984279,1729427.48834951,3428526.07979199,2502867.42616083,242223.539098492,480199.927516545,350551.681641631,1338428.92970951,1913027.58634308,1626280.81965773,957620.337110564,1372777.83302983,1164186.9052967,0,0,0,884.592592563554,2248.15423553571,1300.88061926113,17.9343384951532,45.5720841602792,26.3738377165349,1.83254189758259e-07,5.1934290904787e-07,3.12016953561765e-07
2021,"a3_1",39496.1112631091,76588.6502094677,56696.9627671323,3899.32769456162,7561.35820211281,5597.51403480336,3351560.01695445,4742083.63867813,4053141.18468276,58995125.34587,73830089.5717402,62837238.5345289,37539.581512593,72769.7954309335,53873.322166868,3706.16562372891,7184.33459844081,5318.74481829107,1918117.39183596,3721021.6805142,2754444.34293466,1852034.65775409,3591143.80522906,2658469.4699811,259324.047251613,502864.405956665,372259.080550465,1570020.95745501,2200382.86007939,1887107.69499988,1132998.03240026,1583638.67848592,1359679.42795936,0,0,0,810.708962372483,1966.72649499231,1166.38878032982,16.4279484603115,39.8643131556036,23.6366222159308,1.70604771531616e-07,4.63495694661888e-07,2.85480909805053e-07
2021,"a4",39191.2136275064,76429.6269304116,56641.3015735825,3869.22610337985,7545.6583304983,5592.01877902804,3365199.96671171,4750000.5713679,4056810.12847756,59831970.3769463,74991022.2616808,63868509.6163753,37257.7809653835,72836.5091624079,53827.322703528,3678.3443359379,7190.92103676161,5314.20343495989,1903923.81427278,3713385.82614695,2751762.46082392,1838365.02997505,3594813.29666286,2656174.65689202,257443.647682755,503377.300891106,371949.55394894,1575378.12437927,2201853.74357356,1888389.02898119,1137253.42391359,1584543.9700851,1360691.81110795,40564.8313166436,55447.1785213836,48042.0034556664,821.455765315926,2012.76137007074,1186.54442406791,16.6439715888693,40.7922371449257,24.0452974169657,1.69210970865462e-07,4.62343027589692e-07,2.85043610598439e-07
2022,"a1",41939.657784792,82259.0473097721,60645.6848787012,4140.57140996121,8121.1787957172,5987.35903461098,3535171.11242623,5147248.04796727,4335065.25086382,62396153.5620796,80095960.8942526,66898856.765281,35666.9151960335,70471.1378871494,51701.7289458479,3521.28312777409,6957.39531925253,5104.35020278989,2039550.1063922,4001897.10047124,2949790.03023916,1758787.95950316,3475589.27908582,2549865.53560604,246326.684190008,486781.627494332,357118.14126034,1354400.11269124,1942411.0165992,1646510.25075962,968276.114740341,1393096.17239254,1177944.95534427,0,0,0,885.41430481794,2245.66549851667,1293.9384838629,17.9526832867006,45.5404305342633,26.2362292564501,1.83621874522106e-07,5.20312551858261e-07,3.14007938438253e-07
2022,"a3_1",32455.4196223674,62441.9780141968,46323.7263946803,3204.22220124548,6164.70144495939,4573.39680969525,3251790.47193862,4444359.79849262,3845582.14308056,58456309.0815767,71269821.5994115,61836192.8827766,46574.4831612527,89419.6292657915,66185.7452934055,4598.15324199263,8828.12068537013,6534.31189436704,1572404.524873,3025667.91782477,2243821.50369922,2296621.46198574,4410112.1938231,3263028.4904436,321658.857351985,617671.479623455,457008.48993021,2044358.44624117,2791155.27525735,2416255.01461702,1519874.64041714,2071391.31514143,1794624.32214866,0,0,0,653.730165977548,1530.23322561964,934.282640599617,13.2550616656537,31.0324634595155,18.9505525507594,1.66864536610055e-07,4.37397020225106e-07,2.73918708468345e-07
2022,"a4",32102.9507738781,62291.0816089058,46177.3941355526,3169.42405280932,6149.80391420651,4558.94988283648,3250979.22068215,4463953.40650949,3841642.04676058,60598505.2279796,74335656.937133,64128412.0588846,45785.7853537548,88502.3759890357,65824.9422845608,4520.28757104266,8737.56313449747,6498.69094031166,1554573.97590862,3016334.06200444,2236460.3136435,2256765.51815004,4362044.91602274,3244785.9147974,316082.548964174,610927.794876784,454455.109950141,2043479.85590595,2804513.39337333,2414143.80194862,1519722.91642525,2081132.53954778,1793092.12975399,99668.1916450374,136922.334923345,117848.039369366,684.7104899815,1623.55316967468,974.22663557619,13.8922240358847,32.9390254943584,19.7635263905812,1.63257502930598e-07,4.33096395510095e-07,2.72663717179685e-07
2023,"a1",42948.8790805253,83410.3167153784,61674.302940245,4240.2086760753,8234.84002801617,6088.91128282561,3593907.69937616,5174341.87194165,4378963.16431117,63180255.0674566,80765044.7943395,67718452.3951886,36372.2810819843,70542.6947594801,52318.3523727706,3590.92169840613,6964.45990574199,5165.22750763891,2088029.91153871,4055661.45395666,2998326.68534859,1793348.90400476,3476877.18201102,2579097.03304823,251154.685660011,486912.514485735,361187.180946879,1376840.1951998,1951496.69515179,1661850.59205295,982675.472226759,1397834.73995995,1187887.19323767,0,0,0,895.631436860666,2220.51085034486,1294.35368898263,18.171552160181,45.0358793060188,26.2566516604272,1.8638146389049e-07,5.1235208708621e-07,3.14819831716278e-07
