"dogpop2018","dogpop2019","dogpop2020","dogpop2021","dogpop2022","dogpop2023","dogpop2024","dogpop2025","dogpop2026","dogpop2027","dogpop2028","dogpop2029","dogpop2030","dogpop2031","dogpop2032","dogpop2033","dogpop2034","dogpop2035","dogpop2036","dogpop2037","dogpop2038","dogpop2039","dogpop2040","dogpop2041","dogpop2042","dogpop2043","dogpop2044","dogpop2045","dogpop2046","dogpop2047","dogpop2048","dogpop2049","dogpop2050","dogpop2051","dogpop2052","dogpop2053","dogpop2054","dogpop2055","dogpop2056","dogpop2057","dogpop2058","dogpop2059","dogpop2060","dogpop2061","dogpop2062","dogpop2063","dogpop2064","dogpop2065","dogpop2066","dogpop2067","dogpop2068","dogpop2069","dogpop2070","country"
3159397.35478124,3231998.17057044,3305476.53940795,3380069.50398096,3455237.65971362,3530815.88452884,3606452.56655493,3681883.56258494,3757108.87261888,3832231.94767925,3907192.85392431,3981922.71086634,4056352.37743571,4130425.30735563,4204083.56457907,4277259.05036407,4349875.41420787,4421862.38585252,4493155.68842425,4563689.30783647,4633377.94694047,4702134.57137474,4769875.79492465,4836546.63480493,4902092.80311543,4966443.16099181,5029524.48491433,5091276.92790188,5151648.28670967,5210612.67686693,5268169.31662787,5324334.88323543,5379115.97809827,5432492.79699041,5484433.98322073,5534925.46536551,5583956.82014791,5631511.37032503,5677576.95540721,5722129.08069393,5765134.82600251,5806555.10404487,5846355.43114683,5884513.04982064,5921015.0178309,5955851.78050721,5989017.8656292,6020505.54259992,6050303.95383933,6078393.72942465,6104756.36803951,6129368.59103234,6152214.24232404,"Afghanistan"
451440.227159247,452065.611449944,452620.380392688,453046.534017591,453313.610802006,453436.841507258,453451.456884285,453383.149227442,453223.149310511,452945.610993065,452540.380434222,451993.765333399,451294.996465417,450440.381524502,449429.920510652,448263.767269943,446937.460266229,445453.768728841,443812.384965632,442020.23204993,440087.771514765,438027.46489213,435854.850635495,433578.08258678,431201.622282132,428734.854332062,426191.778729302,423580.549315772,420908.243010875,418182.55211831,415411.938172144,412609.170396519,409783.01801765,406936.865649165,404076.097903652,401199.022474298,398306.100899325,395393.025488662,392463.796240231,389517.951615812,386554.260846812,383569.031627455,380563.648572409,377533.342453378,374480.882499696,371402.884097735,368294.731865275,365154.579649428,361982.119758048,358777.813729355,355542.892331942,352276.586335439,348982.126507398,"Albania"
3063223.52172788,3112150.15629735,3159857.05953036,3206237.6225183,3251095.32610343,3294437.60811658,3336304.28282867,3376749.16513337,3415791.9434064,3453487.52634009,3489982.33711393,3525462.68609827,3560093.15353024,3593951.47203401,3627113.18663647,3659737.48150139,3692002.13536963,3724049.05038627,3755947.50046592,3787731.46628669,3819460.01297578,3851179.73635574,3882912.07488015,3914661.54958344,3946395.85694543,3978038.5039804,4009482.51718022,4040621.2147164,4071404.57353059,4101753.9859597,4131487.88142753,4160389.39612142,4188279.2199824,4215077.6515487,4240740.28259508,4265174.43191577,4288294.12693675,4310040.15669101,4330374.16530583,4349301.62177447,4366870.28863806,4383162.34663528,4398253.77831249,4412174.33499299,4424965.72686539,4436731.71896178,4447599.55652529,4457678.6194211,4467036.65024571,4475721.92197962,4483803.85437724,4491350.77339436,4498423.34839619,"Algeria"
11838.9230769231,11857.2307692308,11874.4615384615,11888.6153846154,11906.4615384615,11926.3076923077,11946,11965.3846153846,11982.6153846154,11995.5384615385,12005.6923076923,12013.6923076923,12023.6923076923,12033.8461538462,12043.6923076923,12052.6153846154,12061.0769230769,12068.3076923077,12074.7692307692,12079.5384615385,12084,12085.5384615385,12084.6153846154,12080.7692307692,12073.5384615385,12063.8461538462,12050.6153846154,12031.5384615385,12009.2307692308,11983.3846153846,11951.3846153846,11914.7692307692,11874.9230769231,11830.3076923077,11781.2307692308,11728,11670.1538461538,11610.3076923077,11546.7692307692,11480.1538461538,11411.8461538462,11342,11270.9230769231,11198.7692307692,11127.3846153846,11055.5384615385,10984.3076923077,10914.1538461538,10845.8461538462,10779.3846153846,10715.2307692308,10652.9230769231,10592.9230769231,"Andorra"
2966214.83926448,3063889.05816735,3164115.01062938,3266967.29972431,3372396.47922886,3480424.04331025,3591041.89551088,3704245.79482914,3820060.70534267,3938516.12128995,4059608.76553337,4183326.87893209,4309655.9071397,4438582.93437856,4570092.15327903,4704153.58767066,4840732.73122216,4979790.25828226,5121294.07217968,5265205.32919513,5411467.9324437,5560018.74883325,5710798.01879564,5863758.60938118,6018855.50814096,6176028.95550687,6335217.16779635,6496361.25291889,6659410.02969598,6824317.0398827,6991042.57228219,7159551.54224475,7329805.29882391,7501756.61268356,7675356.42314599,7850556.82617031,8027313.48401241,8205578.5890178,8385299.12866635,8566423.05430195,8748905.44986211,8932706.21860434,9117775.72153252,9304054.58462414,9491473.21689823,9679969.06358108,9869473.40116931,10059912.5904532,10251219.5464981,10443311.377,10636088.5148073,10829438.8625367,11023258.9975808,"Angola"
13739.551068418,13877.4132305212,14014.2087608094,14149.5376723518,14285.3998998018,14417.9289028295,14549.6579319959,14678.7203816245,14805.2495806922,14928.9788712453,15049.7749243068,15167.9043978305,15280.5673833017,15391.7637500272,15498.4269315385,15600.5569278355,15698.6870548259,15793.0839704633,15883.614345771,15968.8115620031,16049.7422509748,16126.8063996166,16199.8706789518,16267.4684702346,16330.3997473262,16389.0644971574,16443.9960356357,16496.6609815069,16543.3261234181,16586.658040907,16626.2567470431,16662.5222287569,16695.8544729792,16726.2534797099,16753.0526040646,16777.0518199046,16799.0511010913,16819.0504476246,16836.1165566664,16851.7160469625,16866.648892374,16878.7818292709,16890.9147661679,16901.3144263652,16911.180770655,16920.6471280141,16928.6468666275,16936.1132893332,16943.579712039,16950.5128188373,16957.3125966586,16962.3790977804,16966.6456250408,"Antigua and Barbuda"
5958515.54309999,6013571.14627017,6068053.54940734,6121923.81917594,6175103.4222381,6227603.0252611,6279444.8949129,6330640.36452747,6381184.90077123,6431059.7036431,6480244.77314191,6528712.24259941,6576441.17868104,6623417.31471933,6669637.1840474,6715095.0533316,6759786.92257169,6803707.9917674,6846848.66091816,6889200.39669017,6930752.79908282,6971495.33476217,7011419.47039439,7050511.73931205,7088763.87484799,7126173.47700209,7162745.21244128,7198474.14783194,7233351.48317356,7267358.41846506,7300466.28703813,7332641.88889084,7363854.02402142,7394087.89242899,7423327.62744599,7451548.82907101,7478728.16396937,7504842.69880642,7529877.76691464,7553822.96829344,7576663.36960862,7598390.17085968,7618992.572046,7638472.57316769,7656824.44089108,7674036.97521554,7690098.84280707,7705003.51033197,7718757.24445726,7731379.91185076,7742903.64584765,7753368.31311688,7762812.84699405,"Argentina"
451407.626034559,451800.548785968,452104.086996042,452298.70221943,452321.009893257,452179.471548975,451882.241025983,451441.164468312,450859.318796492,450141.319391314,449299.627780915,448348.55164575,447301.629436142,446165.630377253,444946.400618084,443659.786299355,442322.095099864,440945.788547747,439537.789714194,438100.713981652,436632.407505753,435131.947210337,433599.486941431,432034.719006983,430435.797254675,428793.952461004,427093.646177303,425325.493795962,423485.495320296,421576.266132752,419594.421620751,417540.577168398,415412.578931323,413211.657677737,410938.890329826,408598.738422354,406195.509644062,403735.973220108,401220.590688575,398654.592814357,396043.056516328,393391.827943488,390706.753244842,387989.832418733,385247.06546019,382480.606213582,379695.993135859,376896.918531656,374085.536245341,371265.384735522,368436.464002198,365596.927893053,362746.776408087,"Armenia"
3136839.39698145,3176902.83894421,3216099.13808417,3254375.74412805,3291836.11146929,3328608.64005272,3364893.02091684,3400834.36879222,3436485.23395212,3471813.32646961,3506772.17417529,3541279.72266654,3575285.32107753,3608792.38834172,3641852.08183357,3674509.10094218,3706824.22670652,3738850.38928137,3770609.74842053,3802120.03192703,3833428.9782419,3864587.61811247,3895639.25802899,3926591.36899418,3957453.82792688,3988256.51883791,4019032.99792588,4049797.06755173,4080563.92297519,4111307.22574605,4141931.49898224,4172312.01492668,4202352.66356149,4232016.08987313,4261312.04415325,4290242.17255502,4318829.14134086,4347083.84044695,4375004.11721148,4402572.49708574,4429788.60018824,4456652.29989182,4483166.0021126,4509327.30093445,4535140.88156247,4560619.53334027,4585779.46454491,4610633.71777434,4635186.21847067,4659434.68734493,4683387.22853565,4707045.23494165,4730411.74561486,"Australia"
1346434.08069457,1348646.54261842,1351109.46612437,1353951.46661943,1356995.15945732,1360133.4676963,1363165.1605321,1365941.31486184,1368461.77683935,1370783.77724383,1372881.77760929,1374724.39331487,1376289.77820294,1377565.62457903,1378557.16321329,1379284.85564774,1379780.85573414,1380073.62501591,1380169.00964791,1380066.5480916,1379787.93265845,1379355.9325832,1378786.39402245,1378088.24005468,1377264.70144969,1376313.00897622,1375229.77801829,1374011.00857522,1372664.85449458,1371189.93116073,1369573.00780215,1367788.54595285,1365824.39176455,1363681.0067758,1361371.62175813,1358915.31363795,1356331.46703401,1353643.92810432,1350860.69685027,1347996.69635138,1345083.3112285,1342160.84918096,1339260.69482962,1336398.07894635,1333579.30922457,1330814.5395122,1328112.38519534,1325481.76935249,1322928.07659996,1320450.23001449,1318033.46036273,1315659.61379538,1313306.84415477,"Austria"
