"Country","Cluster","Gavi.eligible.in.2018","Gavi.phase","GSP.phase","PEP.policy"
"Afghanistan","asia","Yes","Initial self-financing","II","Free"
"Angola","west africa","No","Fully self-financing","II","Free"
"Armenia","asia","No","Fully self-financing","III",""
"Azerbaijan","asia","No","Fully self-financing","II",""
"Bangladesh","asia","Yes","Preparatory transition phase","I","Free"
"Benin","west africa","Yes","Initial self-financing","I","Patient pays"
"Bhutan","asia","No","Fully self-financing","I","Free"
"Bolivia","americas","No","Fully self-financing","I",""
"Burkina Faso","west africa","Yes","Initial self-financing","II",""
"Burundi","east africa","Yes","Initial self-financing","II",""
"Cambodia","asia","Yes","Preparatory transition phase","I","Subsidized*"
"Cameroon","west africa","Yes","Preparatory transition phase","II","Patient pays"
"Central African Republic","east africa","Yes","Initial self-financing","III","Free"
"Chad","west africa","Yes","Initial self-financing","II","Subsidized"
"Congo","east africa","No","Fully self-financing","II",""
"Cote d'Ivoire","west africa","Yes","Preparatory transition phase","II","Patient pays"
"Cuba","americas","No","Fully self-financing","II","Free"
"Dem. People's Republic of Korea","asia","Yes","Initial self-financing","III",""
"Democratic Republic of the Congo","east africa","Yes","Initial self-financing","III","Patient pays"
"Djibouti","east africa","Yes","Preparatory transition phase","II","Patient pays"
"Eritrea","east africa","Yes","Initial self-financing","II",""
"Ethiopia","east africa","Yes","Initial self-financing","I","Subsidized"
"Gambia","west africa","Yes","Initial self-financing","II",""
"Georgia","asia","No","Fully self-financing","I","Free"
"Ghana","west africa","Yes","Preparatory transition phase","I","Free"
"Guinea","west africa","Yes","Initial self-financing","II","Patient pays"
"Guinea Bissau","west africa","Yes","Initial self-financing","II","Free"
"Guyana","americas","No","Fully self-financing","",""
"Haiti","americas","Yes","Initial self-financing","I","Patient pays"
"Honduras","americas","No","Fully self-financing","II",""
"India","asia","No","Accelerated transition phase","II","subsidized (75%)19"
"Indonesia","asia","No","Fully self-financing","II",""
"Kenya","east africa","Yes","Preparatory transition phase","I","Patient pays"
"Kyrgyzstan","asia","Yes","Preparatory transition phase","II",""
"Lao People's Democratic Republic","asia","No","Accelerated transition phase","II","Patient pays"
"Lesotho","east africa","Yes","Preparatory transition phase","I","Free"
"Liberia","west africa","Yes","Initial self-financing","I","Free"
"Madagascar","east africa","Yes","Initial self-financing","II","Subsidized*"
"Malawi","east africa","Yes","Initial self-financing","I",""
"Mali","west africa","Yes","Initial self-financing","I","Patient pays"
"Mauritania","west africa","Yes","Preparatory transition phase","III",""
"Mongolia","asia","No","Fully self-financing","II","Free"
"Mozambique","east africa","Yes","Initial self-financing","II","Free"
"Myanmar","asia","Yes","Preparatory transition phase","II",""
"Nepal","asia","Yes","Initial self-financing","II","Free"
"Nicaragua","americas","No","Accelerated transition phase","",""
"Niger","west africa","Yes","Initial self-financing","III","Patient pays"
"Nigeria","west africa","No","Accelerated transition phase","II","Free"
"Pakistan","asia","Yes","Preparatory transition phase","II","Free"
"Republic of Moldova","asia","No","Fully self-financing","III",""
"Rwanda","east africa","Yes","Initial self-financing","II",""
"Senegal","west africa","Yes","Initial self-financing","II",""
"Sierra Leone","west africa","Yes","Initial self-financing","I","Patient pays"
"Somalia","east africa","Yes","Initial self-financing","III","Patient pays"
"South Sudan","east africa","Yes","Initial self-financing","III",""
"Sri Lanka","asia","No","Fully self-financing","I","Free"
"Sudan","east africa","Yes","Preparatory transition phase","III","Patient pays"
"Tajikistan","asia","Yes","Preparatory transition phase","III",""
"Tanzania","east africa","Yes","Initial self-financing","II","Patient pays"
"Togo","west africa","Yes","Initial self-financing","II",""
"Uganda","east africa","Yes","Initial self-financing","I",""
"Ukraine","asia","No","Fully self-financing","II","Free"
"Uzbekistan","asia","No","Accelerated transition phase","III",""
"Vietnam","asia","No","Accelerated transition phase","I","Patient pays"
"Yemen","east africa","Yes","Preparatory transition phase","III",""
"Zambia","east africa","Yes","Preparatory transition phase","II",""
"Zimbabwe","east africa","Yes","Initial self-financing","I","Free"
