"Country","SC_1_Deaths","SC_1_DALYs","SC_1_Deaths.averted","SC_1_DALYs.averted","SC_1_Vials","SC_1_Vaccinated","SC_1_Fully.vaccinated","SC_1_Cost","SC_1_Cost.per.death.averted","SC_1_Cost.per.DALY.averted","SC_2_Deaths","SC_2_DALYs","SC_2_Deaths.averted","SC_2_DALYs.averted","SC_2_Vials","SC_2_Vaccinated","SC_2_Fully.vaccinated","SC_2_Cost","SC_2_Cost.per.death.averted","SC_2_Cost.per.DALY.averted"
"Afghanistan","7,390 (5,848-9,046)","354,662 (280,691-434,165)","9,799 (7,504-11,859)","470,289 (360,164-569,183)","538,454 (502,279-580,129)","153,501 (143,573-165,403)","115,726 (106,737-125,185)","12,130,105 (11,802,005-13,064,383)","992 (774-1,339)","51 (40-69)","3,594 (2,862-4,381)","172,506 (137,373-210,264)","13,483 (10,793-16,462)","647,129 (517,990-790,090)","462,042 (433,822-492,979)","259,256 (242,658-275,510)","205,980 (192,781-218,791)","8,664,386 (8,461,783-9,220,651)","523 (414-711)","27 (22-37)"
"Angola","16,503 (13,067-20,147)","789,910 (625,440-964,317)","9,126 (7,249-11,054)","436,785 (346,958-529,107)","291,182 (270,909-314,187)","102,326 (95,218-109,634)","43,265 (39,161-48,458)","14,993,749 (14,611,323-16,115,890)","1,302 (1,019-1,783)","67 (53-92)","8,369 (6,671-10,320)","400,596 (319,320-493,971)","17,286 (13,859-21,112)","827,355 (663,343-1,010,515)","326,053 (306,475-346,642)","227,665 (214,163-242,568)","157,364 (148,030-168,106)","21,302,019 (20,817,856-22,671,657)","949 (762-1,295)","51 (41-69)"
"Armenia","854 (678-1,069)","46,007 (36,540-57,575)","1,130 (880-1,395)","60,873 (47,413-75,141)","62,356 (58,080-66,621)","17,793 (16,568-19,014)","13,385 (12,381-14,467)","1,245,359 (1,220,206-1,329,498)","892 (697-1,221)","43 (34-59)","563 (433-693)","30,301 (23,316-37,332)","1,424 (1,109-1,750)","76,720 (59,736-94,241)","46,319 (43,379-49,146)","26,391 (24,835-28,013)","20,712 (19,503-21,998)","959,664 (942,980-1,012,013)","569 (447-765)","28 (22-38)"
"Azerbaijan","3,068 (2,390-3,818)","160,069 (124,687-199,174)","4,071 (3,190-5,029)","212,371 (166,416-262,366)","259,132 (240,867-276,766)","73,953 (68,917-78,583)","55,613 (51,346-60,006)","6,221,513 (6,062,032-6,613,865)","1,234 (973-1,703)","61 (48-84)","1,556 (1,232-1,904)","81,151 (64,274-99,326)","5,675 (4,518-6,983)","296,072 (235,724-364,317)","183,813 (170,959-196,514)","129,180 (119,836-138,390)","102,569 (95,175-109,890)","4,695,130 (4,586,672-5,010,802)","668 (535-900)","33 (26-45)"
"Bangladesh","2,941 (2,278-3,658)","158,491 (122,732-197,127)","3,903 (2,980-4,851)","210,323 (160,580-261,395)","14,998,174 (12,625,552-17,181,777)","7,714,002 (6,477,734-8,842,059)","5,807,252 (4,847,899-6,668,474)","177,051,004 (166,053,279-202,993,262)","36,770 (28,349-54,104)","1,776 (1,364-2,616)","1,328 (1,040-1,637)","71,564 (56,042-88,204)","5,370 (4,201-6,586)","289,359 (226,394-354,894)","15,992,783 (13,558,146-18,338,938)","10,189,289 (8,638,173-11,684,039)","8,103,413 (6,869,842-9,292,171)","174,196,013 (164,243,525-199,736,232)","25,336 (19,726-36,806)","1,234 (961-1,790)"
"Benin","5,811 (4,629-7,150)","275,129 (219,174-338,530)","3,212 (2,513-4,050)","152,081 (118,997-191,759)","94,018 (87,355-100,817)","33,083 (30,755-35,543)","13,926 (12,648-15,289)","2,377,063 (2,314,292-2,552,373)","584 (465-788)","30 (24-41)","2,724 (2,149-3,327)","128,991 (101,741-157,512)","6,303 (4,971-7,722)","298,424 (235,394-365,643)","106,179 (99,767-113,024)","75,371 (70,829-80,162)","53,145 (49,842-56,512)","1,645,419 (1,615,956-1,741,537)","207 (167-277)","11 (9-15)"
"Bhutan","73 (56-92)","3,810 (2,939-4,799)","491 (392-590)","25,717 (20,563-30,903)","21,585 (19,273-23,879)","12,601 (11,287-13,908)","6,551 (5,804-7,353)","405,107 (390,547-448,120)","667 (522-935)","33 (25-46)","71 (56-89)","3,743 (2,934-4,675)","491 (387-617)","25,730 (20,256-32,322)","25,113 (22,132-27,815)","17,029 (15,016-18,861)","12,563 (11,076-13,908)","644,248 (621,478-702,764)","1,088 (866-1,479)","53 (42-72)"
"Bolivia","7,939 (6,216-9,878)","419,409 (328,407-521,840)","2,512 (1,940-3,125)","132,683 (102,469-165,089)","89,899 (80,713-99,446)","27,136 (24,390-29,827)","17,813 (15,755-20,028)","8,039,596 (7,754,639-8,839,644)","2,565 (1,980-3,550)","125 (96-174)","4,599 (3,649-5,601)","242,979 (192,789-295,879)","5,814 (4,638-7,109)","307,158 (245,047-375,566)","83,169 (77,720-88,132)","74,655 (69,805-79,378)","59,199 (55,295-62,955)","1,981,139 (1,934,180-2,123,824)","281 (222-390)","14 (11-20)"
"Burkina Faso","11,432 (8,879-13,911)","531,643 (412,936-646,953)","6,318 (4,962-7,685)","293,842 (230,745-357,408)","181,118 (166,341-195,816)","63,724 (59,185-69,050)","26,835 (23,793-29,570)","4,255,695 (4,138,330-4,606,349)","531 (423-736)","28 (22-38)","5,839 (4,716-7,043)","271,544 (219,324-327,535)","11,934 (9,586-14,441)","555,025 (445,818-671,589)","220,958 (207,907-235,259)","136,198 (128,377-144,775)","94,050 (88,306-100,314)","2,544,376 (2,489,789-2,695,358)","169 (134-226)","9 (7-12)"
"Burundi","9,154 (7,293-11,241)","418,110 (333,118-513,457)","5,040 (3,909-6,218)","230,218 (178,560-283,997)","120,491 (109,616-130,608)","42,608 (39,004-46,057)","17,638 (15,674-19,567)","3,946,155 (3,813,310-4,261,570)","621 (490-870)","33 (26-46)","4,701 (3,689-5,848)","214,742 (168,476-267,102)","9,488 (7,532-11,861)","433,365 (344,041-541,776)","175,301 (164,375-185,581)","94,413 (88,576-100,188)","64,752 (60,581-68,820)","2,079,430 (2,035,589-2,191,170)","178 (143-236)","10 (8-13)"
"Cambodia","13,619 (10,738-16,631)","685,249 (540,264-836,773)","18,163 (14,292-21,980)","913,878 (719,118-1,105,911)","541,771 (503,385-580,842)","231,636 (215,219-247,894)","220,580 (205,279-236,935)","8,245,501 (8,039,514-8,831,191)","364 (290-486)","18 (15-24)","6,296 (4,918-7,883)","316,787 (247,444-396,629)","25,770 (20,174-32,344)","1,296,637 (1,015,045-1,627,397)","703,580 (664,502-744,374)","376,883 (355,821-398,901)","358,793 (338,742-379,754)","6,659,503 (6,532,204-7,039,316)","207 (167-275)","10 (8-14)"
"Cameroon","14,443 (11,610-17,848)","660,603 (531,000-816,325)","5,927 (4,724-7,311)","271,071 (216,055-334,392)","161,818 (147,966-175,858)","52,422 (48,135-56,810)","28,487 (25,659-31,538)","4,101,835 (4,002,409-4,447,883)","547 (434-756)","29 (23-40)","7,894 (6,082-9,643)","361,028 (278,174-441,036)","12,728 (9,853-15,649)","582,130 (450,644-715,724)","173,071 (162,213-183,242)","129,689 (121,438-137,457)","98,655 (92,225-104,647)","3,209,684 (3,141,521-3,402,612)","200 (159-262)","11 (9-14)"
"Central African Republic","2,843 (2,241-3,480)","123,299 (97,217-150,921)","2,124 (1,634-2,594)","92,115 (70,861-112,511)","43,655 (40,179-47,430)","15,448 (14,267-16,756)","6,379 (5,664-7,065)","1,492,898 (1,450,830-1,619,383)","558 (438-766)","30 (24-41)","1,845 (1,474-2,295)","80,019 (63,919-99,534)","3,083 (2,434-3,821)","133,724 (105,581-165,712)","41,935 (39,630-44,455)","24,790 (23,343-26,387)","14,619 (13,674-15,607)","973,247 (951,888-1,031,374)","264 (208-360)","15 (12-20)"
"Chad","9,503 (7,440-11,668)","405,563 (317,526-497,964)","3,907 (3,089-4,852)","166,745 (131,811-207,068)","93,358 (85,052-102,549)","34,328 (31,425-37,505)","12,351 (10,888-13,967)","1,653,509 (1,598,681-1,808,100)","337 (260-473)","18 (14-26)","5,206 (4,131-6,438)","222,170 (176,295-274,752)","8,328 (6,663-10,280)","355,408 (284,350-438,736)","144,630 (135,351-153,815)","85,576 (79,898-91,134)","55,576 (51,850-59,279)","2,314,297 (2,265,595-2,453,874)","219 (175-295)","12 (10-17)"
