"cluster","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"americas","suspect_bite_incidence","a1",30430.7771951165,34962.111738694,32668.7719905159,341746.073423733,419732.702493768,381887.959416055,16306945.0861368,19997724.7363393,18171429.5295529,9213.15125531508,11394.4931017601,10315.884682118,909.585645146556,1124.94271198503,1018.45507186573,630108.88393016,725060.940608451,677127.791084972,190970.325198017,236411.279029274,213827.446203626,22041.1217036303,27285.7468075679,24679.1734694428,103411.770766652,127162.688629693,115387.923518548,67557.4142352119,83773.1294307421,75556.0561894798,0,0,0,1431.12510056441,2170.56294661423,1761.49987029732,68.9770181570634,104.716398820622,84.9817451041737,7.24516865331817e-07,1.10185649247528e-06,8.94017707187506e-07
"americas","suspect_bite_incidence","a3_1",17830.3578532339,20287.5684742894,19063.3668218201,353368.733038306,390931.919462214,372401.190984743,5900055.41099848,6667364.09131448,6301453.11399661,22138.7445703753,25361.235557183,23774.8533221378,2185.68909863089,2503.83556795358,2347.21700512686,386617.06467449,441816.955233192,414368.132317162,441504.77691576,504183.397514987,473245.388459572,50957.8675099282,58192.3143012275,54621.4341399895,298912.27065896,330958.605713037,315182.714472983,236838.2032823,262469.622471623,249847.255395626,0,0,0,232.640692828052,301.162700085366,265.046981725395,11.7022009056201,15.1014540270458,13.3154031030456,6.68927901804465e-07,8.4845080134293e-07,7.54319708233102e-07
"americas","suspect_bite_incidence","a5_1",2057.51786912361,7395.00625363828,3892.3392990645,107446.964196537,154257.882251716,124048.661110016,2560524.45366489,4780049.17322457,3251312.61712317,791.040383375715,3152.29941325849,1756.97423547891,78.0969461490918,311.216674517277,173.460578166673,52341.9542702333,186621.864754603,97720.3895767642,20050.4343657873,78873.0423055423,43553.7972213813,2314.10988771604,9102.84799342378,5026.69821427058,86610.2989107017,110112.295808813,96221.1410352779,67999.1209341739,85046.1973317553,75219.7857795996,0,0,0,812.271969754965,6042.73722768237,1850.51809609316,32.4638733186658,238.401277798795,74.6504971907947,7.18394233418937e-08,3.63963576261135e-07,1.82597526549259e-07
"americas","non_suspect_bite_incidence","a1",30413.1945292158,31975.6076410703,31198.1645179938,334577.97579994,394780.466489064,364562.492247663,15839501.3213416,18620748.4086595,17223611.4136567,9029.67513595567,10592.0882478102,9807.11825903218,891.471620990029,1045.72378715432,968.226152102317,630303.306828136,662472.863802755,646458.670749084,187207.483613591,219377.040588209,203221.676667261,21607.949704523,25321.0458967109,23456.3537582615,101364.140662166,119199.384863546,110230.210865538,65199.8323331253,78958.0637793155,72051.0352582942,0,0,0,1495.4087381793,2062.17257302122,1756.23572172122,72.2021834138688,99.4658335726258,84.752826057317,7.57526991124362e-07,1.04495417991184e-06,8.8969423010496e-07
"americas","non_suspect_bite_incidence","a3_1",18257.7986854227,18257.9024005798,18257.8503563959,345789.059619561,373805.42258996,359997.054919001,5914647.18956151,6294586.81443522,6107326.74650401,22747.3803764462,22747.4840916033,22747.4324206301,2245.77781062342,2245.78805009692,2245.78294878313,396888.005886954,396890.066024051,396889.032248883,452790.281392295,452792.341529392,452791.315167463,52263.3812605542,52263.6190723922,52263.5005943467,292936.496915549,317069.428388954,305175.079678705,232197.151150213,251353.955164458,241912.18024497,0,0,0,260.013246552605,276.716998189073,268.484224222385,13.0626043046216,13.9017710253848,13.488171132976,7.17425848717955e-07,7.7653294591562e-07,7.45389579141885e-07
"americas","non_suspect_bite_incidence","a5_1",3868.26809406679,3868.27567638493,3868.27187158367,109959.07453936,137975.437509759,124167.0698388,3050937.15937314,3430876.78424685,3243616.71631564,1756.68927298549,1756.69685530363,1756.69307778674,173.432444709809,173.433193288395,173.432820345952,97071.061202767,97071.2485904474,97071.1545594574,43481.4213773565,43481.608765037,43481.5154083466,5018.34813499464,5018.36976319618,5018.35898800909,84190.1737676985,108323.105241104,96428.7565308547,65680.2647424718,84837.0687567173,75395.2938372286,0,0,0,1736.74652525397,1953.03565463008,1846.43336808856,70.166151759922,78.9044303421396,74.5976005172305,1.62171243990419e-07,2.08658181434663e-07,1.82175228737358e-07
"americas","p_rabid","a1",29640.6708162488,33003.0276742979,31250.0000365729,334585.451629038,393473.902913177,363873.002857271,15831138.6839053,18499663.3163557,17180955.0815119,8936.92733901921,10715.5595928749,9785.46769161524,882.314920706432,1057.91372737624,966.088659209171,614218.062176782,683776.246953501,647550.001770552,185017.882944932,221855.775232157,202755.815293928,21355.2373974097,25607.1529820497,23402.584012225,101317.609878946,118459.505322748,109955.632278424,65352.1682609619,78948.1277115918,71980.8691502114,0,0,0,1477.39728818567,2070.02503372552,1755.76228167751,71.3577938971346,99.9885147419068,84.7371753880661,7.5442889236032e-07,1.05762064518476e-06,8.89946925759745e-07
"americas","p_rabid","a3_1",17322.7152562959,19240.8164517834,18280.5811535768,359752.638622753,359752.638622753,359752.638622753,6104012.13225491,6104012.13225491,6104012.13225491,21582.4169211679,23972.1189418714,22775.7526370992,2130.7646075752,2366.69242358231,2248.57891529382,376561.109928115,418256.757223765,397383.154124457,429601.49176688,477168.898080945,453355.033649922,49586.8120079748,55077.2864963203,52328.5678786651,304964.54265309,304964.54265309,304964.54265309,241745.055229847,241745.055229847,241745.055229847,0,0,0,254.629644841,282.823381391921,268.004848380384,12.7921416437738,14.2085450102841,13.4640881410581,7.07702499884348e-07,7.86062495440353e-07,7.46832810101718e-07
"americas","p_rabid","a5_1",3670.14860762243,4076.53294669937,3873.08781869423,123922.653542552,123922.653542552,123922.653542552,3240302.10206654,3240302.10206654,3240302.10206654,1666.72342242877,1851.27070851482,1758.88013475185,164.550397302568,182.770174404109,173.648741648605,92099.4120314102,102297.29804373,97192.0068571289,41254.59414709,45822.4927572558,43535.6492536091,4761.34194979847,5288.53965235921,5024.6067709202,96218.2195052396,96218.2195052396,96218.2195052396,75228.1688221058,75228.1688221058,75228.1688221058,0,0,0,1750.31241361026,1944.1150574009,1842.25294154209,70.7142258548003,78.5440305269638,74.428707452845,1.73223265926056e-07,1.92403342946291e-07,1.82801151777296e-07
"americas","p_transmission","a1",25208.8647139247,37674.406101913,31277.8353342693,337253.808324939,394963.162026049,365589.974193374,15936823.5940778,18545529.2594029,17255024.3524265,7866.65621501014,11896.6737547348,9848.43084978058,776.650395742521,1174.52143923675,972.304815142489,522443.949727201,780610.874986643,648111.057548926,163079.586284301,246605.154039378,204076.216203489,18823.0488404066,28463.7778362871,23554.9869414354,101836.207022977,118587.923764438,110418.479240642,65880.1383059458,79093.6194370502,72376.5078560455,0,0,0,1339.60331455967,2357.48566513136,1752.05823299363,64.6248601581663,113.720727909329,84.5518633843209,6.633606496591e-07,1.16821650201982e-06,8.9191871845267e-07
