"country","variable","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Afghanistan","suspect_bite_incidence","a1","asia",6793.00830379933,7913.50931744702,7332.1444924175,502925.586832414,576072.940738996,538115.039277904,9051009.82103286,10307218.2871436,9655237.48403299,9067.83065173661,10410.7730457289,9722.06126982803,895.238595880133,1027.8231036108,959.828741243048,132523.859745873,153699.752220526,142720.181488244,176417.19078046,202782.833689895,189261.292946429,21028.3462342239,24171.0437532966,22559.3207737168,143968.565487741,163328.675916142,153437.402097376,107094.764857335,124662.32131577,115620.117541576,0,0,0,TRUE,869.388832248737,1136.67961864391,993.126582528087,44.6340040541798,58.4252489314959,51.0153837254293,5.55189136315065e-07,7.23128205831526e-07,6.33617432055981e-07
"Afghanistan","suspect_bite_incidence","a3_1","asia",3377.46925581358,3836.30502590634,3611.31355654337,440058.039833509,482663.945948482,462126.91019196,6643132.78221344,7284878.77164726,6973723.2452698,12564.4392505928,14334.9818632048,13452.8926304642,1240.44784080389,1415.24798246259,1328.16206781679,68226.2626300717,78087.6709782867,73287.5098705036,241795.153186849,275182.106929187,258835.835981186,28821.1833352322,32800.7979062044,30852.3764195435,247033.929716874,271564.947538187,259343.788273832,196210.023100612,215846.251071765,206043.849230034,0,0,0,TRUE,463.421080375769,579.801344600677,518.380948754305,24.1408602337757,30.1283076837269,26.9426496483149,4.62667931354655e-07,5.80283926164887e-07,5.18728160794032e-07
"Afghanistan","suspect_bite_incidence","a5_1","asia",1292.70017621265,2095.22037441206,1619.92735643704,209620.996583339,271383.88592005,236104.415643446,3551934.09595041,4558546.15197537,3986702.6848751,2581.95062771821,5236.25949381939,3660.81866443198,254.907920468013,516.959543792664,361.421191769856,30230.7516961569,47859.7262562733,37412.8731922542,59439.7922381104,115786.564305378,82606.518765668,7085.02683748528,13801.3758903727,9846.42409350042,108725.167992912,145501.035675848,123674.083094708,85641.9957183906,115029.465997712,97510.5117778181,0,0,0,TRUE,678.334238427818,1765.54350150528,1089.01943808618,30.6765652583183,76.6918251280935,48.2613569055522,1.77452388275117e-07,4.81605095718108e-07,2.96005320826076e-07
"Afghanistan","non_suspect_bite_incidence","a1","asia",6455.86592304266,7151.49220330395,6804.06535219294,479241.611790544,524648.913573334,502481.09079398,8615550.6796481,9385417.99573582,9012994.46981405,8632.24399683932,9327.87027710061,8979.67084795033,852.234486044923,920.911495829967,886.534853829152,125629.228378346,139190.173358417,132443.06582817,168047.445055946,181608.390036017,174794.552586194,20030.7001986598,21647.1200330458,20834.9331228885,136927.069210428,149079.432968092,143226.817967048,101915.231036144,113768.166740978,108013.727429942,0,0,0,TRUE,923.635344800923,1087.25124071705,1003.71100705449,47.4402679190065,55.8498107044188,51.5633601646114,5.79036546153683e-07,6.81229090119911e-07,6.26954572852149e-07
"Afghanistan","non_suspect_bite_incidence","a3_1","asia",3342.05738178305,3342.11781459561,3342.087489458,417819.485434886,456177.5357106,437272.081711885,6321564.56284556,6871004.25382656,6600203.03405011,12441.6183855477,12441.6788183602,12441.6487106853,1228.32212044245,1228.32808678526,1228.32511434856,67836.9428665054,67838.10459296,67837.5216395426,239399.513821404,239400.675547858,239400.096774821,28535.631038395,28535.7695123499,28535.7005245162,234189.078453457,256545.948596195,245526.963611278,186053.647001537,203850.442699255,195078.972304662,0,0,0,TRUE,508.095784751878,552.259685267956,530.492637071617,26.4057924998704,28.7009950193652,27.5697592564394,4.84966473009123e-07,5.31266398096907e-07,5.06732479711803e-07
"Afghanistan","non_suspect_bite_incidence","a5_1","asia",1538.64043416194,1538.65736324217,1538.64886824308,211934.382592688,250292.432868401,231386.978869686,3607189.61697939,4156629.30796039,3885828.08818394,3525.08452622888,3525.10145530911,3525.09302122797,348.020584285565,348.022255640776,348.02142297029,35475.7347373413,35476.1156700908,35475.924518338,79367.8765988793,79368.2575316288,79368.0677506321,9460.38864814102,9460.4340540661,9460.41143279836,110649.742577579,133006.612720317,121987.6277354,87222.1783008338,105018.973998552,96247.503603959,0,0,0,TRUE,1023.28675151935,1179.15734418066,1102.33348872885,45.4487691825904,52.3716834326784,48.9595904034465,2.65030772089606e-07,3.18581984303994e-07,2.88971356084911e-07
"Afghanistan","p_rabid","a1","asia",6231.57908266536,7379.58256068641,6797.60032333436,482301.726693982,520484.848755241,502061.579841886,8687161.78857243,9307995.46416267,9010504.51618456,8326.13251722081,9646.62151758603,8986.9539363071,822.013055835043,952.380810148554,887.253890393089,121317.409246655,143638.58473601,132316.542894743,162103.661386443,187744.446996363,174936.999420575,19322.2208243386,22378.5177483379,20851.9123148827,138317.467113995,147961.082276652,143220.074608881,102385.038711634,113584.229955123,107810.715312062,0,0,0,TRUE,900.53929997518,1117.92545277307,1002.62052971945,46.2712049679994,57.4200199091932,51.5071399762719,5.62724494110752e-07,6.97426125482455e-07,6.27492616579732e-07
"Afghanistan","p_rabid","a3_1","asia",3083.3524808368,3580.44449659076,3334.55757292075,436937.443965023,436937.443965023,436937.443965023,6595409.69187279,6595409.69187279,6595409.69187279,11478.4270986373,13329.022335725,12413.6170996253,1133.22925331965,1315.93274053967,1225.55764094842,62585.7216165315,72675.6894022104,67684.679809848,220865.949501115,256474.789642569,238860.717263028,26326.4914088773,30570.9474972041,28471.408268895,245331.921042699,245331.921042699,245331.921042699,194923.712077126,194923.712077126,194923.712077126,0,0,0,TRUE,494.815713092137,574.591765509039,531.304424724997,25.7156256997592,29.8615957179923,27.6119479479335,4.67873363150304e-07,5.43305668462325e-07,5.05992740238018e-07
"Afghanistan","p_rabid","a5_1","asia",1419.52932580624,1648.38656807563,1535.18220877236,231052.341122824,231052.341122824,231052.341122824,3881034.74600662,3881034.74600662,3881034.74600662,3252.18335487,3776.51262289782,3517.15082320991,321.07790407411,372.843294906391,347.237314568296,32729.4381638216,38006.0979207331,35395.9953382741,73223.4602472017,85028.8227402921,79189.2478139681,8727.99452102279,10135.1547236481,9439.09668719382,121792.585166821,121792.585166821,121792.585166821,96092.2433764228,96092.2433764228,96092.2433764228,0,0,0,TRUE,1027.6768896455,1193.36283429252,1103.45985744922,45.64375491662,53.0026132731816,49.0096175067096,2.67026383454744e-07,3.10077384245115e-07,2.88782015620445e-07
"Afghanistan","p_transmission","a1","asia",5423.2238277616,8265.12581751506,6764.25547633755,483040.833201174,523681.381207217,502461.206200559,8698869.33988591,9346111.69598563,9014023.50299679,7195.91953593121,10890.4108149249,8947.1114997458,710.430658536807,1075.17624236223,883.320371083622,105636.961764003,160866.133950487,131669.515577193,140074.543023414,211953.910854759,174159.4029093,16696.4227027205,25264.2058488404,20759.2253800252,138364.607436911,148450.134385546,143254.077152692,102519.325843649,113538.832347949,107976.525947587,0,0,0,TRUE,798.764113468009,1298.80714331475,1007.47861510979,41.0413249975218,66.7224143249452,51.757317448379,4.84736478394987e-07,7.87080671615426e-07,6.24562433235963e-07
