"year","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"suspect_bite_incidence","a1",22774.4026716229,38210.5845475557,30285.7917078422,1686399.33060032,2138521.36443585,1907831.84034863,25036954.6894066,33381028.91791,29077976.7657414,14218.6699414771,24469.9239897136,19177.2648115305,1403.76486974348,2415.83916100699,1893.3114525477,557928.305189964,935992.369301664,741926.370432975,349603.784221519,601563.486724866,471478.651887572,41370.1620866154,71186.0828893096,55792.0866440575,689321.071598147,825722.424019245,755892.529153435,483298.36915218,582806.625077765,532117.865485558,0,0,0,1023.17255664265,2347.68997770563,1516.27341289348,41.6198044627292,95.4824587847104,61.6740050675196,1.72196727712286e-07,3.54985869400186e-07,2.53703589755122e-07
2020,"suspect_bite_incidence","a3_1",22439.6725356868,37879.1176466215,30030.9227156359,1718897.92400137,2086438.04765717,1899609.91412424,25463629.7648065,32456133.2686008,28901701.2644373,14185.8517696725,23946.3675598818,18984.9089122754,1400.52483415238,2364.15007007575,1874.32075545905,549729.987096514,927967.496975089,735701.407741639,348770.054912602,588739.829646002,466758.560055896,41271.2729567066,69667.7993668812,55233.2967422636,705233.421242906,802466.539171217,753040.964190603,501479.764138798,559535.579895118,530024.625851247,0,0,0,1063.3608500801,2287.92276950108,1522.35132641325,43.2510737045213,93.0588300556189,61.9200240504988,1.76778109456421e-07,3.39552364345958e-07,2.52109909222284e-07
2020,"suspect_bite_incidence","a5_1",20735.1149021095,50349.1704788122,31672.5447304666,1652358.9958904,2518542.3807921,1953171.63970891,24945771.3730808,36883542.4564093,29518252.387334,13040.2125531571,32171.6343633381,20058.86948283,1287.41945283585,3176.20496905597,1980.34952795601,507682.555513482,1234946.63096398,776076.52255824,320445.908514043,791756.867894697,493246.520604756,37923.5261054014,93668.4430809942,58365.1499495923,694920.224983661,878237.830075863,763063.391353876,495191.856102933,604974.902798566,536012.737299531,0,0,0,775.396459233302,2828.44641573573,1471.58105857366,31.506858209405,115.100681507977,59.8448263783847,1.48481562813466e-07,4.62954353704333e-07,2.62872910823835e-07
2020,"non_suspect_bite_incidence","a1",28223.8987479303,30732.7340687811,29511.1843220773,1667866.48254952,2117300.87518531,1893261.22205209,25649292.0933157,31939759.7243415,28810312.7050512,17447.236386145,19956.0717069958,18668.7861328488,1722.51115004336,1970.20062464805,1843.11094089051,691387.612942255,752965.94196148,722980.684229566,429006.81421089,490585.143230114,458992.071942804,50764.896028391,58053.0885138038,54313.8261588312,652598.372634202,850594.162102768,753145.411575161,457395.083665635,605271.840331106,531191.433137887,0,0,0,1285.28762924439,1830.64864930157,1543.2343859978,52.2830592146257,74.450471802158,62.7686499749418,2.05118223983731e-07,3.05794077089765e-07,2.47877579095969e-07
2020,"non_suspect_bite_incidence","a3_1",29519.0400652085,29519.0981000337,29519.0689782043,1704685.73805376,2067814.13535838,1888839.78286851,26387484.8719789,31077330.5319143,28765855.8675954,18660.8723548924,18660.9303897176,18660.9014767218,1842.32963831243,1842.33536790944,1842.33251341969,723171.896001644,723173.326334694,723172.608594699,458799.429837676,458800.860170726,458800.14757767,54290.9855127837,54291.1547730577,54291.0704474555,663705.224401046,836551.310493388,751361.012603152,464407.878778349,592254.03797026,529242.762263023,0,0,0,1414.04979928111,1665.3739407722,1541.50408561338,57.5140265913184,67.7362012915088,62.6980091865067,2.23069070848583e-07,2.8116292751135e-07,2.48361322502875e-07
2020,"non_suspect_bite_incidence","a5_1",31156.0638905014,31156.1243215181,31156.0939972817,1760417.99291959,2123546.39022421,1944572.03773435,26953842.0231311,31643687.6830665,29332213.0187476,19719.8200222294,19719.8804532461,19719.8503464659,1946.87623376917,1946.88219993468,1946.87922758631,763443.418842304,763444.908307904,763444.160895242,484921.643754767,484923.133220366,484922.391167428,57379.7210846534,57379.8973411059,57379.8095300021,673347.76794322,846193.854035562,761003.556145326,470084.598402026,597930.757593937,534919.4818867,0,0,0,1366.83597484458,1604.66412205566,1487.44602537029,55.5837413738774,65.2552594642884,60.4884689859994,2.33041399771271e-07,2.92863233414757e-07,2.59129542657486e-07
2020,"p_rabid","a1",27673.0290686427,31311.7674167412,29507.4601814787,1792699.17986619,1977708.73196639,1885697.7183198,27252181.5518972,30221782.0160315,28736095.981227,17109.4110361371,20292.630965152,18659.1678489907,1689.15870847169,2003.42806892597,1842.16135776897,677837.939385415,767173.52523007,722884.270097278,420677.779093122,498900.364830747,458755.280653081,49779.1725493556,59037.3603245417,54285.9246441067,717080.009642212,782287.572526098,750061.677810613,498793.485358166,559567.188092971,528317.048407002,0,0,0,1342.95950085017,1766.38353898913,1540.05238678323,54.6244971401104,71.840690233704,62.6392702015735,2.18709994086814e-07,2.82989773697318e-07,2.48768446662357e-07
2020,"p_rabid","a3_1",28168.9969346397,30825.4494471575,29520.8294647441,1885671.83069622,1885671.83069622,1885671.83069622,28724941.395314,28724941.395314,28724941.395314,17761.3842226812,19534.2997120669,18657.4654638379,1753.52598466927,1928.5603930399,1841.99328660042,690022.240492491,755257.146485182,723208.081546359,436633.315257487,480327.949830516,458710.218191976,51667.931728373,56838.4177412203,54280.4768775945,749853.093811968,749853.093811968,749853.093811968,528127.425316816,528127.425316816,528127.425316816,0,0,0,1470.48738980747,1617.26929811205,1539.59504580025,59.8027689320383,65.7873331959899,62.621106433021,2.36864852185767e-07,2.60508356547039e-07,2.48814942790866e-07
2020,"p_rabid","a5_1",29743.2199512857,32526.1892395121,31158.4299337188,1941404.08556206,1941404.08556206,1941404.08556206,29291298.5464663,29291298.5464663,29291298.5464663,18777.2536606827,20637.8043119104,19716.6524752327,1853.81960110331,2037.50595526453,1946.56351174836,728749.458437175,797097.176897392,763493.683936425,461692.170956171,507551.116950743,484838.21337841,54630.9447948665,60057.3087148303,57369.8999562107,759495.637354142,759495.637354142,759495.637354142,533804.144940492,533804.144940492,533804.144940492,0,0,0,1419.30304715419,1559.93517879554,1485.61215364834,57.7110315950875,63.4433511961088,60.4145831294136,2.47233199733669e-07,2.71730386547135e-07,2.59601918767034e-07
2020,"p_transmission","a1",23833.3678550283,35668.6006368597,29567.7618222135,1794525.90637923,1982109.87357274,1886502.36905953,27249195.0866065,30250142.3106566,28728358.5116186,14824.6743992007,22941.6501184616,18665.3877140606,1463.593796933,2264.95745542971,1842.77542561889,583835.335698785,873900.96242202,724362.227414193,364478.651093935,564001.771740942,458910.196051663,43129.669205707,66740.1735497333,54303.8798132347,717021.299653974,783759.707947811,750072.352463511,497626.843332736,559945.139245244,528770.927390029,0,0,0,1187.76090411554,2040.52659074169,1539.12465959534,48.3140239125394,82.9956493195548,62.6012643841637,1.89148207656879e-07,3.19957721333146e-07,2.48847829849437e-07
2020,"p_transmission","a3_1",23573.3720207254,35697.4341722743,29488.4180658467,1885671.83069622,1885671.83069622,1885671.83069622,28724941.395314,28724941.395314,28724941.395314,14902.255657744,22566.6554665708,18641.524929273,1471.25315225539,2227.93540478554,1840.41952741483,577512.011623458,874533.223837386,722421.707544895,366389.432548818,554827.690377505,458323.752429628,43355.8589704387,65654.2710019116,54234.6973126972,749853.093811968,749853.093811968,749853.093811968,528127.425316816,528127.425316816,528127.425316816,0,0,0,1272.89316034739,1927.55660988725,1540.91156728316,51.772724926129,78.4000269753596,62.6739095301951,1.98735669436083e-07,3.00947687657731e-07,2.48602360690499e-07
2020,"p_transmission","a5_1",24880.6694412914,37677.0899670146,31123.7432906313,1941404.08556206,1941404.08556206,1941404.08556206,29291298.5464663,29291298.5464663,29291298.5464663,15747.9128072562,23847.2437699298,19699.3742407139,1554.74224112366,2354.36388791784,1944.85768562479,609672.116566455,923233.647415006,762651.444141015,387250.1772808,586417.354956636,484418.8720187,45822.4693646332,69389.4873614481,57320.2292066705,759495.637354142,759495.637354142,759495.637354142,533804.144940492,533804.144940492,533804.144940492,0,0,0,1228.28863700388,1860.01147612207,1486.91517753534,49.9495765240991,75.6392127490927,60.4668815325088,2.07346981769602e-07,3.13987896665299e-07,2.59374422601566e-07
2020,"p_prevent","a1",28282.0362503853,30742.74877537,29533.6258777272,1790840.05166698,1977543.01862271,1885112.41429286,27249863.1013534,30200883.6945902,28712712.8690802,17437.2216795561,19897.9342045409,18646.344577199,1721.52242934387,1964.46089062955,1840.89535619987,692799.102290825,753212.39223963,723528.277293112,428760.363932739,489173.653881544,458444.478879257,50735.736868905,57885.6501249846,54248.9440952755,716112.9290586,783283.571760119,749945.256155199,495666.83038757,557843.423919042,527682.077355831,0,0,0,1369.48201864768,1731.9779635536,1539.85746376212,55.7059091084085,70.4376762291579,62.6307310740728,2.22616971786768e-07,2.77860284280841e-07,2.48636076089001e-07
2020,"p_prevent","a3_1",29400.7966792158,29653.0904452092,29518.4048589754,1885671.83069622,1885671.83069622,1885671.83069622,28724941.395314,28724941.395314,28724941.395314,18526.8800097169,18779.1737757103,18661.5655959508,1829.10099261307,1854.00916806229,1842.39807983671,720256.46246031,726478.343751075,723156.060616454,455494.412421294,461716.29371206,458816.695555915,53900.3786882507,54635.7537563313,54293.0206861986,749853.093811968,749853.093811968,749853.093811968,528127.425316816,528127.425316816,528127.425316816,0,0,0,1529.61689041229,1550.44677680476,1539.25678141103,62.2134020100832,63.0632135367357,62.6065739837782,2.47073462290237e-07,2.50438038206179e-07,2.48869621929309e-07
2020,"p_prevent","a5_1",31026.1451371238,31303.6669772058,31155.3088332938,1941404.08556206,1941404.08556206,1941404.08556206,29291298.5464663,29291298.5464663,29291298.5464663,19572.2773665417,19849.7992066237,19720.6355104538,1932.30980823883,1959.70867264014,1946.95674437429,760238.87438251,767085.529260067,763424.60502717,481281.022802604,488127.677680161,484941.947035501,56949.4922523966,57758.6323244593,57382.114491755,759495.637354142,759495.637354142,759495.637354142,533804.144940492,533804.144940492,533804.144940492,0,0,0,1475.64709554805,1496.570787237,1485.31210015718,60.0074527338297,60.8611126528462,60.4016598801711,2.57700984757803e-07,2.61355012857934e-07,2.59654361928327e-07
