"variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"suspect_bite_incidence","a1",539518.207820472,621339.582472522,580189.689457724,32282295.5073912,36166738.8701032,34194286.5179226,398611145.920483,449127880.570342,423374158.866785,335694.751866605,393841.105974784,363738.196259566,33142.0942723312,38882.7021869029,35910.735940467,10502858.3292233,12102197.643018,11293390.6639871,6552888.67641831,7710793.64191869,7110777.29509164,775442.304102731,912453.02799072,841457.450659882,12719973.6857758,14031209.7658176,13373399.8827771,8738171.13563167,9919463.35359401,9331840.00669379,0,0,0,1012.11158478212,1337.90557663771,1163.95298382318,51.6952163981523,68.5389150874187,59.5397860595392,2.39248616098958e-07,3.09624151514715e-07,2.71986330662262e-07
"suspect_bite_incidence","a3_1",306688.173091851,348819.474133469,328157.336981966,33707640.9154845,35061086.2780126,34400446.5089923,364332129.965489,382936789.81995,373919408.31647,572159.893312023,655646.651719715,614565.235373739,56487.5590623746,64729.9459398989,60674.1060263805,6270569.21321419,7156978.08955248,6718306.65188178,10885870.4300186,12418183.1098506,11661322.4609936,1288389.64129486,1469750.69992165,1380170.4373114,20873628.0531565,21679744.5502476,21282971.8103336,16022363.3028862,16626937.3035139,16330393.4394223,0,0,0,555.683658278239,669.282825126503,608.429157384856,29.3386018504177,35.1774157410483,32.0649231309063,2.63914499539381e-07,3.14102871839075e-07,2.8875912670962e-07
"suspect_bite_incidence","a5_1",117045.795651692,204011.037908181,150923.100751189,26438428.2410901,28411867.1999206,27193025.2217396,284996749.54587,312050840.052571,296054615.058981,92298.0853364965,191887.118375199,132945.825846461,9112.30166205688,18944.415816676,13125.32611492,2662412.35185583,4581113.36616741,3396950.28510458,2084405.7941728,4220344.50682037,2950639.83086167,246667.391138124,499452.822716941,349183.780832455,16256760.1965287,17243380.7896842,16658622.7133808,12532286.1777814,13190375.016733,12803710.256728,0,0,0,1485.23127534081,3380.90263644049,2226.88161267202,67.5292619086654,149.707336702357,100.335734630317,5.35266758080955e-08,1.18035276436059e-07,7.98060128582381e-08
"non_suspect_bite_incidence","a1",544220.203397986,580626.108757889,562421.708710257,29939290.9899523,37626673.3462377,33830716.6577902,375422884.54364,460197404.852168,418378786.500264,334158.675155663,370564.580515565,352363.075203295,32990.4422167644,36584.6835351002,34787.7057700224,10593505.8972861,11303058.0893167,10948491.0926639,6534373.35995784,7243925.55198847,6888940.35661064,773251.994432722,857196.496447306,815199.550811284,11576039.3230316,14957294.1535948,13301504.6428488,8028487.17626873,10576326.98608,9302254.02358798,0,0,0,1013.11054613292,1377.18227616803,1187.35138822047,51.8258894088974,70.4271671515166,60.7319507562273,2.23408506728706e-07,3.20113443099914e-07,2.64904674068383e-07
"non_suspect_bite_incidence","a3_1",318751.452474169,318754.06167835,318752.752381753,30385175.5983094,37844532.6442478,34168054.5522091,334842278.015948,406172255.927595,371015995.209312,596030.722235202,596033.331439382,596032.031531799,58844.2514388019,58844.5090373805,58844.3807015652,6526937.53968949,6526986.53651333,6526961.94994583,11310444.9127612,11310493.909585,11310469.4993287,1338633.51245822,1338639.31050377,1338636.4219129,18762476.7645467,23461834.3556474,21145671.565217,14370121.7579006,18040646.9530357,16231562.6870482,0,0,0,561.78448478263,681.461946129874,622.476604580802,29.6045672888066,35.9112536297599,32.8028818990522,2.54042677652668e-07,3.17673055065757e-07,2.81869521000329e-07
"non_suspect_bite_incidence","a5_1",148280.884479785,148281.356441189,148281.119611329,23429262.2377906,30888619.2837289,27212141.1916903,259459944.25363,330789922.165278,295633661.446995,131082.084169109,131082.556130514,131082.320998969,12941.324720717,12941.3713159923,12941.3481021894,3337022.9998098,3337033.47157059,3337028.2168493,2907910.91007023,2907921.38183101,2907916.16479152,344125.596874205,344126.835887307,344126.218610001,14297234.2260341,18996591.8171348,16680429.0267044,10963090.3357427,14633615.5308777,12824531.2648903,0,0,0,1979.36286804856,2523.53267238661,2255.32824864552,89.2252266085192,113.755177649954,101.665125365878,6.90029482293101e-08,9.16838558130518e-08,7.85845021066987e-08
"p_rabid","a1",531419.901835774,593161.067042574,562325.772246199,32123716.8080292,35203887.5967508,33703421.2671918,398036156.562082,435928976.002771,417360049.748214,327613.562862896,377368.208078654,352206.524884747,32344.2637244772,37256.3844325254,34772.2500460743,10342917.7406362,11549055.4460847,10946709.5887628,6404090.01407078,7377019.82634212,6885704.42830406,757829.669411735,872952.921769369,814818.700552037,12698883.1229889,13777278.1082543,13248504.8312021,8742078.07070246,9783987.05396356,9252894.56902964,0,0,0,1054.76865311113,1330.61944137278,1184.98670598106,53.95622703097,68.0704011100668,60.6125421289698,2.37792661430428e-07,2.9716645505265e-07,2.65846244064652e-07
"p_rabid","a3_1",304310.331658042,332720.797525637,318798.198254311,34102978.7097992,34102978.7097992,34102978.7097992,370393708.546655,370393708.546655,370393708.546655,568279.688778878,622944.343467614,595992.496391354,56104.4785890626,61501.3491954236,58840.4775206415,6230492.40758799,6813713.07647811,6527810.48368535,10781558.6396578,11823582.2426727,11309482.9597495,1276036.90767232,1399360.88395821,1338520.7964189,21104674.1103234,21104674.1103234,21104674.1103234,16199540.8227388,16199540.8227388,16199540.8227388,0,0,0,594.585555564823,651.780656357011,621.473778259514,31.3266910945028,34.3543749958597,32.750719892756,2.69267218156618e-07,2.9516889965285e-07,2.82398341370182e-07
"p_rabid","a5_1",141457.237093473,154870.10819611,148312.882962766,27147065.3492804,27147065.3492804,27147065.3492804,295011374.784338,295011374.784338,295011374.784338,124681.173954667,137236.473501955,131069.249329084,12309.3828491919,13548.9283556373,12940.0575770524,3182882.45522136,3485798.45426542,3337647.94695247,2765324.4912773,3044978.14873913,2907528.95120415,327251.745633312,360345.493331944,344080.648949217,16639431.5718108,16639431.5718108,16639431.5718108,12792509.4005809,12792509.4005809,12792509.4005809,0,0,0,2149.65721033436,2366.12605918838,2250.80540473405,96.8845621787128,106.682371531766,101.464638782757,7.49311497911335e-08,8.24766596801599e-08,7.87702685415836e-08
"p_transmission","a1",453475.350911126,682475.257894959,563370.552089385,32179103.9149961,35317987.3128496,33716107.8162455,398436782.964864,437174253.276195,417282995.335796,280722.406481214,431102.116756706,352455.715870242,27714.8463245952,42561.365392539,34796.8518936968,8827426.09699628,13286789.6648125,10967148.3345377,5488215.13265565,8430588.0865477,6890476.66310747,649452.659682209,997622.250428575,815379.200074048,12697229.2467939,13810286.6439364,13249748.6915768,8726984.86951754,9800476.09655752,9261262.4398493,0,0,0,924.228315004362,1557.31870054858,1183.9302827179,47.2608528461534,79.6569089784667,60.5593801035543,2.0327051401534e-07,3.39524559553463e-07,2.66009359176983e-07
