"year","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"suspect_bite_incidence","a1",43460.0592532495,73519.0009947254,58224.1538038345,3675546.52900815,4822258.54684391,4234829.64380133,55405391.751081,75711503.902521,65199634.2693154,37368.7048310405,63426.3059962468,49890.6633211719,3689.29550271133,6261.88107197053,4925.54935072819,1070116.98488222,1810310.88542135,1433750.28581513,925894.985019509,1571134.18126458,1235911.497509,109446.790436278,185723.565054479,146095.648101551,1430844.80301104,1804697.92739664,1612157.45415574,1020880.11436885,1298358.09841973,1155781.65522593,0,0,0,873.539628089954,2026.06711270418,1306.85041907725,35.2645830074717,81.7711566943261,52.754290578837,2.07063488375291e-07,4.4327872500759e-07,3.09465202623764e-07
2020,"suspect_bite_incidence","a3_1",43156.9262218129,72850.6780184619,57756.7046386362,3718497.56155519,4719050.74470392,4210449.17530582,55895524.5664387,73912628.6707001,64754167.5536221,36879.2340439906,62253.8573116904,49355.4536208733,3640.9715808217,6146.12887561662,4872.70976880404,1062741.5441073,1793951.69684707,1422261.82419128,913578.274633376,1542162.50313429,1222641.18581485,107993.16593344,182297.473121054,144527.180659953,1451050.64261666,1761703.09144442,1603792.12212049,1046264.19525963,1256324.05203179,1149546.3468371,0,0,0,897.86443732447,2004.18014600127,1311.99619906312,36.244899258565,80.9045384757662,52.9625276040946,2.0933853282708e-07,4.29026082779776e-07,3.07742212598083e-07
2020,"suspect_bite_incidence","a5_1",41251.8052666967,87583.9426146881,59729.6054259945,3657178.53001314,5215860.85165946,4280280.08377415,55190173.7577142,80833170.1967569,65782582.0493542,35891.1837450813,71836.1197328974,50794.9444491483,3543.42446109411,7092.15571321239,5014.82620187179,1014873.08942941,2160100.14113494,1470971.74746253,888800.919766343,1780577.70950169,1258344.40384433,105086.669954486,210385.434200385,148741.0471468,1441336.95826835,1865814.88608628,1620058.75587691,1040326.68880019,1322613.73916969,1160083.93803969,0,0,0,768.278882029312,2252.17342428375,1295.06160037659,30.995655771272,90.9463169975197,52.2770887273657,1.92361975524626e-07,4.98399207213854e-07,3.13537668093116e-07
2020,"non_suspect_bite_incidence","a1",53944.9391274715,59630.5175150561,56837.7626564725,3764349.84902423,4624413.18611949,4194593.95029947,58270760.6424153,70543564.2278731,64428677.1034061,45894.1781854894,51579.756573074,48686.933044073,4530.98885674289,5092.30825142004,4806.70882045406,1328081.14063632,1468566.21806302,1399539.13587405,1137020.75218219,1277505.8296089,1206047.83437116,134405.835298747,151017.467566185,142567.518228289,1419638.62814684,1776830.77434553,1600836.07124939,1011251.21994144,1286539.38402994,1149129.78511772,0,0,0,1129.72151312622,1537.09178412039,1323.32585100571,45.6129117314907,62.0424597286237,53.4213281324778,2.58292341893919e-07,3.63330185234568e-07,3.04134407754036e-07
2020,"non_suspect_bite_incidence","a3_1",56862.6890339669,56862.88104829,56862.7846956543,3835660.96503669,4529692.56156339,4187626.62423138,59733740.364667,68840033.548392,64351833.4014537,48661.8146522555,48662.0066665787,48661.9110048912,4804.22896008997,4804.24791706432,4804.23847268472,1400147.73026178,1400152.50442456,1400150.10875345,1205434.46582066,1205439.23998344,1205436.86149177,142494.828159835,142495.39222922,142495.111209407,1442783.60176042,1749156.32981253,1598155.02826,1030854.50405389,1257967.96699709,1146031.01777003,0,0,0,1227.52316348048,1414.66227760582,1322.42717296872,49.5535057955204,57.1080680869083,53.3846570129074,2.78201632540591e-07,3.37278623122716e-07,3.04488051186574e-07
2020,"non_suspect_bite_incidence","a5_1",58654.4220021102,58654.6170193696,58654.5191598629,3898402.05867053,4592433.65519723,4250367.71786522,60597257.7524235,69703550.9361486,65215350.7892103,49850.4105134218,49850.6055306811,49850.5083729285,4921.57531675309,4921.59457019795,4921.58497811651,1444470.42551263,1444475.27463209,1444472.84134777,1234937.65185479,1234942.50097426,1234940.08513911,145974.101970558,145974.67486429,145974.38944818,1455672.57113698,1762045.29918909,1611043.99763657,1038953.95385238,1266067.41679558,1154130.46756852,0,0,0,1215.57716515857,1398.25430158457,1308.21836963704,49.0688900127884,56.4429717010073,52.8085140113207,2.82912196050597e-07,3.42457545186445e-07,3.09429838328812e-07
2020,"p_rabid","a1",52620.1305914968,61000.4345686603,56821.5427843377,3990914.24320788,4376444.65748146,4182663.690076,61246849.7158458,67382701.0223245,64295096.3950998,44678.2086413171,53032.970366628,48656.4740045374,4410.9399818613,5235.77950998459,4803.70169462286,1295208.90151293,1502466.27021627,1399123.97088502,1106778.99538911,1313734.84496562,1205285.65328549,130833.685797507,155296.141453042,142477.921138007,1530911.63062391,1660937.43924853,1596182.45963143,1082297.86678077,1211068.17034766,1144383.42085111,0,0,0,1154.88250596626,1508.1782164384,1321.40887128615,46.6204043765379,60.8818032353738,53.3442808514625,2.68993928281437e-07,3.46414314881224e-07,3.0483027620647e-07
2020,"p_rabid","a3_1",53588.8127426401,59953.7731918427,56825.3613218717,4181571.85429278,4181571.85429278,4181571.85429278,64272389.5973144,64272389.5973144,64272389.5973144,45531.6155986932,51596.9702021822,48602.6644368339,4495.19418505259,5094.00769925322,4798.3892440836,1319128.52165928,1476672.50037528,1399204.21555039,1127586.55084663,1278444.30610545,1203949.4848351,133298.2570621,151118.990137132,142319.478773856,1595482.21567755,1595482.21567755,1595482.21567755,1144049.66738921,1144049.66738921,1144049.66738921,0,0,0,1245.66208724008,1411.59914385202,1322.40465295571,50.273906567826,56.9999611551382,53.3846231979721,2.85378396269729e-07,3.2339420455571e-07,3.04626801597999e-07
2020,"p_rabid","a5_1",55302.8712017713,61824.4526403532,58617.8018903693,4244312.94792661,4244312.94792661,4244312.94792661,65135906.985071,65135906.985071,65135906.985071,46664.3649336282,52843.0154936656,49791.5431401332,4607.02698862366,5217.02585872195,4915.76352486702,1361516.96586651,1522963.18675571,1443544.49053143,1155692.56974662,1309385.7100726,1233459.66273494,136613.279629018,154767.330382358,145799.573718037,1608371.18505411,1608371.18505411,1608371.18505411,1152149.1171877,1152149.1171877,1152149.1171877,0,0,0,1232.6303935641,1395.83828211774,1308.17208861659,49.7453931901084,56.3609291001598,52.8074885243071,2.90134300883152e-07,3.28549876948261e-07,3.09577438360151e-07
2020,"p_transmission","a1",45516.5904685486,68911.6761730533,56772.1144391217,3985932.4556674,4385547.42932217,4185138.07828637,61103619.7815816,67498159.5680371,64304873.4779852,38769.6529610013,59416.1786230024,48547.5885248786,3827.60673556688,5865.97372248378,4792.95177133191,1120595.72447876,1696947.43858881,1397872.88551998,960457.953845743,1471741.46527165,1202602.43750064,113534.099177302,173975.995260166,142159.629610956,1526978.31724092,1665181.24202882,1596416.08778729,1078655.56859049,1211138.2633523,1145850.39971814,0,0,0,1028.40036497948,1741.00499779903,1324.57399907787,41.5179032618363,70.2770582489006,53.4714311835502,2.32825424539165e-07,3.8910951093504e-07,3.04103603667437e-07
2020,"p_transmission","a3_1",45409.5381821395,68764.2016234577,56803.7417476388,4181571.85429278,4181571.85429278,4181571.85429278,64272389.5973144,64272389.5973144,64272389.5973144,38860.5197759979,58846.9253937404,48611.3828505815,3836.57773237901,5809.77312928377,4799.24998583998,1118133.23680039,1693202.40930094,1398696.27586804,962640.022386524,1457736.69179707,1204185.19463952,113794.012266156,172319.561980655,142347.151235297,1595482.21567755,1595482.21567755,1595482.21567755,1144049.66738921,1144049.66738921,1144049.66738921,0,0,0,1092.1962221012,1653.92511391503,1322.16748070859,44.0905342912653,66.7667955857204,53.3741735768099,2.43565985218426e-07,3.68834731064364e-07,3.04681445978625e-07
2020,"p_transmission","a5_1",46840.3836123659,70930.9476376159,58593.6157765493,4244312.94792661,4244312.94792661,4244312.94792661,65135906.985071,65135906.985071,65135906.985071,39809.7118769912,60284.2978418367,49798.7460395047,3930.28850360421,5951.68042129347,4916.47464462292,1153528.53700151,1746801.92750518,1442972.98625531,986200.756789429,1493414.98118639,1233657.78363789,116572.500184049,176527.057991783,145822.816768282,1608371.18505411,1608371.18505411,1608371.18505411,1152149.1171877,1152149.1171877,1152149.1171877,0,0,0,1080.47881980749,1636.18132144075,1307.98287437598,43.6154101878141,66.0473098774742,52.7990078358634,2.47515699404002e-07,3.7481582859748e-07,3.09622222172734e-07
2020,"p_prevent","a1",54203.2958801568,59619.5337991322,56892.0586923668,3984923.61176493,4370622.80888362,4180403.68916926,61168023.9330132,67339163.6813467,64254292.5346868,45905.1619014133,51321.3998203887,48632.6370081787,4532.07324470721,5066.80149623314,4801.34834242985,1334462.56507457,1468234.82300777,1400872.82897385,1137352.14723745,1271124.40517064,1204714.14127136,134443.715831711,150262.813972827,142409.786445276,1526594.30950811,1662191.47881693,1595631.96446917,1076796.19367999,1207784.18082034,1143105.55883926,0,0,0,1191.86195518994,1466.91920673247,1321.2175297811,48.1211938691412,59.2069605222174,53.3357170248518,2.76172525767528e-07,3.36182307904222e-07,3.04786053996841e-07
2020,"p_prevent","a3_1",56653.2680170035,57101.1952947322,56862.2951645675,4181571.85429278,4181571.85429278,4181571.85429278,64272389.5973144,64272389.5973144,64272389.5973144,48423.5004058133,48871.427683542,48662.400535978,4780.70093893948,4824.92339991954,4804.28680255982,1394969.93897599,1406047.72017192,1400137.87528815,1199539.2500733,1210617.03126923,1205449.09495707,141798.088014148,143107.412726429,142496.551061972,1595482.21567755,1595482.21567755,1595482.21567755,1144049.66738921,1144049.66738921,1144049.66738921,0,0,0,1315.13222845665,1327.2974704158,1320.78131965141,53.0906041606984,53.5808974932559,53.3182113340121,3.03503855636834e-07,3.06311328345255e-07,3.05001209401214e-07
