"variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"suspect_bite_incidence","a1",995477.966910006,1150703.53272571,1072918.87222075,69705127.5801077,77928445.2618553,73697854.2880438,865801361.256682,972375875.159794,917949451.50217,832601.664666579,967079.252463861,897462.905195932,82200.1616297081,95476.7138174058,88603.7093059564,19532444.2020756,22581474.0552177,21040269.9876827,16430022.1332721,19156146.8092801,17743692.1998405,1942458.50898546,2264733.40544217,2097760.85787257,26487785.0238685,29286649.3252493,27870051.9520196,18595776.5504184,21149085.2333367,19857410.7353825,0,0,0,895.274465924948,1167.87644851658,1022.82717891473,45.1970518850508,59.1828706785887,51.7338466630086,2.84293930459555e-07,3.65103858851321e-07,3.2201694734584e-07
"suspect_bite_incidence","a3_1",540530.570286199,615115.533764633,578588.719733478,72017934.6627569,75499891.1510433,73803900.6106506,856628240.248595,907460574.332023,882944897.479432,1294469.94185348,1479602.50070769,1387988.73020112,127798.973940036,146076.533193814,137031.791797384,11107174.2140416,12704247.9670102,11916823.0690955,25020109.6856599,28496266.6845656,26792160.261771,2958658.04742023,3369742.32961476,3168213.18512784,44116606.9817028,46286252.0294012,45211094.739289,34297962.8021687,35981993.8010513,35146867.9404742,0,0,0,578.958362018766,701.028695214567,636.132612799738,30.0610690421623,36.2692484458663,32.9553454761646,2.79666182742822e-07,3.35384473543342e-07,3.07001796396437e-07
"suspect_bite_incidence","a5_1",207530.850368587,356325.672831915,266201.237536523,53321726.6973413,58386914.9197616,55398048.8321517,620508272.1709,700108227.419154,653292058.403271,241114.987327771,491109.100877971,343244.112062465,23804.5295497033,48485.6674964203,33887.4190232121,4797939.75322721,8094025.95048971,6078481.35811523,5562213.61808622,10987354.4368369,7771152.8391443,657826.936417164,1299339.62688903,919027.128911411,31782586.8145274,34801475.9937934,33015401.2247726,24710137.4502527,26937315.6363054,25622360.0840525,0,0,0,1263.48355398342,2903.62799583018,1903.28700608383,56.4747661266431,125.868633513583,84.066299032565,6.92829773572741e-08,1.54521437711764e-07,1.03964846504703e-07
"non_suspect_bite_incidence","a1",1003741.38170381,1079253.1178578,1041665.18475503,65512036.7741466,79773205.1786698,72757169.6751905,823021479.162024,983083492.972573,904405308.897792,833015.76641377,908527.502567755,870603.699516532,82241.0446017159,89696.0824429903,85951.9838269107,19674696.6645312,21173077.0324247,20428471.0646539,16470461.7986502,17968842.1665437,17215067.766421,1947279.55331309,2124417.09662054,2035308.01579899,24556005.8362784,30508003.9806976,27603541.3802579,17416599.4968125,21980504.817658,19696646.9101545,0,0,0,905.885046777267,1180.14992345807,1038.8254832825,45.8026995581503,59.6876702663639,52.5356810190365,2.73048268559562e-07,3.6998179126734e-07,3.15395654319626e-07
"non_suspect_bite_incidence","a3_1",562590.106253426,562596.222247999,562593.153246753,65896670.6991594,80320940.3959741,73211680.0123501,796638244.143662,949199783.451709,874007088.759727,1349672.66202357,1349678.77801814,1349675.73102481,133248.966070664,133249.569883704,133249.269063571,11588512.0650537,11588629.5469103,11588570.5946075,26054909.2841646,26055026.7660212,26054968.2364674,3081097.15025346,3081111.03905374,3081104.11964247,40357906.1841453,49202483.7050554,44843274.8230152,31344292.8111258,38295154.9333509,34869297.6971624,0,0,0,590.242846756056,703.281477175786,647.568203731492,30.5752226354483,36.4307460486384,33.5447382175825,2.74309864134946e-07,3.34427354050485e-07,3.00976174543816e-07
"non_suspect_bite_incidence","a5_1",261531.24436144,261532.650134271,261531.944718575,48079021.3089019,62503291.0057165,55394030.6220925,574739333.770556,727300873.078603,652108178.386621,338595.223339551,338596.629112382,338595.928755247,33428.4487609137,33428.5875484742,33428.5184044019,5969871.01075098,5969902.89803198,5969886.89701956,7660169.44610961,7660201.3333906,7660185.44712202,905902.299482472,905906.068759416,905904.190902665,28550801.9886744,37395379.5095845,33036170.6275443,22120275.5163378,29071137.6385628,25645280.4023743,0,0,0,1697.41599400211,2147.99507773696,1925.91854480919,75.0292725682396,94.9457943711649,85.1295550072645,9.05446682932494e-08,1.18594437118333e-07,1.02492486969098e-07
"p_rabid","a1",974212.393621926,1109163.372529,1041029.29003995,69458601.6606625,75461372.364156,72571670.2354793,864550651.296823,938384983.754745,902735926.48314,808149.804351222,934300.530686235,870432.49996641,79786.1058388464,92240.5730042414,85935.0818300877,19096385.2039887,21761350.1688099,20416098.9953892,15981859.6480244,18472330.0297403,17211106.3262701,1889578.25802713,2183883.11147508,2034845.87497303,26488006.1071558,28536006.6862969,27529663.7564785,18592053.2955427,20694270.6899093,19619827.1496397,0,0,0,925.34534970436,1161.15227486577,1037.11192598849,46.8024688766876,58.7156316236791,52.450778547876,2.83203537634191e-07,3.52725881633587e-07,3.16179851547069e-07
"p_rabid","a3_1",531258.218219314,592228.814938354,562309.071287995,73085841.8877118,73085841.8877118,73085841.8877118,872676133.473811,872676133.473811,872676133.473811,1267134.61760934,1427255.49945686,1348359.09300444,125100.242762302,140908.477271932,133119.281504483,10939795.4378104,12202345.3565375,11582511.3541646,24447823.5434542,27565654.6308729,26028582.5037562,2891192.40557465,3259594.06930957,3077988.47858508,44766114.2407575,44766114.2407575,44766114.2407575,34808657.9925212,34808657.9925212,34808657.9925212,0,0,0,611.436518413072,688.700412210553,647.213444846725,31.6580957412284,35.69545288654,33.5276088641352,2.83056646550678e-07,3.18824969212406e-07,3.0120083368255e-07
"p_rabid","a5_1",246844.603820504,275375.822216285,261398.231300943,55268192.4974543,55268192.4974543,55268192.4974543,650777223.100705,650777223.100705,650777223.100705,316871.097278508,358873.381868913,338190.76728677,31283.6936526027,35430.4480114603,33388.5180781856,5631778.65417638,6288504.41084074,5966591.67529899,7165471.28328909,8121890.76226386,7650746.88649965,847432.357591716,960471.382745466,904789.995396419,32959010.0452866,32959010.0452866,32959010.0452866,25584640.6977331,25584640.6977331,25584640.6977331,0,0,0,1813.38950164439,2053.76012103974,1924.29032975012,80.1263206006616,90.8212729312602,85.0606133956743,9.61409632276937e-08,1.08884757574882e-07,1.02609503993623e-07
"p_transmission","a1",836676.753148485,1264035.39572684,1040391.24469863,69548931.5703106,75802112.6946533,72602182.3135681,865396156.060443,941960971.483697,902849268.593513,695571.809321248,1056869.4718128,868458.4666683,68671.6320392797,104341.421704106,85740.1916886753,16408995.0665932,24794348.7900069,20403645.9041348,13754850.9325455,20902457.1539921,17171402.1031226,1626203.15013032,2471279.53425512,2030143.63385671,26472544.3416714,28608229.2673775,27531403.6951631,18560904.4481867,20734538.6706379,19642385.9149338,0,0,0,818.8297411752,1354.22534217262,1039.59982341717,41.4016471692736,68.4820923253272,52.5786574195551,2.43136966926654e-07,3.99232298252926e-07,3.1544285801195e-07
